Model,Year,Category,Rating,Displacement,Engine type,Engine details,Power,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Cooling system,Gearbox,Transmission type,Clutch,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front brakes,Diameter,Rear brakes,Dry weight,"Weight incl. oil, gas, etc",Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Compression,Ignition,Fuel consumption,Greenhouse gases,Emission details,Rake (fork angle),Trail,Front tire,Rear tire,Wheels,Reserve fuel capacity,Torque,Lubrication system,Driveline,Overall height,Overall length,Overall width,Factory warranty,Carrying capacity,Top speed,Instruments,Light,Electrical,Seat,Exhaust system,Oil capacity,Alternate seat height,Max RPM,Modifications compared to previous model,0-100 km/h (0-62 mph),Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Pulley teeth,1/4 mile (0.4 km),Belt teeth,Belt width
Ducati Monster 1200,2017,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1198.4 ccm (73.13 cubic inches),"V2, four-stroke",Testastretta 11° L-Twin,135.0 HP (98.5  kW)) @ 8750 RPM,106.0 x 67.9 mm (4.2 x 2.7 inches),4,Injection. 53mm throttle bodies with full  Ride by Wire,Desmodromic valve control,Liquid,6-speed,Chain   (final drive),"Light action, wet, multiplate clutch with hydraulic control. Self-servo action on drive, slipper action on over-run.",Tubular steel Trellis frame attached to the cylinders head,43mm fully adjustable usd forks,130 mm (5.1 inches),Progressive linkage with fully adjustable monoshock. Aluminium single-sided swingarm,152 mm (6.0 inches),Double disc. ABS. Floating discs. Four-piston calipers. Radially mounted. ,245 mm (9.6 inches),Single disc. ABS. Floating disc. Two-piston calipers. ,182.0 kg (401.2 pounds),209.0 kg (460.8 pounds),0.7418 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",,1511 mm (59.5 inches),17.50 litres (4.62 US gallons),"Red, grey",Electric,,12.5:1,,,,Euro 3,24.3°,93 mm (3.7 inches),120/70-ZR17 ,190/55-ZR17 ,,,118.0 Nm (12.0 kgf-m or 87.0 ft.lbs) @ 7250 RPM,,"Front sprocket 15; Rear sprocket 41. Primary drive: Straight cut gears, ratio 1.84.",1040 mm (40.9 inches),2200 mm (86.6 inches),830 mm (32.7 inches),2 years unlimited mileage,,,Colour TFT display,,,Dual seat,Lightweight 2-1-2 system with catalytic converter and two lambda probes. Twin aluminium mufflers,,,,,,,,,,,,,,,,,,,,,,
Vespa Primavera 125,2017,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.5 ccm (7.60 cubic inches),"Single cylinder, four-stroke",,11.0 HP (8.0  kW)) @ 7700 RPM,52.0 x 58.6 mm (2.0 x 2.3 inches),3,Injection,Single Overhead Cams (SOHC),Air,Automatic,Belt   (final drive),Automatic dry centrifugal clutch with vibration dampers,Sheet metal body with welded reinforcements,Single arm with coil spring and dual action monoshock absorber - axial stroke 78 mm,,Hydraulic monoshock - axial stroke 70 mm,,Single disc,140 mm (5.5 inches),Expanding brake (drum brake),,,,"780 mm (30.7 inches) If adjustable, lowest setting.",,1340 mm (52.8 inches),8.00 litres (2.11 US gallons),"White, red, black, blue",Electric,,,,2.01 litres/100 km (49.8 km/l or 117.03 mpg),46.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Catalytic converter,,,110/70-11 ,120/70-11 ,Die-cast aluminium alloy,,10.4 Nm (1.1 kgf-m or 7.7 ft.lbs) @ 6000 RPM,,,,1860 mm (73.2 inches),735 mm (28.9 inches),2-year unlimited-mileage warranty. ,,95.0 km/h (59.0 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway Ajax 150,2017,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",149.4 ccm (9.12 cubic inches),"Single cylinder, four-stroke",,11.0 HP (8.0  kW)) @ 8500 RPM,62.0 x 49.5 mm (2.4 x 1.9 inches),2,Carburettor,Overhead Valves (OHV),Air,5-speed,Chain   (final drive),"Wet, multiple-plate",Arch bar truck,Telescopic forks,131 mm (5.1 inches),Telescopic coil spring oil damped,60 mm (2.4 inches),Single disc,130 mm (5.1 inches),Expanding brake (drum brake),99.0 kg (218.3 pounds),,0.1111 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",150 mm (5.9 inches),1246 mm (49.1 inches),16.00 litres (4.23 US gallons),"Blue, white",Electric,"Keeway is the American and European brand name of Qianjiang, China.",9.2:1,CDI,,,,,,2.75-18 ,3.00-18 ,,,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 5700 RPM,Pressure splash,,1070 mm (42.1 inches),1979 mm (77.9 inches),745 mm (29.3 inches),,,95.0 km/h (59.0 mph),Digital/analogue,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Intruder 250LC,2017,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,245.0 ccm (14.95 cubic inches),"V2, four-stroke",65° V-twin,,,3,Injection,Single Overhead Cams (SOHC),Air,5-speed,Chain   (final drive),,,"37mm telescopic, coil spring, oil damped",,"Dual shock, oil damped, with adjustable spring preload",,Single disc. Single-piston caliper,275 mm (10.8 inches),Expanding brake (drum brake),,159.0 kg (350.5 pounds),,"685 mm (27.0 inches) If adjustable, lowest setting.",,1520 mm (59.8 inches),12.00 litres (3.17 US gallons),"Black, Grey",Electric,,,,,,,,,,,Wire spoked,,,,,1110 mm (43.7 inches),2240 mm (88.2 inches),880 mm (34.6 inches),Two-year unlimited kilometre warranty,5 litre underseat storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herald Nomad 250,2017,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,21.0 HP (15.3  kW)),,,Carburettor,,Air,5-speed,Chain   (final drive),,Steel,Telescopic fork,,Dual shocks,,Single disc,,Single disc,130.0 kg (286.6 pounds),,0.1615 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,12.00 litres (3.17 US gallons),Grey,Electric,UK brand.,,CDI,,,,,,,,"Wire spoked, black rims",,19.5 Nm (2.0 kgf-m or 14.4 ft.lbs),,,,,,,,,,,,Two-person seat,,,,,,,,,,,,,,,,,,,,,,,
Aprilia SR Max 300,2017,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",278.0 ccm (16.96 cubic inches),"Single cylinder, four-stroke",,22.0 HP (16.1  kW)) @ 7250 RPM,75.0 x 63.0 mm (3.0 x 2.5 inches),4,Injection,Overhead Cams (OHC),Liquid,Automatic,Belt   (final drive),Automatic centrifugal dry clutch,Double cradle trellis in high strength steel tubing ,35 mm Ø hydraulic telescopic fork ,,Double hydraulic shock absorber with three-position spring preload adjustment ,,Single disc,240 mm (9.4 inches),Single disc,,,,"815 mm (32.1 inches) If adjustable, lowest setting.",,,15.50 litres (4.10 US gallons),"Red, White",Electric,Windscreen. ,11.5:1,,,,Euro 3,,,120/70-15 ,140/60-14 ,,2.80 litres (0.74 US gallons),23.0 Nm (2.3 kgf-m or 17.0 ft.lbs) @ 6000 RPM,Wet sump.,Twist-and-go CVT with torque server ,1515 mm (59.6 inches),2110 mm (83.1 inches),780 mm (30.7 inches),,,,,,,Dual seat,,,,,,,,,,,,,,,,,,,,,,,
Sherco 250 ST,2017,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.7 ccm (15.24 cubic inches),"Single cylinder, two-stroke",Nikasil coated cylinder,,72.8 x 60.0 mm (2.9 x 2.4 inches),,Carburettor. Keihin Ø 28 mm,,Liquid,5-speed,Chain   (final drive),Hydraulically activated multidisc in oil bath,Tubular section chrome-moly,Tech Ø 39 mm hydraulic telescopic fork,165 mm (6.5 inches),R16V. Progressive link system with single adjustable shock absorber,175 mm (6.9 inches),Single disc. Hydraulically activated Formula floating disc,145 mm (5.7 inches),Single disc. Hydraulically activated Formula floating disc,68.0 kg (149.9 pounds),,,"685 mm (27.0 inches) If adjustable, lowest setting.",310 mm (12.2 inches),1322 mm (52.0 inches),2.40 litres (0.63 US gallons),Blue/yellow/grey,Kick,Spanish brand.,,Digital Hidria,,,,,,2.50-21 ,2.75-18 ,"Morad graphit anodized aluminum rim and aluminum hub, steel spokes with Michelin tube-type tire",,,2% oil mixture,,,,,,,,,,,,Steel header pipe with an integrated aluminum muffler,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ6R,2017,Sport," 3.3  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",Lightweight forged aluminum pistons,,65.5 x 44.5 mm (2.6 x 1.8 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),,"Diamond, high-tensile steel pipes",Telescopic fork,130 mm (5.1 inches),Single shock,130 mm (5.1 inches),Single disc. Hydraulic. ,245 mm (9.6 inches),Single disc. Hydraulic. ,,213.2 kg (470.0 pounds),,"785 mm (30.9 inches) If adjustable, lowest setting.",140 mm (5.5 inches),1440 mm (56.7 inches),17.41 litres (4.60 US gallons),Matte Silver,Electric,Small windscreen,12.2:1,Digital TCI: Transistor Controlled Ignition,5.47 litres/100 km (18.3 km/l or 43.00 mpg),126.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,26.0°,104 mm (4.1 inches),120/70-ZR17 ,160/60-ZR17 ,Cast aluminum wheels,,,,O-ring chain,1186 mm (46.7 inches),2121 mm (83.5 inches),770 mm (30.3 inches),1 Year Limited Factory Warranty,,,,,,Separate front and rear sections,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan  900 Classic LT,2017,Touring," 2.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",903.0 ccm (55.10 cubic inches),"V2, four-stroke",,48.0 HP (35.0  kW)) @ 5200 RPM,88.0 x 74.2 mm (3.5 x 2.9 inches),4,Injection. DFI with dual 34mm Keihin throttle bodies,Single Overhead Cams (SOHC),Liquid,5-speed,Belt   (final drive),,"Double cradle, high-tensile steel",41mm hydraulic telescopic fork ,150 mm (5.9 inches),"Uni-Trak swingarm, 7 way adjustable spring preload",104 mm (4.1 inches),Single disc. Hydraulic. Two-piston calipers. ,300 mm (11.8 inches),Single disc. Hydraulic. Two-piston calipers. ,,298.1 kg (657.1 pounds),,"681 mm (26.8 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1646 mm (64.8 inches),20.06 litres (5.30 US gallons),Pearl Meteor Gray/Metallic Spark Black,Electric,Windscreen,9.5:1,TCBI with Electronic Advance,,,,32.0°,160 mm (6.3 inches),130/90-16 ,180/70-15 ,,,78.9 Nm (8.0 kgf-m or 58.2 ft.lbs) @ 3500 RPM,,Kevlar-reinforced belt,1481 mm (58.3 inches),2464 mm (97.0 inches),1006 mm (39.6 inches),24 Months,Saddle bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gogoro Smartscooter,2017,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,Liquid cooled permanent magnet synchronous motor,8.5 HP (6.2  kW)) @ 3250 RPM,,,,,Liquid,Automatic,Belt   (final drive),,Aeroframe  aluminum monocoque chassis,"Aluminum inverted single shock single arm, adjustable damper",,"Aluminum multi-link. Performance Shock+, preload and adjustable damper.",,Single disc,,Single disc,94.0 kg (207.2 pounds),,0.0904 HP/kg,,,1230 mm (48.4 inches),,White,Electric,Range 100 km. Made in Taiwan.,,,,,No direct emissions,,,100/60-12 ,110/60-12 ,Maxxis tyres,,202.0 Nm (20.6 kgf-m or 149.0 ft.lbs),,,,1730 mm (68.1 inches),,2-Year Warranty,,95.0 km/h (59.0 mph),,LED headlight,Orientation-agnostic connector battery.,,,,,,,,,,,,,,,,,,,,,,,,
Sym Wolf SB 125,2017,Naked bike," 3.8  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor,,Air,5-speed,Chain   (final drive),,,Telescopic Fork,,Unit Swing Arm,,Single disc,,Expanding brake (drum brake),140.0 kg (308.6 pounds),,,,,,16.00 litres (4.23 US gallons),"Black, yellow",Electric,,,,,,,,,110/70-17 ,130/70-17 ,,,,Wet Sump,,1050 mm (41.3 inches),2010 mm (79.1 inches),770 mm (30.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 250 EXC-F Six days,2017,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.9 ccm (15.25 cubic inches),"Single cylinder, four-stroke",,,78.0 x 52.3 mm (3.1 x 2.1 inches),,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),"Wet, DDS multi-disc clutch, Brembo hydraulics",Chrome-molybdenum steel central-tube frame,WP-USD Xplor 48 with preload adjuster,300 mm (11.8 inches),WP Xplor PDS shock absorber,310 mm (12.2 inches),Single disc. Brake calipers on floating bearings,220 mm (8.7 inches),Single disc. Brake calipers on floating bearings,103.5 kg (228.2 pounds),,,"960 mm (37.8 inches) If adjustable, lowest setting.",355 mm (14.0 inches),1482 mm (58.3 inches),8.50 litres (2.25 US gallons),Orange/white/red/blue,Electric & kick,,,Keihin EMS,,,,26.5°,,,,,,,,5/8 x 1/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vervemoto Hero 125i,2017,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.5 ccm (7.60 cubic inches),"Single cylinder, four-stroke",,11.3 HP (8.2  kW)),57.0 x 48.8 mm (2.2 x 1.9 inches),,Injection,,Air,5-speed,Chain   (final drive),,,Upside-down fork ,,Single shock,,Single disc,210 mm (8.3 inches),Single disc,127.0 kg (280.0 pounds),,0.0890 HP/kg,,,,10.00 litres (2.64 US gallons),"Green/black, white/blue",Electric,Italian brand.,9.5:1,CDI,,,Euro 4,,,110/70-17 ,130/70-17 ,,0.60 litres (0.16 US gallons),9.5 Nm (1.0 kgf-m or 7.0 ft.lbs),,,,,,,,,,,,Dual seat,,,,,,,,,,,,,,,,,,,,,,,
Herald Roamer 250,2017,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,21.0 HP (15.3  kW)),,,Carburettor,,,5-speed,Chain   (final drive),,Steel,Telescopic fork,,Dual shocks,,Single disc,,Single disc,130.0 kg (286.6 pounds),,0.1615 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,12.00 litres (3.17 US gallons),Beige,Electric,UK bike.,,CDI,,,,,,,,"Wire spoked, black rims",,19.5 Nm (2.0 kgf-m or 14.4 ft.lbs),,,,,,,,128.8 km/h (80.0 mph),,,,Two-person seat,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Tri Glide Ultra,2017,Touring," 3.7  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1745.0 ccm (106.48 cubic inches),"V2, four-stroke",Milwaukee-Eight™ 107,90.0 HP (65.7  kW)) @ 5450 RPM,100.0 x 111.1 mm (3.9 x 4.4 inches),,Injection. Electronic Sequential Port Fuel Injection (ESPFI),Double Overhead Cams/Twin Cam (DOHC),Air,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,,Telescopic fork,,,,Double disc. 6 piston.,,Single disc,"546.0 kg (1,203.7 pounds)","564.0 kg (1,243.4 pounds)",0.1648 HP/kg,"735 mm (28.9 inches) If adjustable, lowest setting.",125 mm (4.9 inches),1670 mm (65.7 inches),22.71 litres (6.00 US gallons),"Vivid Black, Superior Blue, Black Hills Gold/Black Quartz, Billet Silver/Vivid Black, Mysterious Red Sunglo/Velocity Red Sunglo, Bonneville Blue/Fathom Blue",Electric,Trike. Windshield. Cruise control. Alarm. Foot actuated dual parking brake.,10.0:1,,6.19 litres/100 km (16.2 km/l or 38.00 mpg),143.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,26.0°,100 mm (3.9 inches),MT90-B16 ,205/65-R15 ,"Black, 7-spoke Cast Aluminum. Two rear wheels.",,165.0 Nm (16.8 kgf-m or 121.7 ft.lbs) @ 3250 RPM,,"Chain, 34/46 ratio primary drive",,2675 mm (105.3 inches),,,Trunk and top box,,"Large speedometer and tachometer with wide numbers; large fuel and volt gauges with wide numbers; display features odometer, trip A, trip B, range to empty, and gear indicator; and larger telltale indicators, including new reverse indicator light","High Beam, running lights, front fender running lights, directional light bar, low oil pressure, engine diagnostics, cruise control, speakers, accessory, security system (optional), 6 speed, low fuel warning, reverse enabled",,,"Chrome, 2-1-2 dual exhaust with tapered mufflers",4.70 litres (4.97 US quarts),,,,,,,,,,,,,,,,,,,,,
Victory Empulse TT,2017,Naked bike,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,,Electric,Internal Permanent Magnet AC,54.0 HP (39.4  kW)),,,,,Liquid,6-speed,Chain   (final drive),"Multi-plate, hydraulic activated wet clutch",Lightweight extruded and welded aluminum - serves a battery tray (patent pending),"43mm inverted forks, adjustable preload, compression  and  rebound",,"Adjustable dirct acting, rebound and preload",,Double disc. Bremo,,Single disc. Brembo,,213.0 kg (469.6 pounds),,"800 mm (31.5 inches) If adjustable, lowest setting.",,1473 mm (58.0 inches),,Titanium/red,Electric,"Brammo Power Lithium Ion battery, 103.6 Volt.  10.4 kWh. Recharge time approximately 3.9 hours. ",,,,,No direct emissions,24.0°,96 mm (3.8 inches),120/70-17 ,160/60-17 ,Cast aluminum,,90.0 Nm (9.2 kgf-m or 66.4 ft.lbs),,,1067 mm (42.0 inches),2065 mm (81.3 inches),,,,161.0 km/h (100.0 mph),Analogue/digital,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja ZX-6R KRT Edition,2017,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,636.0 ccm (38.81 cubic inches),"In-line four, four-stroke",,131.0 HP (95.6  kW)) @ 13500 RPM,67.0 x 45.1 mm (2.6 x 1.8 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,6-speed,Chain   (final drive),"Wet multi-disc, manual","Twin spar, pressed-aluminium",41 mm inverted fork with top-out springs. Compression damping,119 mm (4.7 inches),Bottom-Link Uni-Trak with gas-charged shock. Compression damping,140 mm (5.5 inches),Double disc. Floating discs. Optional ABS.,220 mm (8.7 inches),Single disc. Optional ABS.,,206.0 kg (454.2 pounds),,"830 mm (32.7 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1395 mm (54.9 inches),17.00 litres (4.49 US gallons),Lime Green/Ebony,Electric,"101 kW {137 PS} at 13,500 rpm with RAM air. Traction control. Small windscreen.",12.9:1,TCBI with digital advance and Sport-Kawasaki Traction Control (S-KTRC),,,,27.0°,101 mm (4.0 inches),120/70-ZR17 ,180/55-ZR17 ,,,71.0 Nm (7.2 kgf-m or 52.4 ft.lbs) @ 11500 RPM,"Forced lubrication, wet sump with oil cooler",Sealed chain,1115 mm (43.9 inches),2085 mm (82.1 inches),705 mm (27.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna 701 Enduro,2017,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",693.0 ccm (42.29 cubic inches),"Single cylinder, four-stroke",,67.0 HP (48.9  kW)) @ 7000 RPM,102.0 x 84.5 mm (4.0 x 3.3 inches),,,Single Overhead Cams (SOHC),Liquid,6-speed,Chain   (final drive),"APTC(TM) slipper clutch, hydraulically actuated",Trellis made of high-grade chromium-molybdenum steel,WP USD Ø 48 mm 4CS closed cartridge,275 mm (10.8 inches),WP shock absorber with Pro-Lever linkage,275 mm (10.8 inches),Single disc. Brembo twin-piston floating calliper,240 mm (9.4 inches),Single disc. Brembo single-piston floating calliper,,,,"900 mm (35.4 inches) If adjustable, lowest setting.",280 mm (11.0 inches),1504 mm (59.2 inches),13.00 litres (3.43 US gallons),White/blue/yellow,Electric,,,"Keihin EMS with RBW, twin ignition",,,,25.8°,101 mm (4.0 inches),90/90-21 ,140/90-18 ,,,67.0 Nm (6.8 kgf-m or 49.4 ft.lbs) @ 6500 RPM,,,,2280 mm (89.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Bullet 350 ES,2017,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",Twin spark,19.8 HP (14.5  kW)) @ 5250 RPM,70.0 x 90.0 mm (2.8 x 3.5 inches),,"Carburettor. UCAL 29mm, Constant Vacuum Carburettor",Overhead Valves (OHV),Air,5-speed,Chain   (final drive),,"Single downtube, using engine as stressed member","Telescopic fork, 35 mm",130 mm (5.1 inches),Twin shock absorbers with 5-step adjustable preload,80 mm (3.1 inches),Expanding brake (drum brake). Twin drum,153 mm (6.0 inches),Expanding brake (drum brake),,185.0 kg (407.9 pounds),,,135 mm (5.3 inches),1370 mm (53.9 inches),13.50 litres (3.57 US gallons),"Black, blue, maroon, silver",Electric,Royal Enfield bikes are made in India. ,8.5:1,TCI,,,,,,3.25-19 ,3.25-19 ,Wire spoked,,28.0 Nm (2.9 kgf-m or 20.7 ft.lbs) @ 4000 RPM,Wet sump,Constant mesh,1030 mm (40.6 inches),2140 mm (84.3 inches),800 mm (31.5 inches),,,,Analog,Headlamp 35/35W,"12 volt, 5 Ah battery",Dual seat,Chrome,,,,,,,,,,,,,,,,,,,,,,
Suzuki Burgman 125,2017,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,12.4 HP (9.1  kW)) @ 9000 RPM,57.0 x 48.8 mm (2.2 x 1.9 inches),,Injection,Single Overhead Cams (SOHC),Liquid,Automatic,Belt   (final drive),"Dry shoe, automatic, centrifugal type",,"Telescopic, coil sprung, oil damped",92 mm (3.6 inches),"Swingarm type, coilspring, oildamped",83 mm (3.3 inches),Single disc,240 mm (9.4 inches),Single disc,148.0 kg (326.3 pounds),159.0 kg (350.5 pounds),0.0838 HP/kg,"735 mm (28.9 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1465 mm (57.7 inches),10.50 litres (2.77 US gallons),"Metallic Matt Black, Brilliant White",Electric,Windscreen. Optional ABS.,11.6:1,CDI,,,,,,110/90-13 ,130/70-12 ,,,10.8 Nm (1.1 kgf-m or 8.0 ft.lbs) @ 6500 RPM,Wet Sump,V-belt,1240 mm (48.8 inches),2055 mm (80.9 inches),740 mm (29.1 inches),,Rear under-seat luggage space is enough for two helmets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V7 III Anniversario,2017,Classic," 3.4  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",744.0 ccm (45.40 cubic inches),"V2, four-stroke",Light alloy pushrods and rockers,48.0 HP (35.0  kW)) @ 6200 RPM,80.0 x 74.0 mm (3.1 x 2.9 inches),2,Injection. Weber-Marelli,,Air,5-speed,Shaft drive (cardan)   (final drive),Dry single plate with flexible couplings,Double cradle tubular frame in ALS steel with detachable rear subframe,Telescopic hydraulic fork with 40 mm stanchions,130 mm (5.1 inches),Die cast light alloy swing arm with 2 spring preload adjustable shock absorbers,111 mm (4.4 inches),Single disc. ABS. Brembo caliper with 4 differentiated pistons,260 mm (10.2 inches),Single disc. ABS. Floating disc. Two-piston calipers. ,,190.0 kg (418.9 pounds),,"790 mm (31.1 inches) If adjustable, lowest setting.",179 mm (7.0 inches),1449 mm (57.0 inches),22.00 litres (5.81 US gallons),"Chrome, red/chrome",Electric,Switchable ABS. Traction control. Limited edition of 750 units.,10.5:1,,,,Euro 3,27.5°,117 mm (4.6 inches),100/90-18 ,130/80-17 ,Spoked with alloy rim,2.50 litres (0.66 US gallons),60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 2800 RPM,Forced circulation with lobe pump - circuit capacity: 1.78 Kg,Compact Reactive Shaft Drive,1113 mm (43.8 inches),2184 mm (86.0 inches),800 mm (31.5 inches),Two-year manufacturer’s warranty and roadside assistance for one year,,,,,,Leather saddle,2-in-2 type with balance pipe,,,,,,,,,,,,,,,,,,,,,,
