Model,Year,Category,Rating,Displacement,Engine type,Power,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Rake (fork angle),Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Torque,Compression,Valves per cylinder,Trail,Front tire,Rear tire,"Weight incl. oil, gas, etc",Overall length,Overall width,Factory warranty,Engine details,Fuel consumption,Greenhouse gases,Exhaust system,Wheels,Seat,Overall height,Oil capacity,Instruments,Reserve fuel capacity,Electrical,Light,Carrying capacity,Emission details,Top speed,Alternate seat height,Modifications compared to previous model,Max RPM,Engine oil,Brake fluid,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Oil filter,Battery,Belt teeth,Belt width,Pulley teeth,Fork tube size,Coolant
Yamaha XV1900ACFD,2015,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1854.0 ccm (113.13 cubic inches),"V2, four-stroke",90.3 HP (65.9  kW)) @ 4750 RPM,100.0 x 118.0 mm (3.9 x 4.6 inches),Injection. Twin-bore Electronic Fuel Injection,Overhead Valves (OHV),TCI,Dry sump,Air,5-speed,Belt   (final drive),"Wet, Multiple Disc",Constant mesh,"Aluminium, double cradle",30.0°,Telescopic forks,130 mm (5.1 inches),Swingarm,152 mm (6.0 inches),Double disc. Hydraulic. Optional Unified Brake System.,320 mm (12.6 inches),Single disc. Optional Unified Brake System,,,"705 mm (27.8 inches) If adjustable, lowest setting.",155 mm (6.1 inches),1715 mm (67.5 inches),17.00 litres (4.49 US gallons),Midnight black,Electric,Also called Yamaha XV1900A Casual Full Dress.,155.1 Nm (15.8 kgf-m or 114.4 ft.lbs) @ 2500 RPM,9.5:1,4,152 mm (6.0 inches),130/70-R18 ,190/60-R17 ,360.0 kg (793.7 pounds),2580 mm (101.6 inches),1100 mm (43.3 inches),,Twin-spark cylinder heads,,,,12-spoke cast alloy,,1125 mm (44.3 inches),5.20 litres (5.49 US quarts),,4.00 litres (1.06 US gallons),,,Saddle bags,,,,,,,,,,,,,,,,,,,,,,,
Big Bear Choppers Athena Chopper 111 EFI,2015,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1819.1 ccm (111.00 cubic inches),"V2, four-stroke",115.8 HP (84.5  kW)),104.8 x 104.8 mm (4.1 x 4.1 inches),Injection. Closed-loop EFI system,,,S and S High volume oil pump,,6-speed,Belt   (final drive),,,BBC Athena Softail,40.0°,BBC Smooth Mount Hidden Axle,95 mm (3.8 inches),Progressive,76 mm (3.0 inches),Single disc. PM. 4-piston calipers,,Single disc. BBC-PM  4-piston caliper BrakeDrive system,317.5 kg (700.0 pounds),0.3647 HP/kg,"508 mm (20.0 inches) If adjustable, lowest setting.",,2235 mm (88.0 inches),16.55 litres (4.37 US gallons),Black/red,Electric,6-Speed Right-Side Drive Polished TransMision. OPtional BBC-S and S 117 SMOOTH™ EFI X-Wedge engine.,166.5 Nm (17.0 kgf-m or 122.8 ft.lbs),,,,90/80-21 ,300/80-18 ,,2921 mm (115.0 inches),,"2 Year/20,000 Mile",BBC-S and S V111™ EFI Evolution engine. Polished Case  and  Chrome Covers.,,,Chrome Radius Tuned Exhaust,Forged Aluminum,,,4.70 litres (4.97 US quarts),BBC-WirePlus Raw Round Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlas Honda Pridor,2015,Allround," 2.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",97.1 ccm (5.93 cubic inches),"Single cylinder, four-stroke",,50.0 x 49.5 mm (2.0 x 1.9 inches),Carburettor,Overhead Cams (OHC),,,Air,4-speed,Chain   (final drive),Multiple wet plates,Roller Chain,Double craddle tubular type,,Telescopic Fork ,94 mm (3.7 inches),Swing arm ,84 mm (3.3 inches),Expanding brake (drum brake),,Expanding brake (drum brake),96.0 kg (211.6 pounds),,,160 mm (6.3 inches),,9.00 litres (2.38 US gallons),"Red, black",Kick,Sold in Pakistan.,,9.1:1,,,2.75-18 ,2.50-18 ,,1983 mm (78.1 inches),735 mm (28.9 inches),,,,,,,,1045 mm (41.1 inches),,,,,Multi Reflector Head Light,,,,,,,,,,,,,,,,,,,,,,,,
Big Bear Choppers Devils Advocate Chopper 111 Carb,2015,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1819.1 ccm (111.00 cubic inches),"V2, four-stroke",115.8 HP (84.5  kW)),104.8 x 104.8 mm (4.1 x 4.1 inches),Carburettor. S and S Super E Carburetor,,,,,6-speed,Belt   (final drive),,,Softail,44.0°,BBC Smooth Mount Hidden Axle,,Progressive,76 mm (3.0 inches),Single disc. PM. 4-piston calipers,,Single disc. BBC-PM  4-piston caliper BrakeDrive system,317.5 kg (700.0 pounds),0.3647 HP/kg,"584 mm (23.0 inches) If adjustable, lowest setting.",,2108 mm (83.0 inches),22.71 litres (6.00 US gallons),"Gross Black, satin black, charcoal metallic, silver metallic, black cherry, candy red, firecracker red, orange, electric blue, white.",Electric,Forged Billet Wheel Choice with 21” Front and 280mm Rear Tire,166.5 Nm (17.0 kgf-m or 122.8 ft.lbs),,,76 mm (3.0 inches),90/80-21 ,280/80-18 ,,2794 mm (110.0 inches),,,,,,,,Optional two-up seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia Dorsoduro 750 ABS,2015,Super motard," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",749.9 ccm (45.76 cubic inches),"V2, four-stroke",92.0 HP (67.2  kW)) @ 8750 RPM,92.0 x 56.4 mm (3.6 x 2.2 inches),Injection. Integrated engine management system. Electronic fuel injection with ride-by-wire electronic throttle control.,Double Overhead Cams/Twin Cam (DOHC),"Digital electronic, integrated in the fuel injection system.",Wet sump.,Liquid,6-speed,Chain   (final drive),Hydraulically operated multi-plate wet clutch.,Primary drive: Spur gears. Transmission ratio 38/71 (1.87).  Final drive: Chain. Transmission ratio 16/46. ,Modular steel trellis secured to aluminium side plates by high strength bolts. Detachable rear frame. ,26.0°,43 mm upside-down fork. ,160 mm (6.3 inches),Aluminium alloy swingarm. Hydraulic shock absorber adjustable in spring preload and rebound damping. ,155 mm (6.1 inches),Double disc. ABS.Stainless steel wave floating wave disc. 4-piston.,240 mm (9.4 inches),Single disc. ABS,186.0 kg (410.1 pounds),0.4946 HP/kg,"870 mm (34.3 inches) If adjustable, lowest setting.",,1505 mm (59.3 inches),12.00 litres (3.17 US gallons),Blue,Electric,Ride-by-Wire System. 2-channel Continental ABS system.,82.0 Nm (8.4 kgf-m or 60.5 ft.lbs) @ 4500 RPM,11.0:1,4,108 mm (4.3 inches),120/70-17 ,180/55-17 ,,2216 mm (87.2 inches),905 mm (35.6 inches),1-year unlimited-mileage warranty.,V90 longitudinal 90° V twin.,,,Two in one system in 100% stainless steel with three-way catalytic converter and Lambda probe.,Aluminium alloy rims.,,1185 mm (46.7 inches),,,,,,,Euro 3.,,,,,,,,,,,,,,,,,,,,,,
Hero Splendor Pro Classic,2015,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,97.5 ccm (5.95 cubic inches),"Single cylinder, four-stroke",8.4 HP (6.1  kW)) @ 8000 RPM,,"Carburettor. Side Draft, Variable Venturi Type with TCIS ",Overhead Cams (OHC),DC - Digital CDI ,,Air,4-speed,Chain   (final drive),"Wet, multiplate",Constant mesh,Tubular double cradle,,Telescopic hydraulic shock absorbers,,Swing arm with 5 step hydraulic shock absorbers,,Expanding brake (drum brake),110 mm (4.3 inches),Expanding brake (drum brake),109.0 kg (240.3 pounds),0.0767 HP/kg,,180 mm (7.1 inches),1230 mm (48.4 inches),11.00 litres (2.91 US gallons),"Black, red",Electric & kick,Optional self starter adding 3 kg to the weight. Sold in India. Brand previously called Hero Honda.,8.1 Nm (0.8 kgf-m or 5.9 ft.lbs) @ 5000 RPM,9.9:1,,,2.75-18 ,2.75-18 ,,1970 mm (77.6 inches),720 mm (28.3 inches),,,,,,Wire spokes wheels,,1020 mm (40.2 inches),,,1.40 litres (0.37 US gallons),3 Ah battery for kick start and 4 Ah battery for self start.,35W/35W halogen headlights,,,,,,,,,,,,,,,,,,,,,,,,
Keeway Target 125,2015,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",8.7 HP (6.4  kW)) @ 7500 RPM,53.5 x 55.5 mm (2.1 x 2.2 inches),Carburettor,Single Overhead Cams (SOHC),C.D.I,Pressure splash lubrication,Air,4-speed,Chain   (final drive),"Wet, multiple-plate",,Chine type,,Telescopic forks,85 mm (3.3 inches),Telescopic coil spring oil damped,75 mm (3.0 inches),Single disc,130 mm (5.1 inches),Expanding brake (drum brake),115.0 kg (253.5 pounds),0.0758 HP/kg,"760 mm (29.9 inches) If adjustable, lowest setting.",115 mm (4.5 inches),1300 mm (51.2 inches),3.80 litres (1.00 US gallons),"Red, black",Electric & kick,Cub,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 5500 RPM,9.5:1,2,,70/90-17 ,80/90-17 ,,1970 mm (77.6 inches),720 mm (28.3 inches),,,,,,,,1110 mm (43.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metisse Steve McQueen Desert Racer,2015,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",47.0 HP (34.3  kW)) @ 6700 RPM,71.0 x 82.0 mm (2.8 x 3.2 inches),Carburettor. Amal carburettor,,,,,,Chain   (final drive),,,"Chrome moly, nickel plated, oil-bearing frame with oil filter included",,35mm Cerani fork,,BSA,,Expanding brake (drum brake),,Expanding brake (drum brake),135.0 kg (297.6 pounds),0.3481 HP/kg,,,,,Black,,"English made bike. A limited edition of 300 Steve McQueen Desert Racers from Métisse, each one comes with a certificate of authenticity and Steve McQueen’s signature on the tank.",,9.0:1,,,2.75-21 ,100/110-18 ,,,,,Triumph TR6 engine,,,Period chromed exhaust pipes,Wire-spoke wheels,Hand-made upholstered long seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Metropolitan,2015,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,Injection. PGM-FI with automatic enrichment,,CDI,,,Automatic,Belt   (final drive),,,,,Twin-downtube fork,53 mm (2.1 inches),Single shock,58 mm (2.3 inches),Expanding brake (drum brake),,Expanding brake (drum brake),,,"719 mm (28.3 inches) If adjustable, lowest setting.",,1181 mm (46.5 inches),4.54 litres (1.20 US gallons),"Pearl Blue/Pearl Black, Pink Metallic/Pearl White, White",Electric,Model ID: NCH50,,,,,80/100-10 ,80/100-10 ,81.2 kg (179.0 pounds),,,One year. Unlimited milage. Transferable.,,2.01 litres/100 km (49.8 km/l or 117.03 mpg),46.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,22-Liter Underseat Storage,,,,,,,,,,,,,,,,,,,,,,,
Daelim RoadSport 125,2015,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)) @ 10800 RPM,56.0 x 50.7 mm (2.2 x 2.0 inches),Injection. EFI,Double Overhead Cams/Twin Cam (DOHC),Electric/ECU,,Liquid,5-speed,Chain   (final drive),,,Steel,,Telescopic fork,,Swing Arm,,Single disc,,Single disc,145.0 kg (319.7 pounds),0.1021 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,1380 mm (54.3 inches),16.00 litres (4.23 US gallons),"White, black, red",Electric,,,11.8:1,4,,110/70-17 ,140/60-17 ,,2015 mm (79.3 inches),778 mm (30.6 inches),2 year warranty unlimited mileage,,,,,,,1180 mm (46.5 inches),,Digital speedometer with analogue tachometer,,,,,Euro III,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja ZX-14R Ohlins,2015,Sport,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1441.0 ccm (87.93 cubic inches),"In-line four, four-stroke",,84.0 x 65.0 mm (3.3 x 2.6 inches),Injection. DFI  with four 44mm Mikuni throttle bodies,Double Overhead Cams/Twin Cam (DOHC),TCBI with digital advance,,Liquid,6-speed,Chain   (final drive),Slipper clutch,Sealed chain,Aluminum monocoque,23.0°,"43mm inverted cartridge fork with adjustable preload, 18-way compression and 15-way rebound damping adjustment ",117 mm (4.6 inches),"Bottom-Link Uni-Trak, Öhlins TTX39 rear shock with piggyback reservoir and remote preload adjuster",124 mm (4.9 inches),Double disc. ABS. Floating discs. Four-piston calipers. Radially mounted. ,250 mm (9.8 inches),Single disc. ABS. Two-piston calipers. ,,,"800 mm (31.5 inches) If adjustable, lowest setting.",125 mm (4.9 inches),1481 mm (58.3 inches),22.00 litres (5.81 US gallons),Ebony with flames,Electric,Small windscreen.,,12.3:1,4,94 mm (3.7 inches),120/70-ZR17 ,190/50-ZR17 ,268.0 kg (590.9 pounds),2170 mm (85.4 inches),770 mm (30.3 inches),,,,,,,,1171 mm (46.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Zoomer,2015,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",4.0 HP (2.9  kW)) @ 7500 RPM,38.0 x 44.0 mm (1.5 x 1.7 inches),Carburettor,Single Overhead Cams (SOHC),,,Liquid,Automatic,Belt   (final drive),,V-Matic,Steel tube,,"27mm telescopic fork, 49mm axle travel ",,"Unit swingarm, 65mm axle travel ",,Expanding brake (drum brake),95 mm (3.7 inches),Expanding brake (drum brake),84.0 kg (185.2 pounds),0.0476 HP/kg,"735 mm (28.9 inches) If adjustable, lowest setting.",145 mm (5.7 inches),1265 mm (49.8 inches),5.00 litres (1.32 US gallons),,Electric & kick,,4.5 Nm (0.5 kgf-m or 3.3 ft.lbs) @ 5000 RPM,12.0:1,,,120/90-10 ,130/90-10 ,,1860 mm (73.2 inches),735 mm (28.9 inches),,,2.06 litres/100 km (48.5 km/l or 114.18 mpg),47.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Pressed Steel 10 x MT3.00,Single person,1025 mm (40.4 inches),,,,12 Volt,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway Silverblade 250i,2015,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.8 ccm (15.24 cubic inches),"Single cylinder, four-stroke",20.8 HP (15.2  kW)) @ 7000 RPM,69.0 x 66.8 mm (2.7 x 2.6 inches),Injection,,TLI,Pressure splash lubrication,Liquid,Automatic,Belt   (final drive),"Wet, multiple-plate",,,,Telescopic forks,90 mm (3.5 inches),Telescopic coil spring oil damped,90 mm (3.5 inches),Single disc,250 mm (9.8 inches),Single disc,194.0 kg (427.7 pounds),0.1072 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",100 mm (3.9 inches),1490 mm (58.7 inches),10.70 litres (2.83 US gallons),Blue,Electric,,23.4 Nm (2.4 kgf-m or 17.3 ft.lbs) @ 6000 RPM,10.7:1,2,,120/70-14 ,140/60-14 ,,2140 mm (84.3 inches),800 mm (31.5 inches),,,,,,,,1410 mm (55.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj CT 100,2015,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",99.7 ccm (6.08 cubic inches),"Single cylinder, four-stroke",8.2 HP (6.0  kW)) @ 7500 RPM,53.0 x 45.0 mm (2.1 x 1.8 inches),Carburettor. PTE 16 Manual choke,,,,Air,4-speed,Chain   (final drive),,Constant mesh,Tubular single down tube with lower cradle frame,,"Hydraulic, Telescopic Type",125 mm (4.9 inches),Trailing arm with co- axial hydraulic shockabsorber and coil springs. SNS.,125 mm (4.9 inches),Expanding brake (drum brake),,Expanding brake (drum brake),,,,169 mm (6.7 inches),1255 mm (49.4 inches),10.50 litres (2.77 US gallons),"Black, blue",Kick,Bike made in India.,8.1 Nm (0.8 kgf-m or 5.9 ft.lbs) @ 4500 RPM,,2,,2.75-17 ,3.00-17 ,109.0 kg (240.3 pounds),1965 mm (77.4 inches),770 mm (30.3 inches),,,,,,Wire spoke or alloy wheels,,1075 mm (42.3 inches),,,,,,,,90.0 km/h (55.9 mph),,,,,,,,,,,,,,,,,,,,,
Kawasaki KLR 650,2015,Super motard," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",651.0 ccm (39.72 cubic inches),"Single cylinder, four-stroke",,100.0 x 83.0 mm (3.9 x 3.3 inches),Carburettor. Keihin CVK40,Double Overhead Cams/Twin Cam (DOHC),Electric CDI,,Liquid,5-speed,Chain   (final drive),,,"Semi-double cradle, high-tensile steel",28.0°,41mm telescopic fork,201 mm (7.9 inches),Uni-Trak   single-shock system with 5-way preload and stepless rebound damping,185 mm (7.3 inches),Single disc. Two-piston calipers. ,280 mm (11.0 inches),Single disc,,,"889 mm (35.0 inches) If adjustable, lowest setting.",211 mm (8.3 inches),1481 mm (58.3 inches),23.09 litres (6.10 US gallons),"Candy Lime Green/Ebony, Metallic Flat Raw Graystone/Ebony, Pearl Stardust White/Ebony",Electric,,,9.8:1,,112 mm (4.4 inches),90/90-21 ,130/80-17 ,196.0 kg (432.0 pounds),2296 mm (90.4 inches),960 mm (37.8 inches),12 Months,,,,,,,1349 mm (53.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Bear Choppers Merc Rigid 111 Carb,2015,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1819.1 ccm (111.00 cubic inches),"V2, four-stroke",115.8 HP (84.5  kW)),104.8 x 104.8 mm (4.1 x 4.1 inches),Carburettor. S and S Super E Carburetor,,S and S,S and S high volume oil pump,,5-speed,Chain   (final drive),,,BBC Merc Rigid,48.0°,BBC Merc Springer,76 mm (3.0 inches),Rigid,76 mm (3.0 inches),Single disc. 4-piston calipers,,Single disc. 4-piston caliper,294.8 kg (650.0 pounds),0.3928 HP/kg,"584 mm (23.0 inches) If adjustable, lowest setting.",,2235 mm (88.0 inches),14.66 litres (3.87 US gallons),"Gross Black, satin black, charcoal metallic, silver metallic, black cherry, candy red metallic, firecracker red, orange pearl, electric blue. Standard or Custom Paint Scheme.",Electric,Also available as a kit.,166.5 Nm (17.0 kgf-m or 122.8 ft.lbs),,,95 mm (3.8 inches),90/80-21 ,250/80-18 ,,2946 mm (116.0 inches),,,,,,Chrome Tuned Exhaust,,,,4.70 litres (4.97 US quarts),Chrome Digital Dash,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN1700 Voyager,2015,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1700.0 ccm (103.73 cubic inches),"V2, four-stroke",72.4 HP (52.9  kW)) @ 5000 RPM,102.0 x 104.0 mm (4.0 x 4.1 inches),Injection,Single Overhead Cams (SOHC),Digital,"Forced lubrication, semi-dry sump",Liquid,,Belt   (final drive),"Wet multi-disc, manual",,"Double-cradle, steel",30.0°,45 mm telescopic fork,,Swingarm with twin air-assisted shocks,,Double disc,300 mm (11.8 inches),Single disc,,,"730 mm (28.7 inches) If adjustable, lowest setting.",135 mm (5.3 inches),1665 mm (65.6 inches),20.00 litres (5.28 US gallons),Black,Electric,Windscreen. Sold in some European countries.,136.0 Nm (13.9 kgf-m or 100.3 ft.lbs) @ 2750 RPM,9.5:1,,177 mm (7.0 inches),130/90-B16 ,170/70-B16 ,406.0 kg (895.1 pounds),2560 mm (100.8 inches),995 mm (39.2 inches),,Reed valve. ,,,,,,1550 mm (61.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Benly 110,2015,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,107.0 ccm (6.53 cubic inches),"Single cylinder, four-stroke",7.8 HP (5.7  kW)) @ 7000 RPM,50.0 x 55.0 mm (2.0 x 2.2 inches),Injection. PGM-FI,Overhead Cams (OHC),,,Air,Automatic,Belt   (final drive),Dry multi-plate shoe,V-matic,Underbone,,Telescopic fork,,Unit swing type,,Expanding brake (drum brake),,Expanding brake (drum brake),113.0 kg (249.1 pounds),0.0688 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",115 mm (4.5 inches),1280 mm (50.4 inches),10.00 litres (2.64 US gallons),,Electric & kick,Sold in some Asian countries.,8.6 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 5000 RPM,10.1:1,,,90/90-12 ,110/80-10 ,,1805 mm (71.1 inches),,,,1.89 litres/100 km (52.9 km/l or 124.46 mpg),43.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,Two person seat,1040 mm (40.9 inches),,,,,,Rear cargo rack.,,,,,,,,,,,,,,,,,,,,,,,
Quadro 3,2015,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,346.0 ccm (21.11 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 7000 RPM,,Carburettor,Single Overhead Cams (SOHC),Electronic,With wet-sump pressurized pump,Liquid,Automatic,Belt   (final drive),Automatic dry centrifugal,,Steel tubes,19.0°,HTS system (oleo-pneumatic tilting suspension),,Dual dumpers - wheel travel of 100 mm,100 mm (3.9 inches),Single disc. Hydraulic. ,256 mm (10.1 inches),Single disc. Hydraulic. ,200.0 kg (440.9 pounds),0.1350 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,13.00 litres (3.43 US gallons),"White, grey, black",Electric,Windshield. Two front wheels.,28.8 Nm (2.9 kgf-m or 21.2 ft.lbs) @ 5500 RPM,,,,110/80-14 ,140/70-15 ,,2270 mm (89.4 inches),811 mm (31.9 inches),,,,,,#ffffff;in.)The spring season opens with the arrival of the new,,,,,,12 Volt,,,Euro 3,,,,,,,,,,,,,,,,,,,,,,
Arctic Cat XC 450,2015,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,443.0 ccm (27.03 cubic inches),"Single cylinder, four-stroke",,89.0 x 71.2 mm (3.5 x 2.8 inches),Injection. EFI,Single Overhead Cams (SOHC),,,Liquid,Automatic,Belt   (final drive),,"2/4 WD + Electric. Automatic CVT with EBS, Hi/Lo Range  and  Reverse.",,,Double A-Arm,178 mm (7.0 inches),Double A-Arm,178 mm (7.0 inches),Single disc. Hydraulic. ,,Single disc. Hydraulic. ,272.2 kg (600.0 pounds),,,254 mm (10.0 inches),1219 mm (48.0 inches),16.28 litres (4.30 US gallons),Orange,Electric,"Aluminum Wheels, Automotive-Style Paint, Rear 2-Inch Receiver, Dual Taillights/Backup Lights.",,,,,23/8-12 ,23/10-12 ,,1862 mm (73.3 inches),1207 mm (47.5 inches),,,,,,Maxxis MS10K tires.,,1189 mm (46.8 inches),,Analog/digital,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeway Superlight 125,2015,Custom / cruiser," 2.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.5 HP (7.6  kW)) @ 9000 RPM,56.5 x 49.5 mm (2.2 x 1.9 inches),Carburettor,Overhead Valves (OHV),C.D.I,Pressure splash lubrication,Air,5-speed,Chain   (final drive),"Wet, multiple-plate",,Arch bar truck,,Telescopic forks,110 mm (4.3 inches),Telescopic coil spring oil damped,80 mm (3.1 inches),Single disc,160 mm (6.3 inches),Expanding brake (drum brake),134.0 kg (295.4 pounds),0.0781 HP/kg,"730 mm (28.7 inches) If adjustable, lowest setting.",120 mm (4.7 inches),1440 mm (56.7 inches),15.00 litres (3.96 US gallons),Black,Electric & kick,"Windscreen. Keeway is the American and European brand name of Qianjiang, China.",8.9 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 7500 RPM,9.0:1,2,,100/80-17 ,130/80-17 ,,2260 mm (89.0 inches),800 mm (31.5 inches),,,,,,,Dual seat,1110 mm (43.7 inches),,,,,,Saddle bags,,,,,,,,,,,,,,,,,,,,,,,
