Model,Year,Category,Rating,Displacement,Engine type,Torque,Compression,Bore x stroke,Fuel system,Cooling system,Gearbox,Rake (fork angle),Trail,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Seat height,Overall length,Ground clearance,Wheelbase,Fuel capacity,Color options,Comments,Power,Valves per cylinder,Fuel control,Transmission type,Frame type,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Power/weight ratio,Overall width,Reserve fuel capacity,Top speed,Fuel consumption,Greenhouse gases,Modifications compared to previous model,Overall height,Max RPM,Ignition,Lubrication system,Clutch,Exhaust system,Starter,"Weight incl. oil, gas, etc",Alternate seat height,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Idle speed,Belt teeth,Belt width,Pulley teeth,Fork tube size,0-100 km/h (0-62 mph),Driveline,Electrical,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Coolant,Chain size,Engine details,Wheels
Jinlun JL 250 T,2004,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,244.0 ccm (14.89 cubic inches),"Single cylinder, four-stroke",,,,,,,,,,,Single disc,,Expanding brake (drum brake),150.0 kg (330.7 pounds),,2265 mm (89.2 inches),,1625 mm (64.0 inches),,Black/white,Also named Kingring JL250T. ,,,,,,,,,,,745 mm (29.3 inches),,90.0 km/h (55.9 mph),,,,1355 mm (53.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V 11 Sport Ballabio,2004,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",94.0 Nm (9.6 kgf-m or 69.3 ft.lbs) @ 5400 RPM,9.8:1,92.0 x 80.0 mm (3.6 x 3.1 inches),Injection,Air,6-speed,25.0°,103 mm (4.1 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc,282 mm (11.1 inches),Single disc,226.0 kg (498.2 pounds),"800 mm (31.5 inches) If adjustable, lowest setting.",2150 mm (84.6 inches),178 mm (7.0 inches),1490 mm (58.7 inches),20.70 litres (5.47 US gallons),"Grigio resinelli, Rosso race","V11 Ballabio -- Named after the Italian Hillclimb Speed Championship, Moto Guzzi introduces the V11 Ballabio. Higher handle bars for a more relaxed riding position. The latest 90º V-Twin with added crossover pipe and increased compression ratio to 9.8:1. Brembo Gold Series brakes. 180/55 17´ rear tire. Available in Red and Black.
",89.9 HP (65.6  kW)) @ 8200 RPM,2,Overhead Cams (OHC),Shaft drive (cardan)   (final drive),Mono beam frame,"Marzocchi USD fork, 40 mm compression/extension adjustable",120 mm (4.7 inches),Cantilever swing arm with Sachs Boge mono shock compression/extension/preload adjustable,128 mm (5.0 inches),0.3976 HP/kg,810 mm (31.9 inches),5.00 litres (1.32 US gallons),,,,,1200 mm (47.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Bandit 600 S,2004,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",54.1 Nm (5.5 kgf-m or 39.9 ft.lbs) @ 9500 RPM,11.3:1,62.6 x 48.7 mm (2.5 x 1.9 inches),Carburettor,Air,6-speed,25.4°,100 mm (3.9 inches),120/60-ZR17 ,160/60-ZR17 ,Double disc,240 mm (9.4 inches),Single disc,208.0 kg (458.6 pounds),,2060 mm (81.1 inches),130 mm (5.1 inches),1440 mm (56.7 inches),20.00 litres (5.28 US gallons),"Silver, Black, Blue",Also called Suzuki GSF600 S,77.5 HP (56.6  kW)) @ 10500 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,41mm telescopic fork,,"Swingarm, progressive linkage, 4-way rebound damping, 7-way spring preload",,0.3726 HP/kg,770 mm (30.3 inches),,,,,,1220 mm (48.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 50 SX Pro Senior LC,2004,"Minibike, sport"," 3.8  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,39.5 x 40.0 mm (1.6 x 1.6 inches),Carburettor,Liquid,Automatic,24.0°,,,,Single disc,216 mm (8.5 inches),Expanding brake (drum brake),37.6 kg (82.9 pounds),"650 mm (25.6 inches) If adjustable, lowest setting.",,220 mm (8.7 inches),910 mm (35.8 inches),1.80 litres (0.48 US gallons),Orange,,,,,Chain   (final drive),Central double-cradle-type frame,Marzocchi Ø 32 mm,,WP monoshock,,,,,,,,,,,,,,,,,"675 mm (26.6 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
Jincheng JC50Q-8,2004,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"In-line four, four-stroke",,,,,,,,,,,,,,,,,,,,Tourquse ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB 250 Nighthawk,2004,Allround," 3.7  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",234.0 ccm (14.28 cubic inches),"Twin, four-stroke",,9.2:1,53.0 x 53.0 mm (2.1 x 2.1 inches),Carburettor,Air,5-speed,32.6°,161 mm (6.3 inches),90/100-18 ,120/90-16 ,Expanding brake (drum brake),,Expanding brake (drum brake),,"744 mm (29.3 inches) If adjustable, lowest setting.",,,1430 mm (56.3 inches),16.27 litres (4.30 US gallons),Black,,,2,Single Overhead Cams (SOHC),Chain   (final drive),,31.0 mm fork,140 mm (5.5 inches),Dual rear shocks with five-position spring-preload adjustability.,99 mm (3.9 inches),,,3.02 litres (0.80 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1150 R,2004,Naked bike," 4.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1130.0 ccm (68.95 cubic inches),"Two cylinder boxer, four-stroke",98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 5250 RPM,10.3:1,101.0 x 70.5 mm (4.0 x 2.8 inches),Injection,Oil & air,6-speed,,,120/70-ZR17 ,180/55-ZR17 ,Double disc,276 mm (10.9 inches),Single disc,219.0 kg (482.8 pounds),"835 mm (32.9 inches) If adjustable, lowest setting.",2170 mm (85.4 inches),,1486 mm (58.5 inches),20.50 litres (5.42 US gallons),,,83.8 HP (61.2  kW)) @ 6750 RPM,4,Overhead Cams (OHC),Shaft drive (cardan)   (final drive),"Three-section composite frame consisting of front and rear section, load bearing engine.","BMW Motorrad Telelever; stanchion diameter 35 mm, central strut, rebound damping adjustable",120 mm (4.7 inches),"Die-cast aluminium single-sided swinging arm with BMW Motorrad Paralever; central strut, spring pre-load adjustable to continuously variable levels by means of hydraulic handwheel, rebound damping adjustable",135 mm (5.3 inches),0.3827 HP/kg,920 mm (36.2 inches),,,,,,1097 mm (43.2 inches),,,,,,,239.0 kg (526.9 pounds),"845 mm (33.3 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
TM Racing EN 250 F ES Enduro,2004,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,15.5:1,77.0 x 53.6 mm (3.0 x 2.1 inches),Carburettor,Liquid,5-speed,,,90/90-21 ,120/90-21 ,Single disc,240 mm (9.4 inches),Single disc,,,,,,9.00 litres (2.38 US gallons),,Electric and kick start.,,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),Cr-Mo steel,Paioli USD 46 (optional Ohlins),,Ohlins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Vitality 4T,2004,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",3.6 Nm (0.4 kgf-m or 2.7 ft.lbs) @ 6000 RPM,,,,Air,,,,120/70-12 ,130/70-12 ,Single disc,,Expanding brake (drum brake),98.0 kg (216.1 pounds),,1940 mm (76.4 inches),,,,,,3.8 HP (2.8  kW)) @ 6500 RPM,,,,,,,,,0.0387 HP/kg,700 mm (27.6 inches),,,,,,1120 mm (44.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda ST 1300,2004,Sport touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1261.0 ccm (76.95 cubic inches),"V4, four-stroke",117.0 Nm (11.9 kgf-m or 86.3 ft.lbs) @ 6500 RPM,10.8:1,78.0 x 66.0 mm (3.1 x 2.6 inches),Injection. PGM-FI,Liquid,5-speed,26.0°,98 mm (3.9 inches),120/70-ZR18 ,170/60-ZR17 ,Double disc. 3-piston caliper. Optional ABS.,316 mm (12.4 inches),Single disc. 3-piston caliper. Optional ABS.,286.0 kg (630.5 pounds),"790 mm (31.1 inches) If adjustable, lowest setting.",2282 mm (89.8 inches),,1491 mm (58.7 inches),29.14 litres (7.70 US gallons),Pearl Dark Blue,,118.0 HP (86.1  kW)) @ 8000 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Shaft drive (cardan)   (final drive),Aluminium triple box,45.0mm HMAS cartridge fork.,117 mm (4.6 inches),HMAS gas-charged single shock with five-position spring-preload adjustability;,133 mm (5.2 inches),0.4126 HP/kg,1330 mm (52.4 inches),,225.0 km/h (139.8 mph),5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,,935 mm (36.8 inches),,,,Multi plate wet,,Electric,331.0 kg (729.7 pounds),,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF-R6,2004,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",68.5 Nm (7.0 kgf-m or 50.5 ft.lbs) @ 12000 RPM,12.4:1,65.5 x 44.5 mm (2.6 x 1.8 inches),Injection,Liquid,,,,120/60-ZR17 ,180/55-ZR17 ,Double disc,220 mm (8.7 inches),Single disc,162.0 kg (357.1 pounds),"820 mm (32.3 inches) If adjustable, lowest setting.",2025 mm (79.7 inches),135 mm (5.3 inches),1380 mm (54.3 inches),,"Racing red, Yamaha blue, Mistral grey",,123.0 HP (89.8  kW)) @ 13000 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,Telescopic fork,120 mm (4.7 inches),Swingarm (Link suspension),130 mm (5.1 inches),0.7593 HP/kg,690 mm (27.2 inches),,,,,,1090 mm (42.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 620 i.e. Dark,2004,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",618.0 ccm (37.71 cubic inches),"V2, four-stroke",53.3 Nm (5.4 kgf-m or 39.3 ft.lbs) @ 6500 RPM,10.5:1,80.0 x 61.8 mm (3.1 x 2.4 inches),Injection,Air,6-speed,24.0°,,120/60-ZR17 ,160/60-ZR17 ,Double disc,245 mm (9.6 inches),Single disc,,"770 mm (30.3 inches) If adjustable, lowest setting.",2100 mm (82.7 inches),,1440 mm (56.7 inches),15.00 litres (3.96 US gallons),"Black, metallic grey with matte black, matte silver tank",,60.0 HP (43.8  kW)) @ 8250 RPM,2,Desmodromic valve control,Chain   (final drive),Tubular steel trellis,43 mm upside-down,130 mm (5.1 inches),Progressive linkage with Sachs adjustable monoshock.,148 mm (5.8 inches),,,3.50 litres (0.92 US gallons),,,,,1212 mm (47.7 inches),,,,,,,177.0 kg (390.2 pounds),,,,,,,,,,,,,,,,,,,,,,,
Derbi Senda SM DRD,2004,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,13.0:1,39.9 x 40.0 mm (1.6 x 1.6 inches),Carburettor,Liquid,6-speed,,,100/80-17 ,130/80-17 ,Double disc,220 mm (8.7 inches),Single disc,,,2050 mm (80.7 inches),,1400 mm (55.1 inches),7.00 litres (1.85 US gallons),"Blue, Black",,,,,Chain   (final drive),,"Hydraulic fork, 40 mm",190 mm (7.5 inches),Progressive gas single absorber,62 mm (2.4 inches),,805 mm (31.7 inches),1.00 litres (0.26 US gallons),,,,,1165 mm (45.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Silver Wing,2004,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",582.0 ccm (35.51 cubic inches),"Twin, four-stroke",,10.2:1,72.0 x 71.5 mm (2.8 x 2.8 inches),,Liquid,Automatic,,,120/80-14 ,150/70-13 ,Single disc,240 mm (9.4 inches),Single disc,,"739 mm (29.1 inches) If adjustable, lowest setting.",,,1595 mm (62.8 inches),15.89 litres (4.20 US gallons),"Candy Dark Red, Metallic Silver",Model id FSC600.,,2,Double Overhead Cams/Twin Cam (DOHC),Belt   (final drive),,41mm hydraulic fork,119 mm (4.7 inches),Swingarm with dual hydraulic shocks with five-position spring-preload adjustability,119 mm (4.7 inches),,,3.40 litres (0.90 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS Pampera 125,2004,Cross / motocross," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, two-stroke",,,56.0 x 50.5 mm (2.2 x 2.0 inches),Carburettor,Liquid,6-speed,,,90/90-21 ,130/80-18 ,Single disc,240 mm (9.4 inches),Single disc,102.0 kg (224.9 pounds),"930 mm (36.6 inches) If adjustable, lowest setting.",,320 mm (12.6 inches),1475 mm (58.1 inches),,Blue,,,,,Chain   (final drive),"Type deltabox, made of eliptic profile Cr-Mo tube",Marzocchi adjustable hydraulic fork,,Variable progressive system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX-R 1000 Mladin Replica,2004,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",,12.0:1,73.0 x 59.0 mm (2.9 x 2.3 inches),Injection,Liquid,6-speed,,,120/70-ZR17 ,190/50-ZR17 ,Double disc,,Single disc,168.0 kg (370.4 pounds),"830 mm (32.7 inches) If adjustable, lowest setting.",2045 mm (80.5 inches),,1410 mm (55.5 inches),18.00 litres (4.76 US gallons),Blue/White,,,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,"Inverted telescopic, coil spring, fully adjustable spring preload, compression and rebound damping",,"Link-type, gas/oil-damped, fully adjustable spring preload, compression and rebound damping",,,715 mm (28.1 inches),,,,,,1135 mm (44.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Katana 600,2004,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",,11.3:1,62.6 x 48.7 mm (2.5 x 1.9 inches),Carburettor,Oil & air,6-speed,,,120/70-ZR17 ,150/70-ZR17 ,Double disc,,Single disc,208.0 kg (458.6 pounds),"785 mm (30.9 inches) If adjustable, lowest setting.",2140 mm (84.3 inches),,1470 mm (57.9 inches),20.00 litres (5.28 US gallons),"Yellow, Blue",,,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,"Telescopic, oil damped, 4-way adjustable rebound damping",,"Link-type suspension, 4-way adjustable rebound damping, 7-way adjustable preload",,,755 mm (29.7 inches),,,,,,1195 mm (47.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 999 R,2004,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",999.0 ccm (60.96 cubic inches),"V2, four-stroke",108.0 Nm (11.0 kgf-m or 79.7 ft.lbs) @ 8000 RPM,12.3:1,104.0 x 58.8 mm (4.1 x 2.3 inches),Injection,Liquid,6-speed,24.0°,,120/70-ZR17 ,190/50-ZR17 ,Double disc,240 mm (9.4 inches),Single disc,,"780 mm (30.7 inches) If adjustable, lowest setting.",2095 mm (82.5 inches),,1420 mm (55.9 inches),15.50 litres (4.10 US gallons),"Red frame, black wheels","This is the link between standard production bikes and the racing world. With the best that technology can offer, it stands out thanks to even more advanced technical solutions, starting with a high performance big bore/short stroke Testastretta engine, producing even higher RPM limits and 139 Hp.
The carbon fibre is the result of extensive wind tunnel testing and the exclusive nature of the motorcycle is reinforced by the limited edition numbered plate affixed to the fork yoke.
",139.0 HP (101.5  kW)) @ 10000 RPM,4,Desmodromic valve control,Chain   (final drive),Tubular ALS450 steel trellis,"Öhlins upside-down fully adjustable fork with TiN surface treatment, for radial calipers",120 mm (4.7 inches),Progressive linkage with fully adjustable Öhlins monoshock,128 mm (5.0 inches),,,3.00 litres (0.79 US gallons),,,,,1110 mm (43.7 inches),,,,,,,192.0 kg (423.3 pounds),,,,,,,,,,,,,,,,,,,,,,,
KTM 950 Adventure Silver - Orange - Black,2004,Enduro / offroad," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",942.0 ccm (57.48 cubic inches),"V2, four-stroke",95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 6000 RPM,11.5:1,100.0 x 60.0 mm (3.9 x 2.4 inches),Carburettor,Liquid,6-speed,,,90/90-21 ,,Double disc,240 mm (9.4 inches),Single disc,198.0 kg (436.5 pounds),"880 mm (34.6 inches) If adjustable, lowest setting.",,281 mm (11.1 inches),1570 mm (61.8 inches),22.00 litres (5.81 US gallons),"Orange, Silver, Black",Silver not available in the US.,96.6 HP (70.5  kW)) @ 8000 RPM,,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),"Tubular chromoly space frame, power-coated",WP-USD 48 MA,,WP-PDS suspension strut with hydr. spring preload,,0.4876 HP/kg,950 mm (37.4 inches),,,,,,950 mm (37.4 inches),,,,,,,,"675 mm (26.6 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi California Titanum,2004,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",88.5 Nm (9.0 kgf-m or 65.3 ft.lbs) @ 5200 RPM,9.8:1,92.0 x 80.0 mm (3.6 x 3.1 inches),Injection,Air,5-speed,29.0°,116 mm (4.6 inches),110/90-VB18 ,140/80-VB17 ,Double disc,282 mm (11.1 inches),Single disc,251.0 kg (553.4 pounds),"750 mm (29.5 inches) If adjustable, lowest setting.",2380 mm (93.7 inches),190 mm (7.5 inches),1560 mm (61.4 inches),19.00 litres (5.02 US gallons),Titanium,"California Titanium -- Custom powercruiser with the legendary, updated 90º V-Twin with hydraulic self-adjusting valves. Brembo Gold Series brakes. Integral braking system. Aerodynamic sport fairing. An easy-riding, dynamite performance cruiser in the ultimate high-tech titanium metallic finish",73.8 HP (53.8  kW)) @ 7000 RPM,2,Overhead Cams (OHC),Shaft drive (cardan)   (final drive),Detachable tubular duplex cradle,Marzocchi 45 mm hydraulic telescopic fork,140 mm (5.5 inches),Swing arm with 2 hydraulic shock absorbers with preload adjustment,104 mm (4.1 inches),0.2939 HP/kg,800 mm (31.5 inches),4.00 litres (1.06 US gallons),,,,,1240 mm (48.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jincheng JC 125 -5,2004,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.5 ccm (7.60 cubic inches),"Single cylinder, four-stroke",,,,,Air,5-speed,,,,,,,,118.0 kg (260.1 pounds),,2050 mm (80.7 inches),,,12.00 litres (3.17 US gallons),"Black, Red",,12.0 HP (8.8  kW)),,,,,,,,,0.1017 HP/kg,750 mm (29.5 inches),,95.0 km/h (59.0 mph),2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,1040 mm (40.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi MGS-01 Corsa,2004,Sport," 2.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1256.0 ccm (76.64 cubic inches),"V2, four-stroke",112.8 Nm (11.5 kgf-m or 83.2 ft.lbs) @ 6400 RPM,11.0:1,100.0 x 80.0 mm (3.9 x 3.1 inches),,Air,6-speed,23.5°,95 mm (3.7 inches),120/70-17 ,180/55-17 ,Double disc,220 mm (8.7 inches),Single disc,192.0 kg (423.3 pounds),"820 mm (32.3 inches) If adjustable, lowest setting.",2010 mm (79.1 inches),,1428 mm (56.2 inches),20.00 litres (5.28 US gallons),,"MGS-01 Corsa --Unleashed creativity breeds the MGS/01 Corsa, a Moto Guzzi with the ultimate sporting temperament. 
1256cc, 90º V-Twin. Cosworth triple ring racing pistons, and nymonic valves. One-piece carbon fiber body design. Completely adjustable Ohlins suspension. OZ wheels. Aluminum box section swing arm. MGS/01's overall stunning aerodynamic design ensures perfect agility and performance on and off the race track",122.0 HP (89.1  kW)) @ 8000 RPM,4,Overhead Cams (OHC),,Rectangular section singel-beam ALS 450,Ohlins 43 mm Adjustable USD Fork,120 mm (4.7 inches),Aluminum Box Swingarm with Ohlins Adjustable Monoshock,110 mm (4.3 inches),0.6354 HP/kg,780 mm (30.7 inches),,,,,,1180 mm (46.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Helix,2004,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",244.0 ccm (14.89 cubic inches),"Single cylinder, four-stroke",,,,Carburettor,Liquid,Automatic,,,110/90-12 ,120/90-10 ,Single disc,,Expanding brake (drum brake),,"665 mm (26.2 inches) If adjustable, lowest setting.",,,1621 mm (63.8 inches),12.11 litres (3.20 US gallons),"Candy Blue, Metallic Silver, Pearl White, Red, Yellow",Model id CN250.,,,,Belt   (final drive),,Bottom link.,81 mm (3.2 inches),Swingarm with dual hydraulic shocks.,99 mm (3.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva V-Raptor 1000,2004,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",996.0 ccm (60.78 cubic inches),"Twin, four-stroke",90.3 Nm (9.2 kgf-m or 66.6 ft.lbs) @ 7000 RPM,11.3:1,98.0 x 66.0 mm (3.9 x 2.6 inches),Injection,Liquid,6-speed,,,120/70-17 ,180/55-17 ,Double disc,220 mm (8.7 inches),Single disc,197.0 kg (434.3 pounds),"805 mm (31.7 inches) If adjustable, lowest setting.",,175 mm (6.9 inches),,15.20 litres (4.02 US gallons),"Red, Silver",,105.5 HP (77.0  kW)) @ 8500 RPM,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),High strength steel tubular frame,Upside Down fully adjustable hydraulic fork,120 mm (4.7 inches),Progressive single shock with atjustable rebound - compression damping and spring preload. Double sided swingarm.,138 mm (5.4 inches),0.5355 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
