Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Gearbox,Transmission type,Clutch,Driveline,Fuel consumption,Greenhouse gases,Emission details,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Reserve fuel capacity,Oil capacity,Color options,Starter,Cooling system,Dry weight,Electrical,Top speed,Light,Factory warranty,Comments,Engine details,Valves per cylinder,Exhaust system,Power/weight ratio,Seat,Instruments,Carrying capacity,Alternate seat height,Engine oil,Brake fluid,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Modifications compared to previous model,Max RPM,Coolant,Chain size,Chain links,Sprockets,"60-140 km/h (37-87 mph), highest gear",1/4 mile (0.4 km),Battery,Oil filter,Belt teeth,Belt width,Pulley teeth
FB Mondial Flat Track 125,2020,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.2 ccm (7.58 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)) @ 9750 RPM,10.5 Nm (1.1 kgf-m or 7.7 ft.lbs) @ 8000 RPM,12.0:1,58.0 x 47.0 mm (2.3 x 1.9 inches),Injection. EFI,Double Overhead Cams/Twin Cam (DOHC),,Wet sump,6-speed,Chain   (final drive),,,,,,,,,41 mm USD fork,97 mm (3.8 inches),Single shock absorbers,120 mm (4.7 inches),120/80-19 ,130/80-19 ,Single disc. 4 pistons radial caliper. ABS.,220 mm (8.7 inches),Single disc. Single-piston caliper. ABS.,,,"846 mm (33.3 inches) If adjustable, lowest setting.",1108 mm (43.6 inches),2072 mm (81.6 inches),798 mm (31.4 inches),175 mm (6.9 inches),1380 mm (54.3 inches),9.50 litres (2.51 US gallons),,,"White/yellow/black, white/red/black.",Electric,Liquid,140.0 kg (308.6 pounds),,,,,Italian brand.,,4,,0.1054 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Fantic 125M Competition,2020,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,124.5 ccm (7.59 cubic inches),"Single cylinder, four-stroke",,,,52.0 x 58.6 mm (2.0 x 2.3 inches),Carburettor. Keihin 30mm,Single Overhead Cams (SOHC),Digital,,6-speed,Chain   (final drive),Multidisc in oil,,,,Euro 4,"Perimeter steel CrMo. Subframe: Removable in steel. Swing arm: Steel, progressive link.",,,Fantic FRS competition ø41mm upside ,,"Fantic FRS 125 Piggyback - 2 regulation. Swing arm in In steel, variable section and progressive link.",,100/80-17 ,130/70-17 ,Single disc. Wave disc,220 mm (8.7 inches),Single disc. Wave disc,"Aluminium, anodized black, wire spoked",,"870 mm (34.3 inches) If adjustable, lowest setting.",,2040 mm (80.3 inches),,,1420 mm (55.9 inches),7.50 litres (1.98 US gallons),,,"Red/white/blue, Green/Black",Electric,Liquid,96.0 kg (211.6 pounds),,,,,,,4,Muffler by Arrow,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V85 TT Travel,2020,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",853.0 ccm (52.05 cubic inches),"V2, four-stroke",80.0 HP (58.4  kW)) @ 7750 RPM,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 5000 RPM,,84.0 x 77.0 mm (3.3 x 3.0 inches),Injection,Overhead Valves (OHV),,,6-speed,Shaft drive (cardan)   (final drive),,,4.90 litres/100 km (20.4 km/l or 48.00 mpg),113.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,,,,"Upside and down hydraulic telescopic fork Ø 41 mm, with adjustable extension  and spring preload. ",,"Swingarm Twin and #8208;sided with lateral mono shock absorber, adjustable  extension and spring preload.",,110/80-19 ,150/70-17 ,Double disc. Radial Brembo calipers with  4 opposed pistons. ABS.,260 mm (10.2 inches),Single disc. Floating 2 pistons caliper. ABS.,,229.0 kg (504.9 pounds),"803 mm (31.6 inches) If adjustable, lowest setting.",,,,,,23.00 litres (6.08 US gallons),5.00 litres (1.32 US gallons),1.80 litres (1.9 US quarts),"Red/white, red, grey, blue, yellow/white",Electric,Air,208.0 kg (458.6 pounds),,,LED lights,,"Ride by Wire, 3 Riding Mode (Street, Rain, Off and road). Cruise Control. Smoked plexiglass. Windshield.",,2,,0.3846 HP/kg,,,,,SAE 10W-60,DOT 4,NGK MR8BI-8,1300  +/- 100  RPM,36 PSI (2.5 Bar or 250 kPa),41 PSI (2.8 Bar or 280 kPa),41 mm (1.6 inches),,,,,,,,,,,,,,
Motomel Blitz 110 V8 Full,2020,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,108.0 ccm (6.59 cubic inches),"Single cylinder, four-stroke",7.0 HP (5.1  kW)) @ 8000 RPM,,8.8:1,52.4 x 49.5 mm (2.1 x 1.9 inches),,,,,,,,,2.10 litres/100 km (47.6 km/l or 112.01 mpg),48.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Telescopic fork,,Single shock,,2.5-17 ,100/80-14 ,Single disc,,Expanding brake (drum brake),,,,1068 mm (42.0 inches),1900 mm (74.8 inches),660 mm (26.0 inches),,,,,,"Black, Blue, Gray, Light Blue, Red, White ",Electric & kick,Air,99.0 kg (218.3 pounds),,75.0 km/h (46.6 mph),,,,,,,0.0707 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki AX4,2020,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.5 ccm (9.12 cubic inches),"Single cylinder, four-stroke",11.0 HP (8.0  kW)) @ 8000 RPM,11.5 Nm (1.2 kgf-m or 8.5 ft.lbs) @ 5000 RPM,11.0:1,57.0 x 58.6 mm (2.2 x 2.3 inches),Carburettor,,CDI,Wet sump,5-speed,Chain   (final drive),"Wet, multi-disc",,,,,,,,"Telescopic, coil spring, oil damped",,"Swingarm Type, Oil Damped",,2.75-18 ,90/90-18 ,Expanding brake (drum brake),,Expanding brake (drum brake),,133.0 kg (293.2 pounds),"765 mm (30.1 inches) If adjustable, lowest setting.",1075 mm (42.3 inches),2055 mm (80.9 inches),750 mm (29.5 inches),165 mm (6.5 inches),1310 mm (51.6 inches),12.50 litres (3.30 US gallons),,,"Yellow, Red, Black",Electric & kick,Air,,,,,,Sold in Asia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia RS 660,2020,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,660.0 ccm (40.27 cubic inches),"Twin, four-stroke",100.0 HP (73.0  kW)),,,,Injection,Double Overhead Cams/Twin Cam (DOHC),,,6-speed,Chain   (final drive),,,,,Euro 5,Aluminum frame with the engine as a load-bearing element,26.0°,108 mm (4.3 inches),Telescopic fork,160 mm (6.3 inches),Aluminium alloy swingarm. ,,120/70-17 ,180/55-17 ,Double disc. ABS. Brembo,320 mm (12.6 inches),Single disc. ABS. Brembo.,,,,,,,,1369 mm (53.9 inches),,,,"Black/silver/red, blue/silver/red",Electric,Liquid,169.0 kg (372.6 pounds),,,Triple-LED head light,,"Traction control. Cornering ABS. Five riding modes. Clutchless shifting via bi-direction quickshifter. Wheelie control.
",,,,0.5917 HP/kg,,"Digital, color",,,,,,,,,,,,,,,,,,,,,,,
MV Agusta Brutale 800 RR SCS,2020,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,798.0 ccm (48.69 cubic inches),"In-line three, four-stroke",140.0 HP (102.2  kW)) @ 12300 RPM,87.0 Nm (8.9 kgf-m or 64.2 ft.lbs) @ 10100 RPM,13.3:1,79.0 x 54.3 mm (3.1 x 2.1 inches),"Injection. Integrated ignition - injection system MVICS 2.0  (Motor  and  Vehicle Integrated Control System)  with six injectors. Engine control unit  Eldor EM2.0, throttle body full ride by wire Mikuni, pencil-coil with ion-sensing technology, control of detonation",Double Overhead Cams/Twin Cam (DOHC),,,6-speed,Chain   (final drive),"S.C.S. 2.0 (Smart Clutch System) Radius CX  automatic clutch with hydraulic clutch actuation,  wet multi-disc.",,6.70 litres/100 km (14.9 km/l or 35.11 mpg),155.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,ALS Steel tubular trellis,,104 mm (4.1 inches),Marzocchi upside down telescopic hydraulic fork,125 mm (4.9 inches),Progressive linkage with Sachs monoshock,124 mm (4.9 inches),120/70-ZR17 ,180/55-ZR17 ,"Double disc. Brembo radial-type, with 4 pistons",220 mm (8.7 inches),Single disc. Brembo with 2 pistons,Aluminium alloy,,"830 mm (32.7 inches) If adjustable, lowest setting.",,2045 mm (80.5 inches),875 mm (34.4 inches),135 mm (5.3 inches),1400 mm (55.1 inches),16.50 litres (4.36 US gallons),,,"Pearl Shock Red/Avio Grey, Ago Silver/Dark Metallic Grey",Electric,Oil & air,175.0 kg (385.8 pounds),12 V - 8.5 Ah battery.,244.0 km/h (151.6 mph),,,Traction control with eight levels of intervention.,,4,,0.8000 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna Svartpilen 701,2020,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,692.7 ccm (42.27 cubic inches),"Single cylinder, four-stroke",75.0 HP (54.7  kW)),74.0 Nm (7.5 kgf-m or 54.6 ft.lbs),,105.0 x 80.0 mm (4.1 x 3.1 inches),Injection,,,Forced oil lubrication with 2pumps,6-speed,Chain   (final drive),,,,,,Chromium-molybdenum steel trellis frame,,,WP APEX 43,150 mm (5.9 inches),WP APEX Monoshock,150 mm (5.9 inches),,,Single disc. ABS. Floating disc. Four-piston calipers. Radially mounted. ,320 mm (12.6 inches),Single disc. ABS. Floating disc. Single-piston caliper. ,,,,,,,164 mm (6.5 inches),,12.00 litres (3.17 US gallons),,,Dark grey,Electric,Liquid,161.0 kg (354.9 pounds),,,,,,,,,0.4658 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Thumpstar TSX 230,2020,"Minibike, sport",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,230.0 ccm (14.03 cubic inches),"Single cylinder, four-stroke",,,,,Carburettor. PE 28mm,,,,,Chain   (final drive),,,,,,,,,Inverted Telescopic,,Mono shocks,,80/100-21 ,100/90-18 ,Single disc. Dual piston hydraulic disc ,240 mm (9.4 inches),Single disc. Dual Piston ,Alloy,,"830 mm (32.7 inches) If adjustable, lowest setting.",,,,,1340 mm (52.8 inches),6.30 litres (1.66 US gallons),,,Green/Black,Electric,,103.0 kg (227.1 pounds),,120.0 km/h (74.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raybar  Lendell 125,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",7.5 HP (5.5  kW)) @ 6000 RPM,8.5 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 6000 RPM,9.3:1,52.4 x 55.5 mm (2.1 x 2.2 inches),Carburettor. PZ20,,CDI,,5-speed,,Wet Multiplate,,2.10 litres/100 km (47.6 km/l or 112.01 mpg),48.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Telescopic,,Spring Coil,,2.50-17 ,2.75-17 ,Single disc,,Expanding brake (drum brake),,96.0 kg (211.6 pounds),,1120 mm (44.1 inches),1970 mm (77.6 inches),700 mm (27.6 inches),120 mm (4.7 inches),1265 mm (49.8 inches),4.60 litres (1.22 US gallons),,,"Gallant Grey, Wide White",Electric & kick,Air,,,90.0 km/h (55.9 mph),,,Chinese brand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zero SR-F,2020,Sport," 3.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",,Electric,110.0 HP (80.3  kW)) @ 5000 RPM,144.0 Nm (14.7 kgf-m or 106.2 ft.lbs),,,,,,,,Belt   (final drive),Clutchless direct drive,,,,No direct emisssion.,,24.5°,94 mm (3.7 inches),"Showa 43 mm inverted cartridge forks, with adjustable spring preload, compression and rebound damping",120 mm (4.7 inches),"Showa 40 mm piston, piggy-back reservoir shock with adjustable spring preload, compression and rebound damping",140 mm (5.5 inches),120/70-17 ,180/55-17 ,Single disc. ABS. Floating discs. Two-piston calipers. ,240 mm (9.4 inches),Single disc. ABS. Single-piston caliper. ,,220.0 kg (485.0 pounds),"787 mm (31.0 inches) If adjustable, lowest setting.",,,,,1450 mm (57.1 inches),,,,"Red, Grey",Electric,Air,,,199.6 km/h (124.0 mph),,24 months,Range up to 161miles. 7.9 hour charging. Lithium Ion 12.5 kWh battery. Various battery options called ZF13.0 and ZF13.0 + Power Tank.,"Radial flux, permanent high-temp magnet, brushless motor",,,,,Digital,,,,,,,,,,3.30 seconds,,,,,,,,,,,,,
Motomel Blitz 110 V8,2020,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,110.0 ccm (6.71 cubic inches),"Single cylinder, four-stroke",7.0 HP (5.1  kW)) @ 8500 RPM,,8.8:1,52.4 x 49.5 mm (2.1 x 1.9 inches),,,,,,,,,2.10 litres/100 km (47.6 km/l or 112.01 mpg),48.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Telescopic fork,,Single shock,,2.5-17 ,100/80-14 ,Single disc,,Expanding brake (drum brake),,,,1068 mm (42.0 inches),1900 mm (74.8 inches),660 mm (26.0 inches),,,,,,"Electric Blue, Gray, Red, White, ",Electric & kick,Air,99.0 kg (218.3 pounds),,75.0 km/h (46.6 mph),,,,,,,0.0707 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Avenger Cruise 220,2020,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,220.0 ccm (13.42 cubic inches),"Single cylinder, four-stroke",18.8 HP (13.7  kW)) @ 8400 RPM,17.5 Nm (1.8 kgf-m or 12.9 ft.lbs) @ 7000 RPM,,,Injection,,,,,Chain   (final drive),,,,,,,,,Telescopic with anti friction bush,,Twin shock absorbers,,90/90-17 ,130/90-17 ,Single disc,130 mm (5.1 inches),Expanding brake (drum brake),Classic Spoke,159.0 kg (350.5 pounds),,1321 mm (52.0 inches),2210 mm (87.0 inches),806 mm (31.7 inches),169 mm (6.7 inches),1490 mm (58.7 inches),13.00 litres (3.43 US gallons),3.80 litres (1.00 US gallons),,"Auburn Black, Moon White",Electric,Oil & air,,,,,,Windscreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS TrialGP 300,2020,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,294.1 ccm (17.95 cubic inches),"Single cylinder, two-stroke",,,,79.0 x 60.0 mm (3.1 x 2.4 inches),Carburettor. Keihin PWK 28 - Intake by reed valve,Single Overhead Cams (SOHC),CDI,2.5 % Mixture,6-speed,Chain   (final drive),GG 1/3 hydraulic-diaphragm-system,,,,,Chrom-Molybdenum tubular frame,,,"TECH with aluminium bar Ø 39 Rebound, end stroke and spring preload regulation",167 mm (6.6 inches),ÖHLINS hydraulic mono shock absorber (2 ways) ,174 mm (6.9 inches),2.75-21 ,4.00-18 ,"Single disc. NG WAVE floating, monoblock 4 pistons BRAKTEC calipe",150 mm (5.9 inches),"Single disc. NG WAVE, autostand system 2 pistons BRAKTEC caliper. ",Light aluminium spoke rim ,,"630 mm (24.8 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),2010 mm (79.1 inches),825 mm (32.5 inches),,1320 mm (52.0 inches),2.40 litres (0.63 US gallons),,,Red/black,Kick,Liquid,67.0 kg (147.7 pounds),,,,,Spanish bike.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGB Memory 50,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.3 ccm (3.01 cubic inches),"Single cylinder, two-stroke",1.9 HP (1.4  kW)) @ 3500 RPM,,7.8:1,41.0 x 37.4 mm (1.6 x 1.5 inches),Carburettor,,CDI,Oil Pump Separate,Automatic,Belt   (final drive),,C.V.T.,,,,,,,,,,,120/70-12 ,130/70-12 ,Single disc,160 mm (6.3 inches),Single disc,,,,1170 mm (46.1 inches),1840 mm (72.4 inches),670 mm (26.4 inches),,,6.30 litres (1.66 US gallons),,,"Black, Blue, Red, White, Titanium",Electric & kick,Air,90.0 kg (198.4 pounds),,,,,Made in Taiwan. Bike also called Beeline Memory.,,,,0.0211 HP/kg,,,Rear Storage Rack,,,,,,,,,,,,,,,,,,,,,,
Haojin Ares HJ150-26,2020,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,180.0 ccm (10.98 cubic inches),"Single cylinder, four-stroke",12.7 HP (9.3  kW)) @ 8000 RPM,13.0 Nm (1.3 kgf-m or 9.6 ft.lbs) @ 6000 RPM,,,Carburettor,,,,,Chain   (final drive),,,2.50 litres/100 km (40.0 km/l or 94.09 mpg),58.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,Telescopic fork,,Twin shocks,,2.75-18 ,110/90-17 ,Single disc,,Expanding brake (drum brake),"Black, 5-spoke",,,1065 mm (41.9 inches),2050 mm (80.7 inches),740 mm (29.1 inches),,1360 mm (53.5 inches),15.00 litres (3.96 US gallons),,,,Electric & kick,Air,135.0 kg (297.6 pounds),,100.0 km/h (62.1 mph),LED,,Chinese made bike.,,,,0.0944 HP/kg,,Digital,,,,,,,,,,,,,,,,,,,,,,,
Haojue Super Eagle,2020,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",8.9 HP (6.5  kW)) @ 7500 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 5000 RPM,9.3:1,52.4 x 57.9 mm (2.1 x 2.3 inches),Carburettor,,TDI,,,Belt   (final drive),,,,,,,,,,,,,90/90-10 ,100/90-10 ,Single disc,,Expanding brake (drum brake),,,,1065 mm (41.9 inches),1800 mm (70.9 inches),705 mm (27.8 inches),120 mm (4.7 inches),1250 mm (49.2 inches),6.50 litres (1.72 US gallons),,,"White/Red, White/Blue, Blue/Grey, Black/Red, Black/Grey",Electric & kick,Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Iron 1200,2020,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1202.0 ccm (73.35 cubic inches),"V2, four-stroke",,99.0 Nm (10.1 kgf-m or 73.0 ft.lbs) @ 3500 RPM,10.0:1,88.9 x 96.8 mm (3.5 x 3.8 inches),Injection. Electronic Sequential Port Fuel Injection,Double Overhead Cams/Twin Cam (DOHC),,Dry sump,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,57/38 ratio,4.90 litres/100 km (20.4 km/l or 48.00 mpg),113.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,30.0°,117 mm (4.6 inches),Inverted fork,,Twin shocks,,100/90-B19 ,150/80-B16 ,Single disc. Dual-piston. Optional ABS.,,Single disc. Dual-piston. Optional ABS.,"Black, 9-spoke",255.8 kg (564.0 pounds),"653 mm (25.7 inches) If adjustable, lowest setting.",,2200 mm (86.6 inches),,109 mm (4.3 inches),1514 mm (59.6 inches),12.50 litres (3.30 US gallons),,2.60 litres (2.75 US quarts),"Vivid Black, Barracuda Silver, Billiard Blue",Electric,Air,248.1 kg (547.0 pounds),,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, low fuel warning, low battery, security system (optional)",,,Black Evolution® engine,,"Black, staggered exhaust and headers with black slash-cut mufflers",,,"4-inch Speedometer mounted low and integrated into handlebar clamp electronic speedometer with odometer, time-of-day clock on odometer, dual tripmeter, LED indicator lights ",,,,,,,,,,,,,,,,,,,,,,,
Triumph Daytona Moto TM 765 Limited Edition,2020,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,765.0 ccm (46.68 cubic inches),"In-line three, four-stroke",128.0 HP (93.4  kW)) @ 12250 RPM,80.0 Nm (8.2 kgf-m or 59.0 ft.lbs) @ 9750 RPM,12.9:1,78.0 x 53.4 mm (3.1 x 2.1 inches),Injection. Multipoint sequential electronic fuel injection with forced air induction and SAI,Double Overhead Cams/Twin Cam (DOHC),Digital-inductive type via engine management system,,6-speed,Chain   (final drive),Wet. multi-plate,O ring chain. Primary drive: Gear.,5.20 litres/100 km (19.2 km/l or 45.23 mpg),120.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Aluminum beam twin spar,23.2°,91 mm (3.6 inches),Öhlins 43mm upside down forksNIX30 with adjustable preload. rebound and high/low speed compression damping. 110mm wheel travel,,Öhlins TTX36 twin tubemonoshock with piggy back reservoir adjustable for preload. rebound and high/low speed compression damping. 130mm rear wheel travel,,120/70-ZR17 ,180/55-ZR17 ,Double disc. Brembo M4.30 Stylema 4-piston radial monobloc calipers. ABS.,220 mm (8.7 inches),Single disc. Brembo single 2-piston sliding caliper. Switchable ABS.,Cast aluminium alloy 5-spoke,,"822 mm (32.4 inches) If adjustable, lowest setting.",1105 mm (43.5 inches),2019 mm (79.5 inches),718 mm (28.3 inches),,1379 mm (54.3 inches),17.41 litres (4.60 US gallons),,3.50 litres (3.7 US quarts),Gray/Silver,Electric,Liquid,165.0 kg (363.8 pounds),,,,,,,4,Stainless steel 3 into 1 system with valve in secondary and under seat silencer,0.7758 HP/kg,,,,,,,,,,,,,Limited edition,,,,,,,,,,,,
Yamaha MT09TR,2020,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,847.0 ccm (51.68 cubic inches),"In-line three, four-stroke",115.0 HP (83.9  kW)) @ 10000 RPM,87.5 Nm (8.9 kgf-m or 64.5 ft.lbs) @ 8500 RPM,11.5:1,78.0 x 59.1 mm (3.1 x 2.3 inches),Injection,Double Overhead Cams/Twin Cam (DOHC),TCI,Wet sump,6-speed,Chain   (final drive),Multiplate assist and slipper clutch,,5.50 litres/100 km (18.2 km/l or 42.77 mpg),127.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Die-cast aluminium ,24.0°,100 mm (3.9 inches),"41mm inverted fork, adjustable preload and rebound damping",137 mm (5.4 inches),"Single shock, adjustable preload and rebound damping",142 mm (5.6 inches),120/70-ZR17 ,180/55-ZR17 ,Double disc. Hydraulic. ABS.,245 mm (9.6 inches),Single disc. Hydraulic. ABS.,,214.1 kg (472.0 pounds),"850 mm (33.5 inches) If adjustable, lowest setting.",1374 mm (54.1 inches),2160 mm (85.0 inches),851 mm (33.5 inches),135 mm (5.3 inches),1501 mm (59.1 inches),18.17 litres (4.80 US gallons),,3.40 litres (3.59 US quarts),"Tech Black, Nimbus Grey",Electric,Liquid,,,,LED headlight,1 Year Limited Factory Warranty,TR is short for Tracer,,4,,,,,,"865 mm (34.1 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,
Husqvarna FC 450 Rockstar Edition,2020,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,449.9 ccm (27.45 cubic inches),"Single cylinder, four-stroke",63.0 HP (46.0  kW)),,,95.0 x 63.4 mm (3.7 x 2.5 inches),Carburettor,Single Overhead Cams (SOHC),Keihin EMS,,5-speed,Chain   (final drive),"Wet, multi-disc clutch, Magura hydraulics",520 X-Ring chain,,,,25CrMo4 steel central-tube,26.5°,,"WP-USD, AER 48, Ø 48 mm",310 mm (12.2 inches),WP shock absorber with linkage,300 mm (11.8 inches),90/90-21 ,140/90-18 ,Single disc. Brembo twin-piston floating calliper,220 mm (8.7 inches),Single disc. Brembo single-piston floating calliper,,,"950 mm (37.4 inches) If adjustable, lowest setting.",,,,370 mm (14.6 inches),1485 mm (58.5 inches),7.00 litres (1.85 US gallons),,,White/yellow/wblue,Electric,Liquid,101.0 kg (222.7 pounds),,,,,,,,,0.6238 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Bonneville Bobber,2020,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1200.0 ccm (73.22 cubic inches),"Twin, four-stroke",76.0 HP (55.5  kW)) @ 6100 RPM,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 4000 RPM,10.0:1,97.6 x 80.0 mm (3.8 x 3.1 inches),Injection. Multipoint sequential electronic fuel injection with SAI,Single Overhead Cams (SOHC),Digital-inductive type via engine management system,,6-speed,Chain   (final drive),"Wet, multi-plate assist clutch",X ring chain. Primary drive: Gear.,4.10 litres/100 km (24.4 km/l or 57.37 mpg),95.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,"Tubular steel cradle. Twin-sided, tubular steel swing arm.",25.8°,88 mm (3.5 inches),KYB 41mm forks,90 mm (3.5 inches),KYB monoshock with linkage,77 mm (3.0 inches),100/90-19 ,150/80-R16 ,Single disc. ABS. Nissin 2-piston floating caliper,255 mm (10.0 inches),Single disc. ABS.  Nissin single piston floating caliper.,"Wire 32-spoke, steel rims",,"690 mm (27.2 inches) If adjustable, lowest setting.",1025 mm (40.4 inches),,800 mm (31.5 inches),,1510 mm (59.4 inches),9.00 litres (2.38 US gallons),,4.50 litres (4.76 US quarts),"Jet Black, Korosi red/Silver Ice, Morello Red, Khaki Green",Electric,Liquid,228.0 kg (502.7 pounds),,,,24 months unlimited milage,,270° crank angle parallel twin,,Brushed stainless steel 2 into 2 twin-skin exhaust system with brushed stainless silencers.,0.3333 HP/kg,Solo seat,"LCD multi-functional instrument pack with analogue speedometer, odometer, gear position indicator, fuel gauge",,,,,,,,,,,,,,,,,,,,,,,
