Model,Year,Category,Rating,Displacement,Engine type,Power,Top speed,Cooling system,Gearbox,Transmission type,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Wheelbase,Fuel capacity,Torque,0-100 km/h (0-62 mph),"60-140 km/h (37-87 mph), highest gear",Compression,Bore x stroke,Fuel consumption,Greenhouse gases,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Front percentage of weight,Seat height,Starter,Comments,Valves per cylinder,Fuel system,Alternate seat height,Fuel control,Ignition,Rake (fork angle),Trail,Front suspension,Rear suspension,Oil capacity,Engine oil,Brake fluid,Coolant,Spark plugs,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Frame type,Color options,Lubrication system,Clutch,Driveline,Overall length,Ground clearance,Electrical,Chain links,Sprockets,Max RPM,Overall height,Overall width,Reserve fuel capacity,Exhaust system,Modifications compared to previous model,1/4 mile (0.4 km),Engine details,Emission details,Carrying capacity,Rear percentage of weight,Wheels,Oil filter,Battery,Belt teeth,Belt width,Pulley teeth
Cagiva Planet 125,1999,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.6 ccm (7.60 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 10400 RPM,114.0 km/h (70.8 mph),Liquid,6-speed,Chain   (final drive),Single disc,Single disc,,,1395 mm (54.9 inches),12.50 litres (3.30 US gallons),12.0 Nm (1.2 kgf-m or 8.9 ft.lbs) @ 8500 RPM,,,10.2:1,56.0 x 50.6 mm (2.2 x 2.0 inches),5.80 litres/100 km (17.2 km/l or 40.56 mpg),134.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),140 mm (5.5 inches),110/70-17 ,150/60-70 ,230 mm (9.1 inches),135.0 kg (297.6 pounds),,"780 mm (30.7 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZR 600,1999,Sport touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)),240.0 km/h (149.1 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,195.0 kg (429.9 pounds),0.5128 HP/kg,1430 mm (56.3 inches),18.00 litres (4.76 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna WRE Dual 125,1999,Enduro / offroad," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)),110.0 km/h (68.4 mph),Liquid,,Chain   (final drive),Single disc,Single disc,108.0 kg (238.1 pounds),0.1389 HP/kg,1400 mm (55.1 inches),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung TN 125,1999,Touring," 3.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,Air,5-speed,Chain   (final drive),,Expanding brake (drum brake),,,,,,,,,,2.70 litres/100 km (37.0 km/l or 87.12 mpg),62.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,Electric & kick,,2,Carburettor,,Single Overhead Cams (SOHC),,,,,,,,,,,,,,,,,wet sump,wet plate,,,,,,,12000,,,,suzuki high performance,,,,,,,,,,,,
Cagiva Mito 125,1999,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.6 ccm (7.60 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 10400 RPM,120.0 km/h (74.6 mph),Liquid,7-speed,Chain   (final drive),Single disc,Single disc,,,1375 mm (54.1 inches),14.00 litres (3.70 US gallons),12.5 Nm (1.3 kgf-m or 9.2 ft.lbs) @ 7750 RPM,,,10.2:1,56.0 x 50.6 mm (2.2 x 2.0 inches),5.10 litres/100 km (19.6 km/l or 46.12 mpg),118.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),134 mm (5.3 inches),110/70-17 ,150/60-17 ,230 mm (9.1 inches),140.0 kg (308.6 pounds),,"790 mm (31.1 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VS 1400 GLP Intruder,1999,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1360.0 ccm (82.99 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 5000 RPM,167.0 km/h (103.8 mph),Oil & air,5-speed,Shaft drive (cardan)   (final drive),Single disc,Single disc,,,1620 mm (63.8 inches),13.00 litres (3.43 US gallons),105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 2800 RPM,6.50 seconds,13.10 seconds,9.3:1,94.0 x 98.0 mm (3.7 x 3.9 inches),6.80 litres/100 km (14.7 km/l or 34.59 mpg),157.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,160 mm (6.3 inches),100 mm (3.9 inches),130/90-16 ,150/90-15 ,295 mm (11.6 inches),262.0 kg (577.6 pounds),45.8,"725 mm (28.5 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM Adventure R 640,1999,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",625.0 ccm (38.14 cubic inches),"Single cylinder, four-stroke",52.0 HP (38.0  kW)),165.0 km/h (102.5 mph),Liquid,5-speed,Chain   (final drive),Single disc,Single disc,154.0 kg (339.5 pounds),0.3377 HP/kg,1510 mm (59.4 inches),28.00 litres (7.40 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NX 650 Dominator,1999,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",44.0 HP (32.1  kW)) @ 6000 RPM,164.0 km/h (101.9 mph),Air,5-speed,Chain   (final drive),Single disc,Single disc,,,1440 mm (56.7 inches),16.00 litres (4.23 US gallons),55.0 Nm (5.6 kgf-m or 40.6 ft.lbs) @ 4000 RPM,6.10 seconds,12.40 seconds,8.3:1,100.0 x 82.0 mm (3.9 x 3.2 inches),5.70 litres/100 km (17.5 km/l or 41.27 mpg),132.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,220 mm (8.7 inches),195 mm (7.7 inches),90/90-21 ,120/90-17 ,220 mm (8.7 inches),182.0 kg (401.2 pounds),47.2,"870 mm (34.3 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda FES 250,1999,Scooter," 3.5  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.4 ccm (15.22 cubic inches),"Single cylinder, four-stroke",19.8 HP (14.5  kW)) @ 7000 RPM,120.0 km/h (74.6 mph),Liquid,,,,,150.0 kg (330.7 pounds),0.1320 HP/kg,1450 mm (57.1 inches),12.00 litres (3.17 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki RF 900 R,1999,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",937.0 ccm (57.18 cubic inches),"In-line four, four-stroke",135.0 HP (98.5  kW)) @ 10000 RPM,260.0 km/h (161.6 mph),Liquid,5-speed,Chain   (final drive),Dual disc,Single disc,203.0 kg (447.5 pounds),0.6650 HP/kg,1440 mm (56.7 inches),21.00 litres (5.55 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell S3T Thunderbolt,1999,Naked bike," 3.6  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1203.0 ccm (73.41 cubic inches),"Twin, four-stroke",86.0 HP (62.8  kW)) @ 6000 RPM,208.0 km/h (129.2 mph),Air,5-speed,Belt   (final drive),Single disc,Single disc,,,1420 mm (55.9 inches),19.00 litres (5.02 US gallons),107.0 Nm (10.9 kgf-m or 78.9 ft.lbs) @ 5400 RPM,4.40 seconds,20.60 seconds,10.0:1,88.8 x 96.8 mm (3.5 x 3.8 inches),5.90 litres/100 km (16.9 km/l or 39.87 mpg),136.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,120 mm (4.7 inches),125 mm (4.9 inches),120/70-ZR17 ,170/70-ZR17 ,230 mm (9.1 inches),226.0 kg (498.2 pounds),50.0,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXDWG Dyna Wide Glide,1999,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1338.0 ccm (81.64 cubic inches),"V2, four-stroke",56.0 HP (40.9  kW)) @ 5000 RPM,160.0 km/h (99.4 mph),Air,5-speed,Belt   (final drive),Single disc,Single disc,,,1678 mm (66.1 inches),19.70 litres (5.20 US gallons),97.0 Nm (9.9 kgf-m or 71.5 ft.lbs) @ 2300 RPM,6.90 seconds,18.00 seconds,8.5:1,88.8 x 108.0 mm (3.5 x 4.3 inches),5.90 litres/100 km (16.9 km/l or 39.87 mpg),136.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,142 mm (5.6 inches),70 mm (2.8 inches),90/90-21 ,130/90-16 ,296 mm (11.7 inches),293.0 kg (646.0 pounds),43.0,"679 mm (26.7 inches) If adjustable, lowest setting.",Electric,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Grand Canyon,1999,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",904.0 ccm (55.16 cubic inches),"V2, four-stroke",73.0 HP (53.3  kW)) @ 8000 RPM,183.0 km/h (113.7 mph),Oil & air,6-speed,Chain   (final drive),,Single disc,,,1548 mm (60.9 inches),20.00 litres (5.28 US gallons),78.0 Nm (8.0 kgf-m or 57.5 ft.lbs) @ 5500 RPM,4.00 seconds,10.40 seconds,9.2:1,92.0 x 68.0 mm (3.6 x 2.7 inches),6.20 litres/100 km (16.1 km/l or 37.94 mpg),143.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,170 mm (6.7 inches),170 mm (6.7 inches),100/90-19 ,150/70-R17 ,240 mm (9.4 inches),231.0 kg (509.3 pounds),47.0,"825 mm (32.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Mastiff,1999,Enduro / offroad," 2.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",659.0 ccm (40.21 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,160.0 km/h (99.4 mph),Liquid,5-speed,Chain   (final drive),Single disc,Single disc,,,1465 mm (57.7 inches),13.50 litres (3.57 US gallons),57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5250 RPM,5.70 seconds,17.20 seconds,9.2:1,100.0 x 84.0 mm (3.9 x 3.3 inches),5.80 litres/100 km (17.2 km/l or 40.56 mpg),134.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,190 mm (7.5 inches),190 mm (7.5 inches),120/60-ZR17 ,160/60-ZR17 ,245 mm (9.6 inches),179.0 kg (394.6 pounds),48.0,"860 mm (33.9 inches) If adjustable, lowest setting.",Electric,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha V-Max,1999,Custom / cruiser," 3.9  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1198.0 ccm (73.10 cubic inches),"V4, four-stroke",98.0 HP (71.5  kW)) @ 8000 RPM,213.0 km/h (132.4 mph),Liquid,5-speed,Shaft drive (cardan)   (final drive),,Single disc,,,1590 mm (62.6 inches),15.00 litres (3.96 US gallons),101.0 Nm (10.3 kgf-m or 74.5 ft.lbs) @ 3000 RPM,3.10 seconds,10.10 seconds,10.5:1,76.0 x 66.0 mm (3.0 x 2.6 inches),8.00 litres/100 km (12.5 km/l or 29.40 mpg),185.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,140 mm (5.5 inches),100 mm (3.9 inches),110/90-V18 ,150/90-V15 ,282 mm (11.1 inches),280.0 kg (617.3 pounds),44.0,"765 mm (30.1 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XV 1600 Wild Star,1999,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1600.0 ccm (97.63 cubic inches),"V2, four-stroke",63.0 HP (46.0  kW)) @ 4000 RPM,,Liquid,5-speed,Belt   (final drive),Double disc,Single disc,,,1685 mm (66.3 inches),20.00 litres (5.28 US gallons),134.0 Nm (13.7 kgf-m or 98.8 ft.lbs) @ 2250 RPM,,,,,,,,,130/90-16 ,150/80-16 ,298 mm (11.7 inches),325.0 kg (716.5 pounds),,"710 mm (28.0 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Sprint ST,1999,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",955.0 ccm (58.27 cubic inches),"In-line three, four-stroke",105.0 HP (76.6  kW)) @ 9300 RPM,230.0 km/h (142.9 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,,,1470 mm (57.9 inches),21.00 litres (5.55 US gallons),95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 5700 RPM,3.30 seconds,8.20 seconds,11.2:1,79.0 x 65.0 mm (3.1 x 2.6 inches),6.80 litres/100 km (14.7 km/l or 34.59 mpg),157.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,127 mm (5.0 inches),120 mm (4.7 inches),120/70-ZR17 ,180/55-ZR17 ,255 mm (10.0 inches),239.0 kg (526.9 pounds),48.6,"800 mm (31.5 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda NSR 125,1999,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",11.4 HP (8.3  kW)),110.0 km/h (68.4 mph),Liquid,6-speed,Chain   (final drive),Single disc,Single disc,132.0 kg (291.0 pounds),0.0864 HP/kg,1345 mm (53.0 inches),13.00 litres (3.43 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Eliminator 125,1999,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.0 HP (8.8  kW)) @ 9500 RPM,102.0 km/h (63.4 mph),Air,5-speed,Chain   (final drive),Single disc,Expanding brake,,,1470 mm (57.9 inches),13.00 litres (3.43 US gallons),9.7 Nm (1.0 kgf-m or 7.2 ft.lbs) @ 8000 RPM,,,9.6:1,55.0 x 52.4 mm (2.2 x 2.1 inches),3.40 litres/100 km (29.4 km/l or 69.18 mpg),78.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,130 mm (5.1 inches),60 mm (2.4 inches),90/90-17 ,130/90-15 ,130 mm (5.1 inches),156.0 kg (343.9 pounds),45.5,"680 mm (26.8 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki VL 1500 LC Intruder,1999,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1462.0 ccm (89.21 cubic inches),"V2, four-stroke",68.0 HP (49.6  kW)) @ 4800 RPM,180.0 km/h (111.8 mph),Oil & air,5-speed,Shaft drive (cardan)   (final drive),Single disc,Single disc,,,1700 mm (66.9 inches),15.50 litres (4.10 US gallons),114.0 Nm (11.6 kgf-m or 84.1 ft.lbs) @ 2300 RPM,5.50 seconds,18.60 seconds,8.5:1,96.0 x 101.0 mm (3.8 x 4.0 inches),6.00 litres/100 km (16.7 km/l or 39.20 mpg),139.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,140 mm (5.5 inches),118 mm (4.6 inches),150/80-16 ,180/70-15 ,275 mm (10.8 inches),310.0 kg (683.4 pounds),45.8,"700 mm (27.6 inches) If adjustable, lowest setting.",Electric,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 1500 Classic Tourer,1999,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1470.0 ccm (89.70 cubic inches),"V2, four-stroke",64.0 HP (46.7  kW)) @ 4700 RPM,170.0 km/h (105.6 mph),Liquid,5-speed,Shaft drive (cardan)   (final drive),,,331.0 kg (729.7 pounds),0.1934 HP/kg,1665 mm (65.6 inches),16.00 litres (4.23 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda SLR 650,1999,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",644.0 ccm (39.30 cubic inches),"Single cylinder, four-stroke",34.0 HP (24.8  kW)) @ 5700 RPM,144.0 km/h (89.5 mph),Liquid,5-speed,Chain   (final drive),Single disc,Single disc,,,1440 mm (56.7 inches),16.00 litres (4.23 US gallons),51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 4000 RPM,7.00 seconds,13.40 seconds,8.3:1,100.0 x 82.0 mm (3.9 x 3.2 inches),5.90 litres/100 km (16.9 km/l or 39.87 mpg),136.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,190 mm (7.5 inches),170 mm (6.7 inches),100/90-19 ,120/90-17 ,220 mm (8.7 inches),180.0 kg (396.8 pounds),47.3,"845 mm (33.3 inches) If adjustable, lowest setting.",Electric,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MuZ Baghira,1999,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",659.0 ccm (40.21 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)) @ 6500 RPM,154.0 km/h (95.7 mph),Liquid,5-speed,Chain   (final drive),Single disc,Single disc,,,1530 mm (60.2 inches),12.50 litres (3.30 US gallons),57.0 Nm (5.8 kgf-m or 42.0 ft.lbs) @ 5250 RPM,5.80 seconds,18.50 seconds,9.2:1,100.0 x 84.0 mm (3.9 x 3.3 inches),6.10 litres/100 km (16.4 km/l or 38.56 mpg),141.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,280 mm (11.0 inches),280 mm (11.0 inches),90/90-R21 ,120/80-18 ,245 mm (9.6 inches),181.0 kg (399.0 pounds),46.0,"940 mm (37.0 inches) If adjustable, lowest setting.",Electric,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Canyon 500,1999,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",498.0 ccm (30.39 cubic inches),"Single cylinder, four-stroke",33.5 HP (24.5  kW)) @ 6500 RPM,160.0 km/h (99.4 mph),Air,5-speed,Chain   (final drive),Single disc,Single disc,165.0 kg (363.8 pounds),0.2030 HP/kg,1463 mm (57.6 inches),20.00 litres (5.28 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FXSTC Softail Custom,1999,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1340.0 ccm (81.77 cubic inches),"V2, four-stroke",,,Oil & air,,Belt   (final drive),Single disc,Single disc,,,,19.68 litres (5.20 US gallons),,,,,,,,,,,,,,,,Electric,,2,Carburettor. CV Constant Velocity,,,,34.0°,,,,,,,,,,,,,,,,Wet,,,,,,,,,,,,Five bolt derby cover -vs- the older 3 bolt.  First year introduced on last of the Evos and first of the 88 Twin Cams.,,,,,,,,,,,
Aprilia Pegaso 650,1999,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",49.0 HP (35.8  kW)) @ 6300 RPM,166.0 km/h (103.1 mph),Liquid,5-speed,Chain   (final drive),Single disc,Single disc,,,1480 mm (58.3 inches),22.00 litres (5.81 US gallons),54.0 Nm (5.5 kgf-m or 39.8 ft.lbs) @ 5000 RPM,5.60 seconds,13.00 seconds,9.1:1,100.0 x 83.0 mm (3.9 x 3.3 inches),6.70 litres/100 km (14.9 km/l or 35.11 mpg),155.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,180 mm (7.1 inches),165 mm (6.5 inches),110/90-S19 ,130/80-S17 ,220 mm (8.7 inches),201.0 kg (443.1 pounds),48.2,"845 mm (33.3 inches) If adjustable, lowest setting.",Electric,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR 1000 F,1999,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",135.0 HP (98.5  kW)) @ 9500 RPM,260.0 km/h (161.6 mph),Liquid,6-speed,Chain   (final drive),Dual disc,Single disc,235.0 kg (518.1 pounds),0.5745 HP/kg,1505 mm (59.3 inches),22.00 litres (5.81 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda VT 1100 C2 Shadow,1999,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1099.0 ccm (67.06 cubic inches),"V2, four-stroke",50.0 HP (36.5  kW)) @ 4500 RPM,160.0 km/h (99.4 mph),Liquid,5-speed,Shaft drive (cardan)   (final drive),Single disc,,261.0 kg (575.4 pounds),0.1916 HP/kg,1650 mm (65.0 inches),15.00 litres (3.96 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buell M2 Cyclone,1999,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1199.0 ccm (73.16 cubic inches),"V2, four-stroke",88.0 HP (64.2  kW)) @ 6000 RPM,203.0 km/h (126.1 mph),Air,5-speed,Belt   (final drive),Single disc,Single disc,,,1410 mm (55.5 inches),19.00 litres (5.02 US gallons),105.0 Nm (10.7 kgf-m or 77.4 ft.lbs) @ 5600 RPM,4.00 seconds,9.40 seconds,10.0:1,88.8 x 96.8 mm (3.5 x 3.8 inches),6.00 litres/100 km (16.7 km/l or 39.20 mpg),139.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,119 mm (4.7 inches),124 mm (4.9 inches),120/70-ZR17 ,170/70-ZR17 ,230 mm (9.1 inches),214.0 kg (471.8 pounds),49.5,"770 mm (30.3 inches) If adjustable, lowest setting.",Electric,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peugeot Sv 125,1999,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, two-stroke",17.0 HP (12.4  kW)) @ 7000 RPM,120.0 km/h (74.6 mph),Air,Automatic,Chain   (final drive),Expanding brake (drum brake),Expanding brake (drum brake),130.0 kg (286.6 pounds),0.1308 HP/kg,,7.00 litres (1.85 US gallons),,7.00 seconds,11.00 seconds,,,7.00 litres/100 km (14.3 km/l or 33.60 mpg),162.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,Electric & kick,,2,Carburettor. Mikuni,,Membrane & variable discharge openings,,,,,,,,,,,,,,,,"Green, Red, Black, Blu",,,,,,,,,9000,,,2.00 litres (0.53 US gallons),,Year 1992-1999. From France. ,,"125cc  , 2Stroke , AirColed",EuroIII,,,,,,,,
Honda CR 500,1999,Cross / motocross," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",491.0 ccm (29.96 cubic inches),"Single cylinder, two-stroke",69.0 HP (50.4  kW)) @ 8500 RPM,,Liquid,5-speed,Chain   (final drive),,,,,,,,,,,,,,,,,,,,,,,,,Carburettor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sachs ZZ 125,1999,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.8 ccm (7.62 cubic inches),"Single cylinder, two-stroke",15.0 HP (10.9  kW)) @ 8000 RPM,106.0 km/h (65.9 mph),Liquid,6-speed,Chain   (final drive),Single disc,Single disc,,,1420 mm (55.9 inches),14.60 litres (3.86 US gallons),12.9 Nm (1.3 kgf-m or 9.5 ft.lbs) @ 7750 RPM,,,12.5:1,56.0 x 50.7 mm (2.2 x 2.0 inches),4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,250 mm (9.8 inches),250 mm (9.8 inches),110/70-ZR17 ,150/60-ZR17 ,220 mm (8.7 inches),130.0 kg (286.6 pounds),,"850 mm (33.5 inches) If adjustable, lowest setting.",Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna SM 610,1999,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",576.0 ccm (35.15 cubic inches),"Single cylinder, four-stroke",50.0 HP (36.5  kW)),135.0 km/h (83.9 mph),Liquid,6-speed,Chain   (final drive),Single disc,Single disc,139.0 kg (306.4 pounds),0.3597 HP/kg,1505 mm (59.3 inches),9.00 litres (2.38 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
