Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Seat height,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Color options,Starter,Engine details,Power,Torque,Driveline,Exhaust system,Frame type,Wheels,Dry weight,Power/weight ratio,Comments,Valves per cylinder,Clutch,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Diameter,Reserve fuel capacity,Fuel consumption,Greenhouse gases,"Weight incl. oil, gas, etc",Ground clearance,Factory warranty,Top speed,Seat,Light,Emission details,Electrical,Oil capacity,Instruments,Alternate seat height,Carrying capacity,0-100 km/h (0-62 mph),Modifications compared to previous model,Spark plugs,Max RPM,Engine oil,Brake fluid,Coolant,Fork tube size,Idle speed,Tire pressure front,Tire pressure rear,Front percentage of weight,Chain links,Sprockets,Battery
Ducati Monster 796,2013,Naked bike," 3.1  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",803.0 ccm (49.00 cubic inches),"V2, four-stroke",11.0:1,88.0 x 66.0 mm (3.5 x 2.6 inches),"Injection. Siemens electronic fuel injection, 45mm throttle body",Desmodromic valve control,,,Air,6-speed,Chain   (final drive),43mm upside-down forks,Progressive linkage with preload and rebound Sachs adjustable monoshock,120/70-ZR17 ,180/55-ZR17 ,Double disc. Four-piston calipers. ,Single disc. Two-piston calipers. ,"800 mm (31.5 inches) If adjustable, lowest setting.",,,,1450 mm (57.1 inches),15.00 litres (3.96 US gallons),"Black, red, white",Electric,,85.8 HP (62.6  kW)) @ 8250 RPM,78.0 Nm (8.0 kgf-m or 57.5 ft.lbs) @ 6250 RPM,Chain; Front sprocket 15; Rear sprocket 39. Primary drive: Straight cut gears; Ratio 1.85.,Lightweight 2-1-2 system with catalytic converter with twin lambda probes,Tubular steel Trellis frame,,167.0 kg (368.2 pounds),0.5140 HP/kg,,,APTC wet multiplate with hydraulic control,24.0°,87 mm (3.4 inches),,,245 mm (9.6 inches),,,,187.0 kg (412.3 pounds),,2 years unlimited mileage,,,,Euro 3,,,"Digital unit displaying  Speedometer, rev counter, clock, scheduled maintenance warning, oil temperature, trip fuel, lap time, warning light for low oil pressure, fuel level, fuel reserve, neutral, turn signals, overrev, immobilizer. Ready for DDA system.",,,,,,,,,,,,,,,,,
Yamaha YW125 BeeWee,2013,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",10.0:1,52.4 x 57.9 mm (2.1 x 2.3 inches),Injection,Single Overhead Cams (SOHC),TCI,Wet sump,Air,Automatic,Belt   (final drive),Telescopic w/ 78mm travel,Unit swing w/ 71mm travel,120/70-12 ,130/70-12 ,Single disc,Expanding brake (drum brake),"780 mm (30.7 inches) If adjustable, lowest setting.",1110 mm (43.7 inches),1910 mm (75.2 inches),715 mm (28.1 inches),1290 mm (50.8 inches),6.00 litres (1.59 US gallons),"White, black",Electric,,,,,,,,,,Sold in Australia.,,,,,,,150 mm (5.9 inches),,,,121.0 kg (266.8 pounds),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Like 50,2013,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",8.0:1,39.0 x 41.4 mm (1.5 x 1.6 inches),Carburettor,Single Overhead Cams (SOHC),,,Air,Automatic,Belt   (final drive),Telescopic forks,Mono Shock,120/70-12 ,140/70-12 ,Single disc,Expanding brake (drum brake),"780 mm (30.7 inches) If adjustable, lowest setting.",,,,1318 mm (51.9 inches),5.00 litres (1.32 US gallons),"Blue/Black, Red, Ivory",Electric & kick,,1.5 HP (1.1  kW)) @ 6500 RPM,2.5 Nm (0.3 kgf-m or 1.8 ft.lbs) @ 4000 RPM,CVT,,,,99.8 kg (220.0 pounds),0.0150 HP/kg,,,"Wet, multiplate",,,,,,,,,,,,,,,,,,"Speedometer, Odometer, Fuel Gauge, Clock",,"Nder Seat Storage, Helmet Hook,Top Box",,,,,,,,,,,,,,,
Rewaco FX6 1.4,2013,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1446.0 ccm (88.23 cubic inches),"V2, four-stroke",,,Carburettor,,Altmann AMM P3,,Air,4-speed,Shaft drive (cardan)   (final drive),Trapezodial fork with centre spring element ,Single wheel suspension with Bilstein gas shockabsorbers,180/55-ZR17 ,285/35-ZR17 ,Single disc,Single disc,,1100 mm (43.3 inches),3360 mm (132.3 inches),1810 mm (71.3 inches),,45.00 litres (11.89 US gallons),"Yellow, blue, red, purple",Electric,HD engine.,76.4 HP (55.8  kW)) @ 5000 RPM,125.0 Nm (12.7 kgf-m or 92.2 ft.lbs) @ 2700 RPM,With reverse,,,Three wheels,"530.0 kg (1,168.4 pounds)",0.1442 HP/kg,Trike. German brand.,,Mechanical Dry clutch,,,,,,,5.80 litres/100 km (17.2 km/l or 40.56 mpg),134.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,153.0 km/h (95.1 mph),,,3-way catalytic converter,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Sportster Seventy-Two,2013,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1201.3 ccm (73.30 cubic inches),"V2, four-stroke",9.7:1,88.9 x 96.8 mm (3.5 x 3.8 inches),Injection. Electronic Sequential Port Fuel Injection (ESPFI),,,Dry sump,Air,6-speed,Belt   (final drive),,,MH90-21 ,150/80-B16 ,Single disc. Dual-piston,Single disc. Single-piston,"676 mm (26.6 inches) If adjustable, lowest setting.",,2271 mm (89.4 inches),,1524 mm (60.0 inches),7.95 litres (2.10 US gallons),"Hard Candy Lucky Green Flake, Hard Candy Coloma Gold Flake, Hard Candy Big Red Flake, Chrome Yellow Pearl, Big Blue Pearl, Black Denim.",Electric,"Air-cooled, Evolution®",,99.0 Nm (10.1 kgf-m or 73.0 ft.lbs) @ 3500 RPM,"Primary chain, 57/38 ratio","Chrome, staggered exhaust with slash-cut mufflers",,Chrome Steel Laced,247.2 kg (545.0 pounds),,North America security system includes immobilizer; outside North America the security system includes immobilizer and siren.,,Multi-plate with diaphragm spring in oil bath,30.1°,135 mm (5.3 inches),,,,,4.90 litres/100 km (20.4 km/l or 48.00 mpg),113.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,251.7 kg (555.0 pounds),119 mm (4.7 inches),,,,"High beam, neutral, low oil pressure, turn signals, engine diagnostics, low fuel warning, low battery, security system (optional)",,,2.60 litres (2.75 US quarts),"Handlebar-mounted electronic speedometer with odometer, time-of-day clock, dual tripmeter, low fuel warning light, low oil pressure light, engine diagnostics readout, LED indicator lights",,,,,,,,,,,,,,,,,
Suzuki Mola 150,2013,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",145.0 ccm (8.85 cubic inches),"Single cylinder, four-stroke",,57.0 x 56.8 mm (2.2 x 2.2 inches),Carburettor. Mikuni BS 26SS,Single Overhead Cams (SOHC),,Wet sump,Air,5-speed,Chain   (final drive),Telescopic fork,Swing arm,2.75-18 ,3.00-18 ,Expanding brake (drum brake),Expanding brake (drum brake),"760 mm (29.9 inches) If adjustable, lowest setting.",1165 mm (45.9 inches),2005 mm (78.9 inches),765 mm (30.1 inches),,13.50 litres (3.57 US gallons),Black,Electric & kick,,,,Constant mesh,,Steel,,127.0 kg (280.0 pounds),,Sold in the Philippines.,,,,,,,,,,,,160 mm (6.3 inches),,,,,,12V 4Ah battery,1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,
Hyosung GT125R,2013,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"V2, four-stroke",11.3:1,44.0 x 41.0 mm (1.7 x 1.6 inches),Carburettor,Double Overhead Cams/Twin Cam (DOHC),CDI, Wet sump,Oil & air,5-speed,Chain   (final drive),Telescopic fork,Swing arm with Hyeraulic Double shock absorber,110/70-17 ,150/70-17 ,Single disc,Single disc,"780 mm (30.7 inches) If adjustable, lowest setting.",,2060 mm (81.1 inches),,1445 mm (56.9 inches),17.00 litres (4.49 US gallons),"Black, red/black, white/black",Electric,,14.2 HP (10.4  kW)) @ 10500 RPM,10.2 Nm (1.0 kgf-m or 7.5 ft.lbs) @ 9750 RPM,,,,,166.0 kg (366.0 pounds),0.0855 HP/kg,Small windscreen. South Korean brand.,4,,,,120 mm (4.7 inches),110 mm (4.3 inches),230 mm (9.1 inches),,,,187.0 kg (412.3 pounds),130 mm (5.1 inches),Two year warranty. One year roadside assistance.,110.0 km/h (68.4 mph),,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZ250,2013,Cross / motocross," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",8.9:1,66.4 x 72.0 mm (2.6 x 2.8 inches),Carburettor. Keihin PWK38S,,CDI,,Liquid,5-speed,Chain   (final drive),Speed-Sensitive System inverted fork,"Fully adjustable single shock, 12.4-in travel",80/100-M ,110/90-M19 ,Single disc. Hydraulic disc.,Single disc,"993 mm (39.1 inches) If adjustable, lowest setting.",1306 mm (51.4 inches),2177 mm (85.7 inches),828 mm (32.6 inches),1481 mm (58.3 inches),7.95 litres (2.10 US gallons),Team Yamaha Blue/White,Electric,,,,,,,,,,,,,28.0°,,300 mm (11.8 inches),,245 mm (9.6 inches),,,,103.0 kg (227.0 pounds),381 mm (15.0 inches),30 Day (Limited Factory Warranty),,,,,,,,,,,,,,,,,,,,,,,,
Piaggio BV 350,2013,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",330.0 ccm (20.14 cubic inches),"Single cylinder, four-stroke",,78.0 x 69.0 mm (3.1 x 2.7 inches),Injection,Single Overhead Cams (SOHC),,DRy sump,Liquid,Automatic,Belt   (final drive),Telescopic hydraulic fork with 35-­mm stanchions,Double shock absorbers,110/70-16 ,150/70-14 ,Single disc. Three piston floating calliper,Single disc. Dual piston floating calliper,"787 mm (31.0 inches) If adjustable, lowest setting.",1320 mm (52.0 inches),2115 mm (83.3 inches),760 mm (29.9 inches),1560 mm (61.4 inches),13.00 litres (3.43 US gallons),"Matte Silver, Shiny Black ",Electric,Quasar engine,33.0 HP (24.1  kW)) @ 8250 RPM,32.3 Nm (3.3 kgf-m or 23.8 ft.lbs) @ 6250 RPM,CVT with torque server,,Twin cradle tubes in high tensile steel,Aluminium alloy,,,Windshield,4,Multi-disc centrifuge in oil bath,,,,,260 mm (10.2 inches),,,,177.0 kg (390.2 pounds),,12 months without mileage restriction.,,,,,,,,,,,,,,,,,,,,,,,,
Borile Bastard,2013,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,230.0 ccm (14.03 cubic inches),"Single cylinder, four-stroke",,,Carburettor. Mikuni,,Electronic,,Air,5-speed,Chain   (final drive),Marzocchi fork,Monoshock,120/70-21 ,150/70-18 ,Single disc,Single disc,,,,,1400 mm (55.1 inches),,Black/metal,Electric & kick,,,,,,7020 light alloy frames,,,,Italian custom made bike with various engine options. ,2,"Wet, multiplate",,,130 mm (5.1 inches),116 mm (4.6 inches),,,3.23 litres/100 km (31.0 km/l or 72.82 mpg),74.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI X-Large 250,2013,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.7 ccm (15.24 cubic inches),"Single cylinder, four-stroke",9.0:1,,Carburettor,,C.D.I,,,5-speed,Chain   (final drive),,,130/60-13 ,130/60-13 ,Single disc,Single disc,,1300 mm (51.2 inches),2070 mm (81.5 inches),725 mm (28.5 inches),1530 mm (60.2 inches),11.00 litres (2.91 US gallons),White,Electric & kick,,16.6 HP (12.1  kW)) @ 7000 RPM,20.0 Nm (2.0 kgf-m or 14.8 ft.lbs) @ 4000 RPM,,,Steel,,150.0 kg (330.7 pounds),0.1109 HP/kg,Made in Taiwan.,,,,,,,,,,,,,,130.0 km/h (80.8 mph),,,,,,,,,,,,,,,,,,,,,,,
NCR 848,2013,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,848.0 ccm (51.74 cubic inches),"V2, four-stroke",,,"Injection. NCR Corse-EFI, EFI Euro 1, NCR Racing Harness with interface with AMI MXL PISTA display. NCR-EFI system accepts full mapping capabilities along with Lambda interface for closed loop mapping control.",,,,Oil & air,,Chain   (final drive),Showa original OEM fork with Ohlins-NCR internal damping systems. NCR fork bottoms from billet with 100 mm spacing. Triple clamps made from AL 7075 with adjustable offset from 28 to 36 mm in 1 mm increments.,Ohlins TTX tuned by NCR,120/70-17 ,180/55-17 ,"Single disc. WAVE Braking-NCR, radial Brembo Racing monoblock with billet NCR fork bottoms.","Single disc. WAVE Braking-NCR, Brembo Racng 2 piston.",,,,,,,"Orange/white, green/white, custom",Electric,"NCR-848 motor has titanium connecting rods carved out of billet, high compression forged pistons with single piston ring, titanium valves, ported heads, lightened gearbox, balanced crankshaft, custom wet-type slipper clutch by STM for NCR, full racing alu",145.0 HP (105.8  kW)) @ 12500 RPM,120.0 Nm (12.2 kgf-m or 88.5 ft.lbs) @ 10000 RPM,,Termignoni,,Marchisini forged aluminum,155.0 kg (341.7 pounds),0.9355 HP/kg,"Adjustable rear sets in AL 7075 and titanium, gas cap assembly in AL 7075, clip-ons in AL 7075 with titanium tubes, fork bottoms in billet aluminum, triple clamps from AL 7075 with adjustable offset from 28 to 36 mm, steering damper with billet mount, custom wheel nuts, billet oil fill cover, rear subframe in aluminum, front fairing stay in aluminum.",,Custom wet-type slipper clutch by STM for NCR,,,,,200 mm (7.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Compagno 50i,2013,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.5 ccm (3.02 cubic inches),"Single cylinder, four-stroke",8.0:1,38.0 x 41.4 mm (1.5 x 1.6 inches),Injection. EFI,Single Overhead Cams (SOHC),,,Air,Automatic,Shaft drive (cardan)   (final drive),Telescopic forks,Dual shock,120/70-12 ,130/70-12 ,Single disc,Expanding brake (drum brake),"737 mm (29.0 inches) If adjustable, lowest setting.",,,,1194 mm (47.0 inches),5.49 litres (1.45 US gallons),"White, Black",Electric & kick,,,3.8 Nm (0.4 kgf-m or 2.8 ft.lbs) @ 7500 RPM,CVT automatic,,Steel,,85.7 kg (189.0 pounds),,"Kymco is made by Kwang Yang Motor Company, Taiwan.",,,,,,,,,,,,,Two Year Limited Factory Warranty,,,,,,,"Speedometer, Odometer, LCD Fuel Gauge  and  Clock",,"Underseat Storage, Glove Compartment",,,,,,,,,,,,,,,
Znen F9,2013,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.6 ccm (3.03 cubic inches),"Single cylinder, four-stroke",,,Carburettor,,,,,Automatic,Belt   (final drive),,,100/60-12 ,100/60-12 ,Single disc,Single disc,,1055 mm (41.5 inches),1840 mm (72.4 inches),705 mm (27.8 inches),1315 mm (51.8 inches),,White/black,Electric,,3.0 HP (2.2  kW)) @ 7500 RPM,3.1 Nm (0.3 kgf-m or 2.2 ft.lbs) @ 5500 RPM,,,Steel,,100.0 kg (220.5 pounds),0.0299 HP/kg,Model id: ZN50QT-36. Brand sometimes called ZN-Motor. Made in China. ,,,,,,,,,,,,,,45.0 km/h (28.0 mph),,,"EEC, EPA, DOT",,,Analogue,,,,,,,,,,,,,,,,,
KTM 450 EXC,2013,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.3 ccm (27.42 cubic inches),"Single cylinder, four-stroke",,95.0 x 63.4 mm (3.7 x 2.5 inches),,,"Contactless, controlled, fully electronic ignition system with digital ignition timing adjustment, type Kokusan",Forced oil lubrication with 2 Eaton pumps,Liquid,6-speed,Chain   (final drive),WP  Suspension Up Side Down 4860 MXMA PA,WP  Suspension PDS 5018 DCC,,,Single disc,Single disc,"970 mm (38.2 inches) If adjustable, lowest setting.",,,,1482 mm (58.3 inches),9.00 litres (2.38 US gallons),Orange/black,Electric & kick,,,,5/8 x 1/4,,Central tube frame made of chrome molybdenum steel tubing,,112.0 kg (246.9 pounds),,,,Wet multi-disc clutch / hydraulically operated,26.5°,,300 mm (11.8 inches),335 mm (13.2 inches),220 mm (8.7 inches),,,,,345 mm (13.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia SX 125,2013,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",122.0 ccm (7.44 cubic inches),"Single cylinder, two-stroke",12.5:1,54.0 x 54.5 mm (2.1 x 2.1 inches),Carburettor. Dell’Orto VHST 28,,Electronic CDI ignition. ,"Separate mixing with variable displacement, volumetric pump.",Liquid,6-speed,Chain   (final drive),40 mm upside down hydraulic fork.,Steel swingarm. Hydraulic monoshock with piggy back cylinder. ,110/70-17 ,150/60-17 ,Single disc. Floating caliper with two parallel pistons.,Single disc. Floating caliper with single piston. ,"830 mm (32.7 inches) If adjustable, lowest setting.",,2165 mm (85.2 inches),850 mm (33.5 inches),1480 mm (58.3 inches),10.00 litres (2.64 US gallons),Black,Kick,Aluminium cylinder with Nikasil liner. ,21.5 HP (15.7  kW)),16.0 Nm (1.6 kgf-m or 11.8 ft.lbs) @ 9750 RPM,,,High strength steel frame with double trellis beam and double cradle. Detachable seat frame. ,Aluminium,115.0 kg (253.5 pounds),0.1865 HP/kg,,,Multi-disc wet clutch.,,,260 mm (10.2 inches),270 mm (10.6 inches),220 mm (8.7 inches),1.30 litres (0.34 US gallons),,,,,,120.0 km/h (74.6 mph),,,Euro 3,12V 180W generator.,,,,,,,,,,,,,,,,,,,
Yamaha XTZ 1200 Super Tenere Worldcrosser,2013,Super motard," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1199.0 ccm (73.16 cubic inches),"Twin, four-stroke",11.0:1,98.0 x 79.5 mm (3.9 x 3.1 inches),Injection. Fuel Injection with YCC-T,Double Overhead Cams/Twin Cam (DOHC),TCI: Transistor Controlled Ignition,Dry sump,Liquid,6-speed,Shaft drive (cardan)   (final drive),"Telescopic fork, 43mm tube, adjustable preload, compression and rebound damping, ","Swingarm, (link suspension)",110/80-R19 ,150/70-R17 ,Double disc. ABS/Unified Brake System,Single disc. ABS/Unified Brake System,"845 mm (33.3 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),2250 mm (88.6 inches),980 mm (38.6 inches),1539 mm (60.6 inches),22.71 litres (6.00 US gallons),"Impact Blue, Raven Black",Electric,,108.5 HP (79.2  kW)) @ 7250 RPM,114.1 Nm (11.6 kgf-m or 84.2 ft.lbs) @ 6000 RPM,,,Steel tube backbone,"Spoked, tubeless aluminium rims",,,,4,"Wet, multiplate",28.0°,126 mm (5.0 inches),190 mm (7.5 inches),190 mm (7.5 inches),282 mm (11.1 inches),,,,260.8 kg (575.0 pounds),,1 Year (Limited Factory Warranty),,,,,,,,,,,,,,,,,,,,,,,,
Yamaha WR125 X,2013,Super motard," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",11.2:1,52.0 x 58.6 mm (2.0 x 2.3 inches),Injection. EFI,Single Overhead Cams (SOHC),,Wet sump,Liquid,6-speed,Chain   (final drive),Telescopic forks,"Swingarm, link suspension, monoshock",110/70-17 ,140/70-17 ,Single disc,Single disc,"920 mm (36.2 inches) If adjustable, lowest setting.",,2095 mm (82.5 inches),,1430 mm (56.3 inches),8.50 litres (2.25 US gallons),"White, black",Electric,Forward-inclined single cylinder,14.8 HP (10.8  kW)) @ 9000 RPM,12.2 Nm (1.2 kgf-m or 9.0 ft.lbs) @ 8000 RPM,,,Steel double cradle,,127.0 kg (280.0 pounds),0.1161 HP/kg,,4,"Wet, multipate",25.0°,79 mm (3.1 inches),210 mm (8.3 inches),230 mm (9.1 inches),220 mm (8.7 inches),,,,137.0 kg (302.0 pounds),255 mm (10.0 inches),,,,,,,1.20 litres (1.27 US quarts),,,,,,,,,,,,,,,,,,
Yamaha Road Star Silverado S,2013,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1671.6 ccm (102.00 cubic inches),"V2, four-stroke",8.4:1,97.0 x 113.0 mm (3.8 x 4.4 inches),Injection,Overhead Valves (OHV),TCI: Transistor Controlled Ignition,,Air,5-speed,Belt   (final drive),43mm fork,Single shock,130/90-M16 ,150/80-B16 ,Double disc. Hydraulic. ,Single disc,"709 mm (27.9 inches) If adjustable, lowest setting.",1501 mm (59.1 inches),2499 mm (98.4 inches),980 mm (38.6 inches),1689 mm (66.5 inches),18.17 litres (4.80 US gallons),Impact Blue,Electric,,,,,,Steel; hidden shock,9-spoke cast,,,,4,,,,140 mm (5.5 inches),109 mm (4.3 inches),298 mm (11.7 inches),,6.53 litres/100 km (15.3 km/l or 36.02 mpg),151.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,350.6 kg (773.0 pounds),145 mm (5.7 inches),1 Year (Limited Factory Warranty),,,,,,,,,Saddel bags,,,,,,,,,,,,,,,
Rewaco RF1 LT-3,2013,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,1596.0 ccm (97.39 cubic inches),"In-line four, four-stroke",,,Injection. Multi-point injection system,,Trijekt,,Air,4-speed,Shaft drive (cardan)   (final drive),Trapezodial fork with centre spring element ,Single wheel suspension with Bilstein gas shockabsorbers,180/55-ZR17 ,275/40-ZR17 ,Single disc,Single disc,,1060 mm (41.7 inches),3560 mm (140.2 inches),1870 mm (73.6 inches),,40.00 litres (10.57 US gallons),"Brilliant White, Ruby Red/Melon Yellow, Marine blue. Two-color custom options.",,Ford engine.,114.0 HP (83.2  kW)) @ 6800 RPM,145.0 Nm (14.8 kgf-m or 107.0 ft.lbs) @ 3200 RPM,,,,Trike,"627.0 kg (1,382.3 pounds)",0.1818 HP/kg,Trike. Made in Germany.,,,,,,,,,,,,,,173.0 km/h (107.5 mph),"Three seats, one front, two rear.",,3-way catalytic converter. Euro III.,,,,,,6.70 seconds,,,,,,,,,,,,,,
Mikilon D92-250,2013,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",,70.0 x 64.8 mm (2.8 x 2.6 inches),,,,,Air,,Chain   (final drive),"Oil damper, 800mm length","Oil damper, 460mm length",80/100-21 ,110/90-18 ,Single disc. Hydraulic. ,Single disc. Hydraulic. ,"870 mm (34.3 inches) If adjustable, lowest setting.",1320 mm (52.0 inches),2070 mm (81.5 inches),820 mm (32.3 inches),1385 mm (54.5 inches),,Orange/white/gray,Kick,,16.1 HP (11.7  kW)) @ 7000 RPM,,,,,,,,Chinese bike. Motocross version without lights available.,,,,,,,,,,,,280 mm (11.0 inches),,120.0 km/h (74.6 mph),,,,,,,,,,,,,,,,,,,,,,,
