Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Compression,Bore x stroke,Cooling system,Gearbox,Transmission type,Frame type,Front suspension,Rear suspension,Front brakes,Diameter,Rear brakes,Wheels,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Comments,Fuel system,Lubrication system,Front tire,Rear tire,Dry weight,Engine details,Valves per cylinder,Fuel control,Ignition,Clutch,Driveline,Fuel consumption,Greenhouse gases,Emission details,Exhaust system,Rake (fork angle),Trail,Front wheel travel,Rear wheel travel,Seat,Power/weight ratio,Alternate seat height,Instruments,Factory warranty,Electrical,Light,Carrying capacity,Reserve fuel capacity,Oil capacity,Top speed,0-100 km/h (0-62 mph),Max RPM,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,1/4 mile (0.4 km),Modifications compared to previous model,Belt teeth,Belt width,Pulley teeth
Honda CRF250XRL                                        ,2018,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",29.4 HP (21.4  kW)) @ 9000 RPM,24.2 Nm (2.5 kgf-m or 17.8 ft.lbs) @ 8000 RPM,12.9:1,78.0 x 52.2 mm (3.1 x 2.1 inches),Liquid,5-speed,Chain   (final drive),Semi-double cradle; aluminium twin-spar,47mm inverted Showa cartridge fork with 16-position rebound and 16-position compression-damping adjustability,"Pro-Link Showa single shock with spring-preload, 17-position rebound-damping adjustability and compression damping adjustment separated into low speed (13 positions) and high speed (3.5 turns)",Double disc. Two-piston calipers. ,240 mm (9.4 inches),Single disc. Hydraulic. ,Aluminium rim/wire spoke,115.0 kg (253.5 pounds),"958 mm (37.7 inches) If adjustable, lowest setting.",,2174 mm (85.6 inches),827 mm (32.6 inches),346 mm (13.6 inches),1481 mm (58.3 inches),7.30 litres (1.93 US gallons),Red/white/blue,Electric & kick,Road legal.,Carburettor. 37mm Keihin FCR flat slide carburettor with throttle position sensor (TPS),Twin-sump lubrication,80/100-21 ,100/100-18 ,,Gear-driven counterbalancer,,Single Overhead Cams (SOHC),CD with electronic advance and lighting coil,,#520 T-ring sealed chain,,,,,27.5°,118 mm (4.6 inches),315 mm (12.4 inches),315 mm (12.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan S Cafe Light Tourer,2018,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",61.0 HP (44.5  kW)) @ 7500 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 6600 RPM,10.8:1,83.0 x 60.0 mm (3.3 x 2.4 inches),Liquid,6-speed,Chain   (final drive),"Tubular diamond, high-tensile steel",41mm telescopic fork ,"Offset laydown single-shock, linkage equipped, with 7-way adjustable preload",Double disc. Dual-piston calipers. ,250 mm (9.8 inches),Single disc. Single-piston caliper. ,,231.0 kg (509.3 pounds),"705 mm (27.8 inches) If adjustable, lowest setting.",1133 mm (44.6 inches),2310 mm (90.9 inches),880 mm (34.6 inches),130 mm (5.1 inches),1575 mm (62.0 inches),14.00 litres (3.70 US gallons),Pearl Storm Gray,Electric,Limited power version with 35 kW available.,"Injection. DFI with two 38mm throttle bodies, with sub-throttles",,120/70-18 ,160/60-17 ,,,4,Double Overhead Cams/Twin Cam (DOHC),,Wet multi-disc,,4.40 litres/100 km (22.7 km/l or 53.46 mpg),102.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,31.0°,119 mm (4.7 inches),130 mm (5.1 inches),81 mm (3.2 inches),,,,,12 Month Limited Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Morini Granpasso 1200 R,2018,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1187.0 ccm (72.43 cubic inches),"V2, four-stroke",118.0 HP (86.1  kW)) @ 8400 RPM,103.6 Nm (10.6 kgf-m or 76.4 ft.lbs) @ 7000 RPM,12.2:1,107.0 x 66.0 mm (4.2 x 2.6 inches),Liquid,6-speed,Chain   (final drive),High-strength steel tube trellis ,Marzocchi Upside Down,Öhlins mono-shock-absorber on  the side,"Double disc. Brembo, 2-piston caliper",255 mm (10.0 inches),Single disc. Brembo,Hot worked aluminium alloy,,"830 mm (32.7 inches) If adjustable, lowest setting.",1180 mm (46.5 inches),2200 mm (86.6 inches),930 mm (36.6 inches),360 mm (14.2 inches),1490 mm (58.7 inches),,"Black, red",Electric,,Injection,"Forced, with trochoidal pump",120/70-ZR17 ,180/55-R17 ,210.0 kg (463.0 pounds),87 degree longitudinal V-twin. ,4,Double Overhead Cams/Twin Cam (DOHC),,Multiple-plate clutch in oil bath with antiskipping system and radial master-cylinder,,,,"Euro 3, 3-way catalyst,  lambda probe",,26.5°,120 mm (4.7 inches),175 mm (6.9 inches),200 mm (7.9 inches),,0.5619 HP/kg,"875 mm (34.4 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Vino 20th Anniversary Edition,2018,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",4.5 HP (3.3  kW)) @ 8000 RPM,4.2 Nm (0.4 kgf-m or 3.1 ft.lbs) @ 6500 RPM,12.0:1,38.0 x 43.6 mm (1.5 x 1.7 inches),Liquid,Automatic,Belt   (final drive),Backbone,"Telescopic fork, 2.3-in travel","Single shock, 2.1-in travel",Expanding brake (drum brake),110 mm (4.3 inches),Expanding brake (drum brake),,81.2 kg (179.0 pounds),"715 mm (28.1 inches) If adjustable, lowest setting.",1006 mm (39.6 inches),1666 mm (65.6 inches),630 mm (24.8 inches),95 mm (3.7 inches),1161 mm (45.7 inches),4.54 litres (1.20 US gallons),Black/beige,Electric,Limited edition sold in Japan.,Injection,,90/90-10 ,90/90-10 ,,,3,Single Overhead Cams (SOHC),CDI,Dry centrifugal automatic clutch,V-belt,1.85 litres/100 km (54.1 km/l or 127.15 mpg),42.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,24.0°,70 mm (2.8 inches),,,,,,,,"12V, 4.0Ah battery",,Underseat storage compartment can hold a helmet. Rack.,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS TXE,2018,Trial,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,20.1 HP (14.7  kW)),,,,Liquid,6-speed,Chain   (final drive),Tubular chrome-molybdenum,TECH with aluminium bar Ø 39,Reiger hydraulic mono shock absorber (2 way),"Single disc. Floating wave disk, 4-piston caliper",150 mm (5.9 inches),Single disc. Wave disc,Aluminum spoked rim,,"630 mm (24.8 inches) If adjustable, lowest setting.",1130 mm (44.5 inches),2010 mm (79.1 inches),825 mm (32.5 inches),,1320 mm (52.0 inches),,Grey/red/green,Kick,Spanish made bike. ,,,2.75-21 ,4.00-18 ,68.0 kg (149.9 pounds),Brushless motor,,,,Hydraulic GG 1/3 diaphragm system,,,,,,,,180 mm (7.1 inches),164 mm (6.5 inches),,0.2959 HP/kg,,,,"50,4 - 58,8V 26Ah battery",,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster 1200,2018,Naked bike," 3.7  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1198.4 ccm (73.13 cubic inches),"V2, four-stroke",135.0 HP (98.5  kW)) @ 8750 RPM,118.0 Nm (12.0 kgf-m or 87.0 ft.lbs) @ 7250 RPM,12.5:1,106.0 x 67.9 mm (4.2 x 2.7 inches),Liquid,6-speed,Chain   (final drive),Tubular steel Trellis frame attached to the cylinders head,43mm fully adjustable usd forks,Progressive linkage with fully adjustable monoshock. Aluminium single-sided swingarm,Double disc. ABS. Floating discs. Four-piston calipers. Radially mounted. ,245 mm (9.6 inches),Single disc. ABS. Floating disc. Two-piston calipers. ,,209.0 kg (460.8 pounds),"785 mm (30.9 inches) If adjustable, lowest setting.",1040 mm (40.9 inches),2200 mm (86.6 inches),830 mm (32.7 inches),,1511 mm (59.5 inches),17.50 litres (4.62 US gallons),"Red, grey",Electric,Traction control.,Injection. 53mm throttle bodies with full  Ride by Wire,,120/70-ZR17 ,190/55-ZR17 ,182.0 kg (401.2 pounds),Testastretta 11° L-Twin,4,Desmodromic valve control,,"Light action, wet, multiplate clutch with hydraulic control. Self-servo action on drive, slipper action on over-run.","Front sprocket 15; Rear sprocket 41. Primary drive: Straight cut gears, ratio 1.84.",,,Euro 3,Lightweight 2-1-2 system with catalytic converter and two lambda probes. Twin aluminium mufflers,24.3°,93 mm (3.7 inches),130 mm (5.1 inches),152 mm (6.0 inches),Dual seat,0.7418 HP/kg,,Colour TFT display,2 years unlimited mileage,,,,,,,,,,,,,,,,,,,,,,,,,,
AJP PR4 Supermoto Pro 240,2018,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,233.0 ccm (14.22 cubic inches),"Single cylinder, four-stroke",20.0 HP (14.6  kW)) @ 8000 RPM,18.0 Nm (1.8 kgf-m or 13.3 ft.lbs) @ 7000 RPM,,69.0 x 62.5 mm (2.7 x 2.5 inches),Oil & air,5-speed,Chain   (final drive),Composite  aluminum/steel,"Marzocchi 40mm, fully adjustable","ZF Sachs progressive system, fully adjustable",Single disc. 2-piston calipers,220 mm (8.7 inches),Single disc,"Black rims, wire spoked",,"870 mm (34.3 inches) If adjustable, lowest setting.",,,,335 mm (13.2 inches),1380 mm (54.3 inches),7.00 litres (1.85 US gallons),White/red/black,Electric,Portuguese brand.,Carburettor. 30 mm,,100/80-17 ,130/70-17 ,115.0 kg (253.5 pounds),,2,Overhead Cams (OHC),,"Oil bath, multidisc",,,,,,,,260 mm (10.2 inches),300 mm (11.8 inches),,0.1739 HP/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CRF125F Big Wheel,2018,Enduro / offroad," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.9 ccm (7.62 cubic inches),"Single cylinder, four-stroke",,,9.5:1,52.4 x 57.8 mm (2.1 x 2.3 inches),Air,5-speed,Chain   (final drive),"Diamond, steel",31mm telescopic fork,Pro-Link® single-shock,Single disc,149 mm (5.9 inches),Expanding brake (drum brake),,88.0 kg (194.0 pounds),"785 mm (30.9 inches) If adjustable, lowest setting.",,,,,1255 mm (49.4 inches),7.19 litres (1.90 US gallons),Red,Electric,Model ID: CRF125FB,Carburettor. 240mm piston-valve carburetor,,70/100-19 ,90/100-16 ,,,2,Single Overhead Cams (SOHC),DC-CDI,,#520 O-ring-sealed chain; 13T/48T,,,Meets current California Air Resources Board (CARB) and EPA off-road emissions standards.,,27.3°,94 mm (3.7 inches),150 mm (5.9 inches),150 mm (5.9 inches),,,,,,Maintenance-free sealed battery,,,1.51 litres (0.40 US gallons),,,,,,,,,,,,,,,,,,,,,,
GAS GAS EnduroGP 250,2018,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.3 ccm (15.21 cubic inches),"Single cylinder, two-stroke",,,,66.4 x 72.0 mm (2.6 x 2.8 inches),Liquid,6-speed,Chain   (final drive),Center frame in chrome-moly-steelframe,"KYB ø48 mm, AOS system, closed cartridge",Aluminium and Linkage system swingarm. KYB mono shock. ,"Single disc. NG EnduroGP disc, Nissin caliper",220 mm (8.7 inches),"Single disc. NG disc, Nissin caliper",Excel Aluminium spoke rim. Michelin Enduro tyres.,,"960 mm (37.8 inches) If adjustable, lowest setting.",1260 mm (49.6 inches),2145 mm (84.4 inches),825 mm (32.5 inches),,1480 mm (58.3 inches),9.80 litres (2.59 US gallons),Red/white,Electric & kick,Spanish made bike. ,Carburettor,2-stroke-oil/fuel mixed 1:50,90/90-21 ,140/80-18 ,105.0 kg (231.5 pounds),Direct reed valve VForce 4,,,,Multidisc in oil bath. Rekluse system. Magura clutch pump,,,,Euro 4,FMF PowerCore 2.1 ,,,300 mm (11.8 inches),131 mm (5.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Forza 125                                                     ,2018,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.9 ccm (7.62 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)) @ 8750 RPM,12.5 Nm (1.3 kgf-m or 9.2 ft.lbs) @ 8250 RPM,11.0:1,52.4 x 57.9 mm (2.1 x 2.3 inches),Liquid,Automatic,Belt   (final drive),Tubular steel underbone,Telescopic,Twin,Single disc. ABS. ,240 mm (9.4 inches),Single disc. ABS. ,Aluminium casting,159.0 kg (350.5 pounds),"780 mm (30.7 inches) If adjustable, lowest setting.",1445 mm (56.9 inches),2135 mm (84.1 inches),750 mm (29.5 inches),150 mm (5.9 inches),1490 mm (58.7 inches),11.50 litres (3.04 US gallons),"Silver/blue, white/blue, black",Electric,,Injection. PGM-FI electronic fuel injection,,120/70-15 ,140/70-14 ,,,4,Single Overhead Cams (SOHC),,"Dry, internal expanding, deadweight",V-belt,1.91 litres/100 km (52.4 km/l or 123.15 mpg),44.3 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,,26.5°,89 mm (3.5 inches),,,Two-person seat,,,,,12V-7Ah battery.,LED Headlights,Under-seat 48 litre storage compartment,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR1000RR SP2,2018,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,999.0 ccm (60.96 cubic inches),"In-line four, four-stroke",178.4 HP (130.2  kW)) @ 12500 RPM,114.0 Nm (11.6 kgf-m or 84.1 ft.lbs) @ 10500 RPM,13.0:1,76.0 x 55.1 mm (3.0 x 2.2 inches),Liquid,6-speed,Chain   (final drive),Diamond; aluminium composite twin spar,"Öhlins with spring preload, rebound and compression damping adjustability","Unit Pro-Link® Ohlins Shock with spring-preload, rebound and compression-damping adjustability",Double disc. ABS. Floating discs. Four-piston calipers. Radially mounted. ,220 mm (8.7 inches),Single disc. ABS. Single-piston caliper. ,12-spoke cast aluminium,198.0 kg (436.5 pounds),"820 mm (32.3 inches) If adjustable, lowest setting.",1135 mm (44.7 inches),2075 mm (81.7 inches),720 mm (28.3 inches),,1410 mm (55.5 inches),17.79 litres (4.70 US gallons),Red/Black/White,Electric,Titanium Fuel Tank. Gyro-Assisted ABS. Model ID: Limited edition model. CBR1000S2. ,"Injection. Programmed Dual Stage Fuel Injection (PGM-DSFI) with 46mm throttle bodies, Denso 12-hole injectors",,120/70-ZR17 ,190/50-ZR17 ,,,4,Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital transistorized with 3-D mapping,Assisted Slipper Clutch,#530 O-ring-sealed chain,5.74 litres/100 km (17.4 km/l or 40.98 mpg),133.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Meets current EPA standards. California version meets current CARB standards and may differ slightly due to emissions equipment.,Titanium muffler,23.0°,96 mm (3.8 inches),109 mm (4.3 inches),137 mm (5.4 inches),,,,"Full-screen LCD instrumentation includes a lap timer, trip and fuel-consumption computer, five-level customizable shift indicator, gear-position indicator, and peak-rpm memory function.",One year. Unlimited milage. Transferable.,Lightweight lithium-ion battery,,,,,,,,,,,,,,,,,,,,,,,,,
Lambretta V125 Special Flex,2018,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",10.1 HP (7.3  kW)) @ 8500 RPM,9.5 Nm (1.0 kgf-m or 7.0 ft.lbs) @ 9000 RPM,10.1:1,,Air,Automatic,Belt   (final drive),Underbone,Telescopic fork,Single hydraulic shock absorber,Single disc. CBS,220 mm (8.7 inches),Single disc,,,"770 mm (30.3 inches) If adjustable, lowest setting.",,1900 mm (74.8 inches),600 mm (23.6 inches),,1330 mm (52.4 inches),6.50 litres (1.72 US gallons),"Grey, orange",Electric,"Sold by Innocenti SA, Switzerland.",Injection,,110/70-12 ,120/70-12 ,86.2 kg (190.0 pounds),,,Overhead Cams (OHC),ECU,,CVT,,,Euro 4,,,,,,Dual seat,0.1167 HP/kg,,,2-Year Limited Warranty,,,Underseat storage,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1200 GS xDrive Hybrid,2018,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, four-stroke",170.0 HP (124.1  kW)) @ 7750 RPM,125.0 Nm (12.7 kgf-m or 92.2 ft.lbs) @ 6500 RPM,12.5:1,101.0 x 73.0 mm (4.0 x 2.9 inches),Liquid,6-speed,Shaft drive (cardan)   (final drive),"Two-section frame, front- and bolted on rear frame, load-bearing engine",BMW Motorrad Telelever,Cast aluminium single-sided swing arm with BMW Motorrad Paralever,Single disc. ABS. Regenerative hub braking system in addition.,276 mm (10.9 inches),Single disc. ABS. Floating disc. Two-piston calipers. ,Aluminium-Gussräder,243.0 kg (535.7 pounds),"850 mm (33.5 inches) If adjustable, lowest setting.",1450 mm (57.1 inches),2207 mm (86.9 inches),953 mm (37.5 inches),,1507 mm (59.3 inches),20.00 litres (5.28 US gallons),Light White/Black Storm Metallic,Electric,All-wheel drive. Windscreen. ,Injection. Electronic intake pipe injection,Dry sump,120/70-R19 ,170/60-R17 ,,Additional front wheel-hub e-Drive system,4,Double Overhead Cams/Twin Cam (DOHC),,"Oil lubricated clutch, hydraulically operated",Constant mesh,4.96 litres/100 km (20.2 km/l or 47.42 mpg),115.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Closed-loop 3-way catalytic converter, emission standard EU-4",,25.5°,100 mm (3.9 inches),190 mm (7.5 inches),200 mm (7.9 inches),,,,,,,,,4.00 litres (1.06 US gallons),,200.0 km/h (124.3 mph),,,,,,,,,,,,,,,,,,,,
Suzuki RM-Z250,2018,Cross / motocross,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,13.5:1,77.0 x 53.6 mm (3.0 x 2.1 inches),Liquid,5-speed,Chain   (final drive),,"Inverted telescopic, pneumatic spring, oil damped, adjustable damping force ","Link type, coil spring, oil damped, adjustable spring preload  and  damping force ",Single disc,,Single disc,Aluminum rims with stainless steel spokes,106.0 kg (233.7 pounds),"955 mm (37.6 inches) If adjustable, lowest setting.",1270 mm (50.0 inches),2170 mm (85.4 inches),830 mm (32.7 inches),345 mm (13.6 inches),1475 mm (58.1 inches),6.50 litres (1.72 US gallons),Championship Yellow with black/blue accents ,Kick,,Injection. 44mm throttle body ,Semi-dry sump,80/100-21 ,100/90-19 ,,Aluminum cylinder with Suzuki Composite Electrochemical Material (SCEM) coating,4,Double Overhead Cams/Twin Cam (DOHC),Electronic,,"Chain, DID520DMA4, 114 links",,,,Revised muffler meets AMA sound standards.,,,,,"Gripper seat, with projected cross-shaped patterns",,,,No warranty,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CB300F ABS,2018,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,286.0 ccm (17.45 cubic inches),"Single cylinder, four-stroke",29.5 HP (21.5  kW)) @ 8500 RPM,27.0 Nm (2.8 kgf-m or 19.9 ft.lbs) @ 7250 RPM,10.7:1,76.0 x 63.0 mm (3.0 x 2.5 inches),Liquid,6-speed,Chain   (final drive),,37mm fork,Pro-Link single shock with five positions of spring preload adjustability,Single disc. ABS,220 mm (8.7 inches),Single disc. ABS,,160.6 kg (354.0 pounds),"755 mm (29.7 inches) If adjustable, lowest setting.",,2040 mm (80.3 inches),,130 mm (5.1 inches),1560 mm (61.4 inches),12.87 litres (3.40 US gallons),Chromosphere Red,Electric,Model ID: CB300FA,"Injection. PGM-Fi, 38mm throttle body",,110/70-17 ,140/70-17 ,,,4,Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital transistorized with electronic advance,Wet multi-plate coil spring,,3.02 litres/100 km (33.1 km/l or 77.89 mpg),70.1 CO2 g/km. (CO2 - Carbon dioxide emission) ,Meets current EPA standards. Models sold in California meet current CARB standards and may differ slightly due to emissions equipment.,,25.3°,98 mm (3.9 inches),118 mm (4.7 inches),103 mm (4.1 inches),,,,Multifunction Digital Instrumentation,24 months,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CBR650F,2018,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"In-line four, four-stroke",85.8 HP (62.6  kW)) @ 11000 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 8000 RPM,11.4:1,67.0 x 46.0 mm (2.6 x 1.8 inches),Liquid,6-speed,Chain   (final drive),Steel diamond,41mm Fork,Single shock with spring-preload adjustability,Double disc. Two-piston calipers. ,240 mm (9.4 inches),Single disc. Single-piston caliper. ,Hollow-section 6-spoke cast aluminium,199.0 kg (438.7 pounds),"810 mm (31.9 inches) If adjustable, lowest setting.",1120 mm (44.1 inches),2110 mm (83.1 inches),775 mm (30.5 inches),150 mm (5.9 inches),1450 mm (57.1 inches),17.30 litres (4.57 US gallons),Red/black,Electric,Model ID: CBR650F.,"Injection. PGM-FI Programmed automatic enrichment circuit, with 32mm throttle bodies",Wet sump,120/70-ZR17 ,180/55-ZR17 ,,,4,Double Overhead Cams/Twin Cam (DOHC),Digital transistorized with electronic advance,"Wet, multiple discs. Mechanical, cable-actuated.",#525 O-ring chain,4.44 litres/100 km (22.5 km/l or 52.98 mpg),103.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Meets current EPA standards. California version meets current CARB standards and may differ slightly due to emissions equipment.,Four-Into-One,25.3°,101 mm (4.0 inches),120 mm (4.7 inches),128 mm (5.0 inches),,,,,One year. Unlimited milage. Transferable.,12V/8.6AH battery,12V; 60/55W low and high headlights,,4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,
Yamaha Star Eluder,2018,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1851.9 ccm (113.00 cubic inches),"V2, four-stroke",89.9 HP (65.6  kW)) @ 4250 RPM,171.0 Nm (17.4 kgf-m or 126.1 ft.lbs) @ 2500 RPM,9.5:1,100.0 x 118.0 mm (3.9 x 4.6 inches),Air,6-speed,Belt   (final drive),,46mm telescopic fork,Single shock with remote preload adjustment,Double disc. ABS. Hydraulic. ,320 mm (12.6 inches),Single disc. ABS. Hydraulic. ,,396.9 kg (875.0 pounds),"701 mm (27.6 inches) If adjustable, lowest setting.",1275 mm (50.2 inches),2489 mm (98.0 inches),975 mm (38.4 inches),124 mm (4.9 inches),1709 mm (67.3 inches),,"Impact Blue, Raven, Liquid Silver",Electric,Small windscreen. Traction control. Heated seat.,Injection. Yamaha Fuel Injection with YCC-T and D-Mode,,130/70-R18 ,200/55-R16 ,,,4,Overhead Valves (OHV),TCI,Multiplate assist and slipper wet clutch,,,,,,31.0°,145 mm (5.7 inches),130 mm (5.1 inches),109 mm (4.3 inches),,,,,5 Year Warranty Coverage,,,Saddle bags ,,,,,,,,,,,,,,,,,,,,,,,
Aprilia SRV 850 ABS-ATC,2018,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,839.3 ccm (51.21 cubic inches),"V2, four-stroke",76.0 HP (55.5  kW)) @ 7750 RPM,75.0 Nm (7.6 kgf-m or 55.3 ft.lbs) @ 6000 RPM,,88.0 x 69.0 mm (3.5 x 2.7 inches),Liquid,Automatic,Belt   (final drive),Double cradle in high strength tubular steel,41 mm diameter hydraulic telescopic fork with straight stanchions and set-back pin.,"With laterally mounted, horizontal, hydraulic monoshock. Seven-position spring preload adjustment.",Double disc. ABS,280 mm (11.0 inches),Single disc. ABS,Aluminium alloy,,"780 mm (30.7 inches) If adjustable, lowest setting.",1300 mm (51.2 inches),2237 mm (88.1 inches),800 mm (31.5 inches),,1593 mm (62.7 inches),18.80 litres (4.97 US gallons),"Black, white",Electric,Traction control,Injection. Electronic injection with  38 mm single body,Dry sump with double trochoid lobe pump,120/70-R16 ,160/60-R15 ,250.0 kg (551.2 pounds),90° V-twin,4,Single Overhead Cams (SOHC),,Automatic dry centrifugal clutch with vibration dampers,,,,Euro 3,,,,122 mm (4.8 inches),,Gel Sport Saddle,0.3040 HP/kg,,"Large analogue speedometer and tachometer, central LCD display",,,,Top box ,,,194.0 km/h (120.5 mph),,,,,,,,,,,,,,,,,,,,
