Model,Year,Category,Rating,Displacement,Engine type,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Cooling system,Transmission type,Driveline,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Rear brakes,"Weight incl. oil, gas, etc",Seat height,Overall height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Factory warranty,Engine details,Power,Torque,Top speed,Max RPM,Gearbox,Clutch,Fuel consumption,Greenhouse gases,Emission details,Frame type,Rake (fork angle),Diameter,Wheels,Seat,Dry weight,Power/weight ratio,Instruments,Electrical,Comments,Lubrication system,Trail,Alternate seat height,Oil capacity,Light,Carrying capacity,Engine oil,Brake fluid,Coolant,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Exhaust system,Ignition,Reserve fuel capacity,Service interval,Modifications compared to previous model,Sprockets,Spark plugs,Chain size,Chain links,0-100 km/h (0-62 mph),Battery,Oil filter,Pulley teeth,"60-140 km/h (37-87 mph), highest gear",Belt teeth,1/4 mile (0.4 km)
Triumph Thruxton RS,2022,Classic,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1200.0 ccm (73.22 cubic inches),"Twin, four-stroke",11.0:1,97.6 x 80.0 mm (3.8 x 3.1 inches),4,Injection. Multipoint sequential electronic fuel injection,Single Overhead Cams (SOHC),Liquid,Chain   (final drive),O-ring chain,"Showa 43mm USD big piston forks, fully adjustable",120 mm (4.7 inches),Fully adjustable Ohlins twin shocks with piggy back reservoir,120 mm (4.7 inches),120/70-ZR17 ,160/60-ZR17 ,Double disc. ABS.  Brembo. 4-piston radial monobloc calipers,Single disc. ABS. Nissin. 2-piston floating caliper,,"810 mm (31.9 inches) If adjustable, lowest setting.",1030 mm (40.6 inches),2150 mm (84.6 inches),745 mm (29.3 inches),,1415 mm (55.7 inches),14.50 litres (3.83 US gallons),"Jet Black, Matte Storm Grey/Silver Ice",Electric,2 year unlimited milage,270º firing interval,103.0 HP (75.2  kW)) @ 7500 RPM,112.6 Nm (11.5 kgf-m or 83.0 ft.lbs) @ 4250 RPM,,,6-speed,"Wet, multi-plate assist",4.60 litres/100 km (21.7 km/l or 51.13 mpg),106.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Tubular steel cradle. Twin-sided, aluminum swingarm.",22.8°,220 mm (8.7 inches),"32-spoke, aluminum rims",Single bullet seat set-up with painted seat cowl,197.0 kg (434.3 pounds),0.5228 HP/kg,"LCD multi-functional instrument pack with analog speedometer, analog tachometer, gear position indicator, fuel gauge, range to empty indication, service indicator,clock, trip computer, scroll and mode buttons on handlebars, heated grip ready, fuel consumption display, traction control status and riding mode display.",,Traction control. Riding modes.,,92 mm (3.6 inches),,4.50 litres (4.76 US quarts),,,,,,,,,,Brushed 2-into-2 exhaust system with twin brushed silencers,,,,,,,,,,,,,,,
Kawasaki Vulcan S Performance,2022,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",10.8:1,83.0 x 60.0 mm (3.3 x 2.4 inches),,Injection. 38 mm x 2 with sub-throttles,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),Sealed chain,41mm telescopic fork ,130 mm (5.1 inches),Lay-down offset rear shock with linkage and adjustable preload,80 mm (3.1 inches),120/70-18 ,160/60-17 ,Double disc. ABS. Two-piston calipers. ,Single disc. ABS. Single-piston caliper. ,229.0 kg (504.9 pounds),"705 mm (27.8 inches) If adjustable, lowest setting.",1100 mm (43.3 inches),2310 mm (90.9 inches),880 mm (34.6 inches),130 mm (5.1 inches),1575 mm (62.0 inches),14.00 litres (3.70 US gallons),"Metallic Matte Graphenesteel Grey/Metallic Matte Graphite Grey, Metallic Flat Spark Black, Candy Crimson Red",Electric,12 Month Limited Warranty,,60.4 HP (44.1  kW)) @ 7500 RPM,62.4 Nm (6.4 kgf-m or 46.0 ft.lbs) @ 6600 RPM,,,6-speed,Wet multi-plate,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,"Tubular diamond, high-tensile steel",31.0°,250 mm (9.8 inches),,Various seat height options,,,Analog/digital,,,"Forced lubrication, semi‑dry sump",120 mm (4.7 inches),,,,,,,,,,,,,Digital ,,,,,,,,,,,,,,
CF Moto CForce 850XC,2022,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,800.0 ccm (48.82 cubic inches),"V2, four-stroke",10.3:1,91.0 x 61.5 mm (3.6 x 2.4 inches),,,Single Overhead Cams (SOHC),,,CVT,Dual A-Arm ,,Trailing Arm,,26/9-14 ,26/11-14 ,Double disc,Double disc,"480.0 kg (1,058.2 pounds)","585 mm (23.0 inches) If adjustable, lowest setting.",1420 mm (55.9 inches),2395 mm (94.3 inches),1264 mm (49.8 inches),285 mm (11.2 inches),1480 mm (58.3 inches),30.00 litres (7.93 US gallons),"Lava orange, Titanium gray, Athens blue, Truetimber camo",Electric,,,60.4 HP (44.1  kW)) @ 7250 RPM,63.0 Nm (6.4 kgf-m or 46.5 ft.lbs) @ 6500 RPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECU,,,,,,,,,,,,,,
Polaris Outlaw 70 EFI,2022,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,70.0 ccm (4.27 cubic inches),"Single cylinder, four-stroke",,,,Injection,,Air,Chain   (final drive),"2WD. Automatic, Forward Only, CVT.",Single A-Arm ,101 mm (4.0 inches),Mono-Shock Swingarm,101 mm (4.0 inches),18/7-8 ,18/8-8 ,Single disc,Single disc,,"654 mm (25.7 inches) If adjustable, lowest setting.",896 mm (35.3 inches),1422 mm (56.0 inches),901 mm (35.5 inches),102 mm (4.0 inches),838 mm (33.0 inches),5.68 litres (1.50 US gallons),"Red/white, pink/white",Electric,,,,,,,Automatic,,,,,,,,,,126.0 kg (277.8 pounds),,"Check Engine Light, Mechincal Fuel Gauge Cap",,Intended for children. Parent-adjustable speed limiter.,,,,,"LED Running Lights, Single Rear Brakelights/Taillight",,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Smash 115,2022,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,112.8 ccm (6.88 cubic inches),"Single cylinder, four-stroke",9.5:1,51.0 x 55.2 mm (2.0 x 2.2 inches),2,Carburettor,Single Overhead Cams (SOHC),Air,Chain   (final drive),,"Telescopic, coil spring oil damped",,"Swingarm, coil spring, oil damped",,70/90-17 ,80/90-17 ,Single disc,Expanding brake (drum brake),99.0 kg (218.3 pounds),,1040 mm (40.9 inches),1930 mm (76.0 inches),655 mm (25.8 inches),130 mm (5.1 inches),1240 mm (48.8 inches),4.30 litres (1.14 US gallons),"Metallic Triton Blue, Candy Summer Red/Titan Black",Electric & kick,,,8.6 HP (6.3  kW)) @ 8000 RPM,9.0 Nm (0.9 kgf-m or 6.6 ft.lbs) @ 4000 RPM,,,4-speed,"Wet shoe, automatic",,,,Underbone,,,"Black, 5-spoke cast",,,,,,Cub sold in Asia. Optionally with wire spoked wheels and drum barkes.,Wet sump,,,,,,,,,,,,,,CDI,,,,,,,,,,,,,,
Harley-Davidson Iron 883,2022,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,883.0 ccm (53.88 cubic inches),"V2, four-stroke",9.0:1,76.2 x 96.8 mm (3.0 x 3.8 inches),,Injection. Electronic Sequential Port Fuel Injection (ESPFI),,Air,Belt   (final drive),,Telescopic fork,,Twin shocks.,,100/90-B19 ,150/80-B16 ,"Single disc. Optional ABS, dual piston","Single disc. Optional ABS, dual piston",256.0 kg (564.4 pounds),"653 mm (25.7 inches) If adjustable, lowest setting.",,2185 mm (86.0 inches),,140 mm (5.5 inches),1515 mm (59.6 inches),12.50 litres (3.30 US gallons),"Black Denim, Gunship Gray, White Sand Pearl
 
 

 
 
",Electric,,Evolution engine,51.0 HP (37.2  kW)) @ 6000 RPM,73.0 Nm (7.4 kgf-m or 53.8 ft.lbs) @ 3750 RPM,,,6-speed,Multi-plate with diaphragm spring in oil bath,4.61 litres/100 km (21.7 km/l or 51.02 mpg),107.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,30.0°,300 mm (11.8 inches),Black 9 Spoke with Machined Highlights wheels. Michelin Scorcher tires.,,247.0 kg (544.5 pounds),0.2065 HP/kg,"Handlebar-mounted electronic speedometer with odometer, time-of-day clock, dual tripmeter, low fuel warning light, low oil pressure light, engine diagnostics readout, LED indicator lights",,,Dry sump,117 mm (4.6 inches),,2.80 litres (2.96 US quarts),"High beam, neutral, low oil pressure, turn signals, engine diagnostics, low fuel warning, low battery, security system (optional)",,,,,,,,39 mm (1.5 inches),Black exhaust headers and black mufflers ,,,,,34/57 (front/rear),,,,,,,,,,
Kawasaki KX450X,2022,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",12.5:1,96.0 x 62.0 mm (3.8 x 2.4 inches),,Injection. DFI® with 44mm Keihin throttle body,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),,49mm inverted telescopic coil-spring fork with 16-way compression damping and 16-way rebound damping,305 mm (12.0 inches),"Uni-Trak® gas charged shock with piggyback reservoir with dual-range (4 turns stepless high speed/19-way low-speed) compression damping, 38-way rebound damping and adjustable preload",307 mm (12.1 inches),80/100-21 ,120/80-18 ,Single disc. Semi-floating petal discs,Single disc. Single-piston caliper. ,,"950 mm (37.4 inches) If adjustable, lowest setting.",1265 mm (49.8 inches),2185 mm (86.0 inches),820 mm (32.3 inches),335 mm (13.2 inches),1485 mm (58.5 inches),6.20 litres (1.64 US gallons),Lime Green,Electric,,,,,,,5-speed,Wet multi-disc manual clutch and hydraulic clutch actuation,,,,Aluminum perimeter,27.6°,250 mm (9.8 inches),,,107.0 kg (235.8 pounds),,,,Launch Control Mode.,,119 mm (4.7 inches),,,,,,,,,,,,,Digital CDI with 3 Coupler Options,,,,,,,,,,,,,,
Yamaha AG200F,2022,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,196.0 ccm (11.96 cubic inches),"Single cylinder, four-stroke",9.5:1,67.0 x 55.7 mm (2.6 x 2.2 inches),2,Carburettor. BS26,Single Overhead Cams (SOHC),Air,Chain   (final drive),,Telescopic forks,200 mm (7.9 inches),Swingarm,,80/100-21 ,4.10-18 ,Expanding brake (drum brake),Expanding brake (drum brake),128.0 kg (282.2 pounds),"830 mm (32.7 inches) If adjustable, lowest setting.",1155 mm (45.5 inches),2160 mm (85.0 inches),930 mm (36.6 inches),255 mm (10.0 inches),1345 mm (53.0 inches),10.00 litres (2.64 US gallons),Blue,Electric & kick,,,,,,,5-speed,,,,,Diamond,,,,,,,Analogue,,Australian farm bike.,Wet sump,,,,,Dual racks,,,,,,,,,CDI,,,,,,,,,,,,,,
Kawasaki Versys 650 Tourer,2022,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",10.8:1,83.0 x 60.0 mm (3.3 x 2.4 inches),4,Injection. DFI® with 38mm Keihin throttle bodies (2),Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),Sealed chain,41mm hydraulic telescopic fork with stepless adjustable rebound and preload / 5.9 in.,150 mm (5.9 inches),Single offset laydown shock with remote adjustable spring preload,145 mm (5.7 inches),120/70-ZR17 ,160/60-ZR17 ,Double disc. ABS. Two-piston calipers. Petal-style discs.,Single disc. ABS. Single-piston caliper.  Petal-style disc.,,"845 mm (33.3 inches) If adjustable, lowest setting.",1360 mm (53.5 inches),2165 mm (85.2 inches),841 mm (33.1 inches),170 mm (6.7 inches),1415 mm (55.7 inches),21.00 litres (5.55 US gallons),"Candy Lime Green/Metallic Flat Spark Black/Metallic Spark Black, Metallic Spark Black/Metallic Flat Spark Black, Metallic Spark Black/Metallic Flat Spark Black",Electric,12 month limited warranty,,67.0 HP (48.9  kW)) @ 8500 RPM,60.8 Nm (6.2 kgf-m or 44.8 ft.lbs) @ 7000 RPM,,,6-speed,Wet multi-disc,,,,"Tubular diamond, high-tensile steel",25.0°,250 mm (9.8 inches),Cast aluminum,,217.0 kg (478.4 pounds),0.3088 HP/kg,TFT colour instrumentation,,Traction control. Economical Riding Indicator. Smartphone connectivity. Windscreen. ,"Forced lubrication, semi-dry sump",108 mm (4.3 inches),,,LED headlight,Panniers,,,,,,,,,TCBI with electronic advance,,,,,,,,,,,,,,
Yamaha Grizzly EPS XT-R,2022,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,686.0 ccm (41.86 cubic inches),"Single cylinder, four-stroke",10.1:1,102.0 x 84.0 mm (4.0 x 3.3 inches),4,"Injection. Yamaha Fuel Injection (YFI), 44mm",Single Overhead Cams (SOHC),Liquid,Shaft drive (cardan)   (final drive),"On-Command 3-way locking differential; 2WD, 4WD, locked 4WD; shaft",Independent double wishbone,193 mm (7.6 inches),Independent double wishbone,232 mm (9.1 inches),26/8-12 ,26/10-12 ,Double disc. Hydraulic. ,Double disc. Hydraulic. ,355.2 kg (783.0 pounds),"930 mm (36.6 inches) If adjustable, lowest setting.",1270 mm (50.0 inches),2070 mm (81.5 inches),1250 mm (49.2 inches),300 mm (11.8 inches),1250 mm (49.2 inches),18.00 litres (4.76 US gallons),Tactical Black/Carbon Metallic,Electric,6 Month Limited Factory Warranty,Gear-driven crankshaft balancer shaft and rubber-damper engine mounts,,,,,Automatic,,,,,,,205 mm (8.1 inches),Maxxis Zilla MU01 tyres,,,,"Digital LCD multifunction display: speedometer, odometer, dual tripmeter, hour meter, clock, fuel gauge, gear position, and EFI function",,,Wet sump,,,2.60 litres (2.75 US quarts),Dual headlights and 21/5W brakelight,,,,,,,,,,TCI,,,,,,,,,,,,,,
Kawasaki Vulcan 1700 Voyager,2022,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1700.0 ccm (103.73 cubic inches),"V2, four-stroke",9.5:1,102.0 x 104.0 mm (4.0 x 4.1 inches),4,Injection. DFI with dual 42mm throttle bodies,Single Overhead Cams (SOHC),Liquid,Belt   (final drive),Carbon fiber-reinforced belt,45mm Showa telescopic fork,140 mm (5.5 inches),"Swingarm with twin air-assisted shocks, with 4-way rebound damping",79 mm (3.1 inches),130/90-16 ,170/70-16 ,"Double disc. Dual four-piston calipers, K-ACT II ABS.","Single disc. Twin-piston caliper, K-ACT II ABS",406.1 kg (895.2 pounds),"729 mm (28.7 inches) If adjustable, lowest setting.",1549 mm (61.0 inches),2560 mm (100.8 inches),996 mm (39.2 inches),135 mm (5.3 inches),1664 mm (65.5 inches),20.06 litres (5.30 US gallons),Pearl Robotic White/Pearl Nightshade Teal,Electric,36 months limited,52° V-twin ,73.0 HP (53.3  kW)) @ 5000 RPM,145.9 Nm (14.9 kgf-m or 107.6 ft.lbs) @ 2750 RPM,,,6-speed,,,,,"Steel, double-cradle with box-section single-tube backbone",30.0°,300 mm (11.8 inches),,,,,,,Windscreen. Cruise control. Integrated audio system with SiriusXM ® and intercom headset compatibility.,"Forced lubrication, semi dry sump",178 mm (7.0 inches),,,,"Saddle bags, top box",,,,,,,,,TCBI with digital advance,,,,,,,,,,,,,,
Combat Motors P-51 Combat Fighter,2022,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1917.4 ccm (117.00 cubic inches),"V2, four-stroke",,,,Injection. Delphi EFI,Pushrods,Oil & air,Chain   (final drive),,"Double wishbone, monoshock ",,"Cantilever monoshock, fully adjustable",,120/70-ZR19 ,240/45-ZR17 ,Double disc,Single disc,254.0 kg (560.0 pounds),"749 mm (29.5 inches) If adjustable, lowest setting.",,,,,1588 mm (62.5 inches),16.25 litres (4.29 US gallons),Silver,Electric,,Triple-camshaft,120.0 HP (87.6  kW)) @ 5100 RPM,162.7 Nm (16.6 kgf-m or 120.0 ft.lbs) @ 2000 RPM,257.5 km/h (160.0 mph),5800,5-speed,,,,,"Machined aluminum monocoque, massive 7 in. backbone containing fuel load.",27.5°,230 mm (9.1 inches),Carbon fiber wheel,Solo seat,,,,,.,,106 mm (4.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Pan America 1250,2022,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1250.4 ccm (76.30 cubic inches),"V2, four-stroke",13.0:1,104.9 x 72.4 mm (4.1 x 2.9 inches),,Injection. Electronic Sequential Port Fuel Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),,47mm inverted fork with electronically adjustable semi-active damping control. Aluminum fork triple clamps.,190 mm (7.5 inches),Linkage-mounted monoshock with automatic electronic preload control and semi-active compression  and  rebound damping,,120/70-R19 ,170/60-R17 ,"Double disc. Radially mounted, monoblock, 4-piston caliper. ABS.","Single disc. Floating, single piston caliper. ABS.",244.9 kg (540.0 pounds),"813 mm (32.0 inches) If adjustable, lowest setting.",,2271 mm (89.4 inches),,211 mm (8.3 inches),1580 mm (62.2 inches),21.20 litres (5.60 US gallons),Vivid Black,Electric,,Revolution® Max 1250 engine,150.0 HP (109.5  kW)) @ 9000 RPM,127.5 Nm (13.0 kgf-m or 94.0 ft.lbs) @ 6750 RPM,,,6-speed,,5.11 litres/100 km (19.6 km/l or 46.03 mpg),118.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,25.0°,,"Aluminum cast, satin black. Michelin® Scorcher® “Adventure”, Radial tires.",Two-up seat.,229.1 kg (505.0 pounds),0.6549 HP/kg,"6.8 inch TFT color display with speedometer, gear, odometer, fuel level, clock, trip, ambient temp, low temp alert, side stand down alert, TIP over alert, cruise, range and tachometer",,"Windscreen, cruise control, six-axis IMU, customizable ride modes, USB-C, Bluetooth connectivity and moving map navigation. ",Dry sump,109 mm (4.3 inches),,4.50 litres (4.76 US quarts),Daymaker Signature Adaptive Headlamp,,,,,,,,,2-into-1-into-1; catalyst in header,,,,,,,,,,,,,,,
BMW K 1600 GTL,2022,Touring,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1649.0 ccm (100.62 cubic inches),"In-line six, four-stroke",12.2:1,72.0 x 67.5 mm (2.8 x 2.7 inches),4,Injection. Electronic fuel injection with ride-by-wire throttle system,Double Overhead Cams/Twin Cam (DOHC),Liquid,Shaft drive (cardan)   (final drive),,BMW Motorrad Duolever,115 mm (4.5 inches),BMW Motorrad Paralever,135 mm (5.3 inches),120/70-ZR17 ,190/55-ZR17 ,Double disc. ABS. Four-piston calipers. ,Single disc. ABS. Two-piston calipers. ,357.9 kg (789.0 pounds),"750 mm (29.5 inches) If adjustable, lowest setting.",1475 mm (58.1 inches),2489 mm (98.0 inches),1000 mm (39.4 inches),,1618 mm (63.7 inches),26.50 litres (7.00 US gallons),Black Storm Metallic,Electric,,,160.0 HP (116.8  kW)) @ 6750 RPM,180.0 Nm (18.4 kgf-m or 132.8 ft.lbs) @ 5250 RPM,201.2 km/h (125.0 mph),,6-speed,"Multi-plate wet clutch, hydraulically operated",5.70 litres/100 km (17.5 km/l or 41.27 mpg),132.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,"Closed-loop 3-way catalytic converter, emission standard Euro 5",Aluminum bridge-type frame with load-bearing engine,27.8°,320 mm (12.6 inches),Cast aluminium,Seat heating,,,10.25 inch TFT colour display,"Three-phase 700 W alternator. 12 V / 19 Ah, maintenance free battery.","3 Ride Modes (Rain/Road/Dynamic). Cruise Control. DTC (Dynamic Traction Control).
Dynamic ESA. Heated Grips. Stepless Power Adjustable Windshield.",Dry sump,108 mm (4.3 inches),"831 mm (32.7 inches) If adjustable, highest setting.",,LED lights,Saddle Bags in Body Color. Top Box.,,,,,,,,,,4.00 litres (1.06 US gallons),,,,,,,,,,,,,
Macbor Stormer R,2022,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",9.5:1,52.4 x 57.8 mm (2.1 x 2.3 inches),2,Injection. Delphi,,Air,Chain   (final drive),,Hydraulic upside-down fork diam. 34 mm,,"Monoshock absorber, hydraulic adjustable in preload",,90/90-17 ,110/80-17 ,Single disc. Three-piston floating calliper. Combined braking system,Single disc,,"763 mm (30.0 inches) If adjustable, lowest setting.",1070 mm (42.1 inches),2035 mm (80.1 inches),785 mm (30.9 inches),180 mm (7.1 inches),1375 mm (54.1 inches),18.00 litres (4.76 US gallons),"Black, White",Electric,,,10.5 HP (7.6  kW)) @ 8500 RPM,9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 6000 RPM,,,5-speed,,2.20 litres/100 km (45.5 km/l or 106.92 mpg),51.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,,,210 mm (8.3 inches),,,125.0 kg (275.6 pounds),0.0837 HP/kg,Digital LCD / Analogue,,Spanish brand.,,,,,LED,,,,,,,,,,ECU,,,,,,,,,,,,,,
Cleveland Ace 250,2022,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Twin, four-stroke",9.3:1,55.0 x 53.0 mm (2.2 x 2.1 inches),,,Single Overhead Cams (SOHC),Oil & air,Chain   (final drive),,Inverted forks,,Twin coil over oil damped shocks,,90/90-18 ,120/80-16 ,Single disc. ABS,Single disc. ABS,,"790 mm (31.1 inches) If adjustable, lowest setting.",,2050 mm (80.7 inches),795 mm (31.3 inches),,1410 mm (55.5 inches),15.00 litres (3.96 US gallons),"Black, red, blue",Electric & kick,,,16.8 HP (12.2  kW)) @ 8500 RPM,16.0 Nm (1.6 kgf-m or 11.8 ft.lbs) @ 6000 RPM,,,6-speed,"Wet, multi-disc",,,,"Tubular backbone, double cradle",,220 mm (8.7 inches),,,130.0 kg (286.6 pounds),0.1289 HP/kg,,,US brand also called Cleveland Cycle Werks (CCW). Bike made in China.,,,,,,,,,,,,,,,CDI,,,,,,,,,,,,,,
GAS GAS MC 250,2022,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, two-stroke",,66.4 x 72.0 mm (2.6 x 2.8 inches),,Carburettor. Keihin,,,Chain   (final drive),,58 mm upside-down fork,295 mm (11.6 inches),WP XACT Monoshock with linkage,310 mm (12.2 inches),60/90-14 ,80/80-12 ,Single disc,Single disc,,"950 mm (37.4 inches) If adjustable, lowest setting.",,,,370 mm (14.6 inches),1475 mm (58.1 inches),7.50 litres (1.98 US gallons),,Kick,,,,,,,6-speed,Multidisc hydraulic operated,,,,Central double-cradle-type 25CrMo4 steel,,220 mm (8.7 inches),,,95.5 kg (210.5 pounds),,,,,Fuel mixture,,,,,,,,,,,,,,Kokusan digital CDI Multispark,,,,,,,,,,,,,,
Suzuki V-Strom 650XA,2022,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,645.0 ccm (39.36 cubic inches),"V2, four-stroke",11.2:1,81.0 x 62.6 mm (3.2 x 2.5 inches),4,Injection. Suzuki Dual Throttle Valve,Double Overhead Cams/Twin Cam (DOHC),Liquid,Chain   (final drive),"Chain, RK525SMOZ8, 118 links","Telescopic, coil spring, oil damped",,"Link type, coil spring, oil damped",,110/80-R19 ,150/70-R17 ,Double disc. ABS. Tokico 2-piston calipers.,"Single disc. ABS. Nissin, 1-piston.",216.0 kg (476.2 pounds),"835 mm (32.9 inches) If adjustable, lowest setting.",1405 mm (55.3 inches),2275 mm (89.6 inches),910 mm (35.8 inches),170 mm (6.7 inches),1560 mm (61.4 inches),20.00 litres (5.28 US gallons),"Pearl Vigor Blue, Glass Sparkle Black, Champion Yellow",Electric,12 month unlimited mileage limited warranty.,90-degree V-Twin,70.0 HP (51.1  kW)) @ 8800 RPM,69.0 Nm (7.0 kgf-m or 50.9 ft.lbs) @ 6300 RPM,185.0 km/h (115.0 mph),,6-speed,Wet multi-plate,3.50 litres/100 km (28.6 km/l or 67.21 mpg),81.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,Aluminum twin-spar,,260 mm (10.2 inches),Wirespoked,Two-up seat,,,,,Traction Control. Small windscreen.,Wet sump,,,,Vertically stacked headlights,,,,,,,,,2-into-1 exhaust,Electronic ignition ,,,,,,,,,,,,,,
Ghezzi-Brian V11 Trofeo,2022,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1064.0 ccm (64.93 cubic inches),"V2, four-stroke",,,,Injection,,,Chain   (final drive),,Paioli upside-down Hydraulic telescopic fork 41 mm with three settings,,Hydraulic Öhlins monoschock absorber with separate tank and three settings,,120/60-17 ,180/55-17 ,Double disc. 4 pistons caliper,Single disc. 4 pistons caliper,,,,,,,,,Red/white/silver,Electric,,,87.0 HP (63.5  kW)) @ 8250 RPM,,211.0 km/h (131.1 mph),,5-speed,,,,,,23.0°,220 mm (8.7 inches),,,188.0 kg (414.5 pounds),0.4628 HP/kg,Digital dashboard,,Customized Moto Guzzi. Also available as a kit.,,90 mm (3.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
