Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Fuel system,Fuel control,Ignition,Lubrication system,Cooling system,Transmission type,Frame type,Rake (fork angle),Front suspension,Rear suspension,Front tire,Rear tire,Front brakes,Rear brakes,Seat height,Wheelbase,Compression,Gearbox,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Trail,Front wheel travel,Rear wheel travel,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Ground clearance,Fuel capacity,Color options,Starter,Comments,Diameter,Reserve fuel capacity,Valves per cylinder,Alternate seat height,"Weight incl. oil, gas, etc",Top speed,Engine details,Driveline,Engine oil,Oil filter,Battery,Spark plugs,Chain size,Chain links,Sprockets,Max RPM,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Oil capacity,Brake fluid,Coolant,Idle speed,Tire pressure front,Tire pressure rear,Fork tube size,Wheels,Electrical,Belt width,Pulley teeth,1/4 mile (0.4 km),Belt teeth
Aprilia RSV 1000 R Factory,2006,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",997.6 ccm (60.87 cubic inches),"V2, four-stroke",138.7 HP (101.3  kW)) @ 9500 RPM,107.0 Nm (10.9 kgf-m or 78.9 ft.lbs),97.0 x 67.5 mm (3.8 x 2.7 inches),Injection.  Integrated electronic engine management system. Indirect multipoint electronic injection. Throttle body diameter: 57 mm.,Double Overhead Cams/Twin Cam (DOHC),"Digital electronic ignition, with one spark plug per cylinder and integrated injection",Dry sump with separate oil tank.,Oil & air,Chain   (final drive),,24.8°,"43 mm Showa upside-down fork, with adjustable compression, rebound and preload. 120 mm  wheel travel.","Aluminium alloy double member swingarm. Aprilia Progressive System (APS) linkages. Sachs monoshock with adjustable compression, rebound, preload and length. 133 mm wheel travel.",120/70-17 ,120/70-17 ,,,"810 mm (31.9 inches) If adjustable, lowest setting.",1410 mm (55.5 inches),11.8:1,6-speed,Multiple disc wet clutch with patented PPC power-assisted hydraulic control and pneumatic power clutch.  Braided metal clutch line.  Radial pump with 15 mm piston.,,,Double silencer with three-way catalytic converter and lambda sensor (Euro 2),102 mm (4.0 inches),,,185.0 kg (407.9 pounds),0.7498 HP/kg,1135 mm (44.7 inches),2035 mm (80.1 inches),730 mm (28.7 inches),,,"Aprilia Black, Fluo Red, Mirror Silver
 
 Weight is comprehensive of battery, not of fluids.",Electric,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rieju RS2 Pro Matrix,2006,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",,,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor. Dell´Orto,,,,,,Steel tube,,Upside-Down Hydraulic Fork Ø 35 mm. SHOWA,Mono shock absorber,100/80-17 ,130/70-17 ,Single disc. Double piston,Single disc,"800 mm (31.5 inches) If adjustable, lowest setting.",1300 mm (51.2 inches),,6-speed,,,,,,,,109.5 kg (241.4 pounds),,1060 mm (41.7 inches),1900 mm (74.8 inches),620 mm (24.4 inches),,,,Electric,,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Monster SR2 1000,2006,Naked bike," 3.3  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",93.9 HP (68.5  kW)) @ 8000 RPM,69.4 Nm (7.1 kgf-m or 51.2 ft.lbs) @ 6500 RPM,94.0 x 71.5 mm (3.7 x 2.8 inches),"Injection.  Marelli electronic fuel injection, 45 mm throttle body ",Desmodromic valve control,,,Air,Chain   (final drive),Tubular steel trellis ,24.0°,Showa 43 mm upside-down fully adjustable fork ,Progressive linkage with preload and rebound adjustable Sachs monoshock. Aluminium single-sided swingarm ,120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,"800 mm (31.5 inches) If adjustable, lowest setting.",1440 mm (56.7 inches),10.0:1,6-speed,Dry multiplate with hydraulic control ,,,2 aluminium mufflers ,,130 mm (5.1 inches),148 mm (5.8 inches),178.0 kg (392.4 pounds),0.5274 HP/kg,,,,,14.00 litres (3.70 US gallons),,,,245 mm (9.6 inches),,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Gold Wing Audio Comfort Navi,2006,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1832.0 ccm (111.79 cubic inches),"Six cylinder boxer, four-stroke",,,74.0 x 71.0 mm (2.9 x 2.8 inches),Injection.  Programmed Fuel Injection (PGM-FI) with automatic choke,Single Overhead Cams (SOHC),Computer-controlled digital with three-dimensional mapping,,Liquid,Shaft drive (cardan)   (final drive),,29.2°,"45.0mm cartridge fork with anti-dive system, 5.5-inch travel",Pro-Arm single-side swingarm with Pro-Link single shock with computer-controlled spring-preload adjustment with two memory presets,130/70-R18 ,180/60-R16 ,Double disc,Single disc,"739 mm (29.1 inches) If adjustable, lowest setting.",1692 mm (66.6 inches),9.8:1,5-speed,,,,,109 mm (4.3 inches),,104 mm (4.1 inches),377.4 kg (832.0 pounds),,,,,,24.98 litres (6.60 US gallons),"Black, White, Dark Red, Titanium, Gold",,Model ID: GL18HPN,316 mm (12.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Top Boy 50,2006,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.5 ccm (3.02 cubic inches),"Single cylinder, two-stroke",5.1 HP (3.7  kW)) @ 7000 RPM,5.5 Nm (0.6 kgf-m or 4.1 ft.lbs) @ 6500 RPM,,,,,,Air,Shaft drive (cardan)   (final drive),,,,,120/90-J10 ,130/90-J10 ,Single disc,Expanding brake (drum brake),,,,Automatic,,,,,,,,95.5 kg (210.5 pounds),0.0533 HP/kg,1070 mm (42.1 inches),1905 mm (75.0 inches),723 mm (28.5 inches),,,,,Also avialable in a off-road version with other tires.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Vitality 50 2T,2006,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.4 ccm (3.01 cubic inches),"Single cylinder, two-stroke",4.4 HP (3.2  kW)) @ 6500 RPM,4.9 Nm (0.5 kgf-m or 3.6 ft.lbs) @ 6000 RPM,,Carburettor,Single Overhead Cams (SOHC),,,Air,,,,,,120/70-12 ,130/70-12 ,Single disc,Expanding brake (drum brake),,,,Automatic,,,,,,,,97.0 kg (213.8 pounds),0.0456 HP/kg,1120 mm (44.1 inches),1940 mm (76.4 inches),700 mm (27.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha V Star Custom,2006,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",,,81.0 x 63.0 mm (3.2 x 2.5 inches),Carburettor.  (2) 28mm Mikuni downdraft-type,Single Overhead Cams (SOHC),Digital TCI,,Air,Shaft drive (cardan)   (final drive),,,Telescopic fork,"Single shock, link-type, w/adjustable preload",100/90-19 ,170/80-15 ,Single disc,Expanding brake (drum brake),"696 mm (27.4 inches) If adjustable, lowest setting.",1610 mm (63.4 inches),9.0:1,5-speed,,,,,,140 mm (5.5 inches),86 mm (3.4 inches),215.0 kg (474.0 pounds),,1067 mm (42.0 inches),2296 mm (90.4 inches),879 mm (34.6 inches),,15.89 litres (4.20 US gallons),,,,200 mm (7.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ural Solo,2006,Classic," 3.3  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",745.0 ccm (45.46 cubic inches),"Two cylinder boxer, four-stroke",38.9 HP (28.4  kW)) @ 5600 RPM,52.0 Nm (5.3 kgf-m or 38.4 ft.lbs) @ 4000 RPM,78.0 x 78.0 mm (3.1 x 3.1 inches),Carburettor. Twin KEIHIN L22A A,,Electronic,,Air,Shaft drive (cardan)   (final drive),,,Telescopic fork,Double sided swinging arm with hydraulic spring               shock absorbers - 2 x adjustable,,,Expanding brake (drum brake). Optional single disk brake.,Expanding brake (drum brake),"750 mm (29.5 inches) If adjustable, lowest setting.",,,4-speed,,6.50 litres/100 km (15.4 km/l or 36.19 mpg),150.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,215.0 kg (474.0 pounds),0.1808 HP/kg,,2230 mm (87.8 inches),1700 mm (66.9 inches),,19.00 litres (5.02 US gallons),Black with white stripes,Electric & kick,,,,,,,130.0 km/h (80.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger,2006,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",955.0 ccm (58.27 cubic inches),"In-line three, four-stroke",125.0 HP (91.2  kW)) @ 8900 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 5700 RPM,79.0 x 65.0 mm (3.1 x 2.6 inches),Injection.  Multipoint sequential electronic fuel injection,Double Overhead Cams/Twin Cam (DOHC),Digital - inductive type - via electronic engine management system,,Liquid,Chain   (final drive),Tubular steel perimeter,25.8°,43mm forks,Monoshock with remotely adjustable preload and rebound damping,110/80-V19 ,150/70-V17 ,Double disc,Single disc,"840 mm (33.1 inches) If adjustable, lowest setting.",1515 mm (59.6 inches),11.7:1,6-speed,Wet. multi-plate,,,,88 mm (3.5 inches),,,215.0 kg (474.0 pounds),0.5814 HP/kg,1390 mm (54.7 inches),2250 mm (88.6 inches),860 mm (33.9 inches),,24.00 litres (6.34 US gallons),Aluminum Silver. Caspian Blue. Jet Black,Electric,,285 mm (11.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 900 Classic LT,2006,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",903.0 ccm (55.10 cubic inches),"V2, four-stroke",,,88.0 x 74.2 mm (3.5 x 2.9 inches),Injection. 2 x DFI with Keihin 46mm Throttle Bodies,,,,Liquid,Belt   (final drive),,32.0°,41mm Hydraulic Telescopic Fork,Single Shock,130/90-16 ,180/70-15 ,Single disc,Single disc,,1651 mm (65.0 inches),,5-speed,,,,,,,,,,,,,,18.16 litres (4.80 US gallons),"Metallic Ocean Blue/Metallic Phantom Silver, Ebony/Candy Fire Red",Electric,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daelim NS 125 III,2006,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",,,56.0 x 50.7 mm (2.2 x 2.0 inches),Carburettor. CV type,,CDI,,Oil & air,Belt   (final drive),Under bone,,Telescopic,Swingarm,120/70-12 ,130/70-12 ,Single disc,Single disc,"750 mm (29.5 inches) If adjustable, lowest setting.",1350 mm (53.1 inches),11.0:1,Automatic,,4.70 litres/100 km (21.3 km/l or 50.05 mpg),109.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,120.0 kg (264.6 pounds),,1110 mm (43.7 inches),1970 mm (77.6 inches),670 mm (26.4 inches),130 mm (5.1 inches),8.00 litres (2.11 US gallons),,Electric,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorhispania Ryz Pro Racing Enduro,2006,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,,40.3 x 39.0 mm (1.6 x 1.5 inches),Carburettor. PHBN12,,CDI,,,,"Steel, double bean",,Inverted hydaulic fork,Olle monoshock absorber,90/90-21 ,120/80-18 ,Single disc. Galfer Wave,Single disc. Galfer Wave,"810 mm (31.9 inches) If adjustable, lowest setting.",1350 mm (53.1 inches),,,Mulitdisc in oil,,,,,,,95.0 kg (209.4 pounds),,,2010 mm (79.1 inches),,,,,Kick,Uses a Minarelli AM6 engine.,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX 85,2006,Cross / motocross," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",84.0 ccm (5.13 cubic inches),"Single cylinder, two-stroke",,,48.5 x 45.8 mm (1.9 x 1.8 inches),Carburettor.  Keihin PWK28,,Digital CDI,,Liquid,Chain   (final drive),High-tensile steel perimeter design with subframe member,27.0°,36mm inverted telescopic cartridge fork with 18-way compression damping / 10.8 in.,UNI-TRAK® single-shock system with 4-way compression and,70/90-x17 ,90/90-x14 ,Single disc,Single disc,"841 mm (33.1 inches) If adjustable, lowest setting.",1255 mm (49.4 inches),10.0:1,6-speed,,,,,,,,65.0 kg (143.3 pounds),,1054 mm (41.5 inches),1821 mm (71.7 inches),734 mm (28.9 inches),340 mm (13.4 inches),5.67 litres (1.50 US gallons),Kawasaki Lime Green / Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Vegas 8-Ball,2006,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1638.8 ccm (100.00 cubic inches),"V2, four-stroke",,,101.0 x 102.0 mm (4.0 x 4.0 inches),Injection.  Electronic Fuel Injection with 44 mm throttle bodies,Single Overhead Cams (SOHC),,,Air,Belt   (final drive),,32.9°,"Conventional telescopic fork, 43 mm diameter,","Single, mono-tube gas, forged and cast aluminum with rising rate linkage swing-arm,  preload adjustable spring",80/90-21 ,180/55-B18 ,Single disc,Single disc,"673 mm (26.5 inches) If adjustable, lowest setting.",1684 mm (66.3 inches),9.8:1,5-speed,"Wet, multi-plate",,,Staggered slash-cut dual exhaust with common volume,,130 mm (5.1 inches),100 mm (3.9 inches),281.2 kg (620.0 pounds),,,2446 mm (96.3 inches),,147 mm (5.8 inches),17.03 litres (4.50 US gallons),Black,,,300 mm (11.8 inches),,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polini XP 65 R,2006,"Minibike, cross"," 3.2  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",64.9 ccm (3.96 cubic inches),"Single cylinder, two-stroke",,,45.0 x 40.8 mm (1.8 x 1.6 inches),Carburettor. Mikuni 24,,,2% oil mixture,Liquid,Chain   (final drive),Steel,,,,60/100-14 ,80/100-12 ,Expanding brake (drum brake),Expanding brake (drum brake),"790 mm (31.1 inches) If adjustable, lowest setting.",1145 mm (45.1 inches),14.2:1,6-speed,,,,,,,,56.5 kg (124.6 pounds),,,,,,3.00 litres (0.79 US gallons),,Kick,,140 mm (5.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW F 650 GS,2006,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",652.0 ccm (39.79 cubic inches),"Single cylinder, four-stroke",49.6 HP (36.2  kW)) @ 6500 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 4800 RPM,100.0 x 83.0 mm (3.9 x 3.3 inches),"Injection. Electronic intake pipe injection / BMW engine management, dual ignition",,,,Liquid,Chain   (final drive),Bridge-type steel section frame with bolted-on rear section,29.2°,"Telescopic fork, stanchion diameter 41 mm, fork stabiliser","Box-section steel section dual swing arm, central spring strut action via lever system, spring pre-load hydraulically adjustable to continuously variable levels by means of  handwheel, rebound damping adjustable",100/90-S19 ,130/80-S17 ,Double disc,Single disc,"780 mm (30.7 inches) If adjustable, lowest setting.",1479 mm (58.2 inches),11.5:1,5-speed,"Multiple-disc clutch in oil bath, mechanically operated",3.20 litres/100 km (31.3 km/l or 73.51 mpg),74.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,,113 mm (4.5 inches),41 mm (1.6 inches),220 mm (8.7 inches),175.4 kg (386.7 pounds),0.2828 HP/kg,1265 mm (49.8 inches),2175 mm (85.6 inches),910 mm (35.8 inches),,17.30 litres (4.57 US gallons),,,,240 mm (9.4 inches),,,,192.0 kg (423.3 pounds),170.0 km/h (105.6 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha TT-R125 - LW,2006,Enduro / offroad," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",123.7 ccm (7.55 cubic inches),"Single cylinder, four-stroke",9.7 HP (7.0  kW)) @ 8000 RPM,9.9 Nm (1.0 kgf-m or 7.3 ft.lbs),54.0 x 54.0 mm (2.1 x 2.1 inches),Carburettor.  Mikuni TMX38,Single Overhead Cams (SOHC),CDI,Premix,Air,Chain   (final drive),,,Telescopic fork,Swinging arm (monocross),70/90-M17 ,90/90-M14 ,Single disc,Expanding brake (drum brake),"775 mm (30.5 inches) If adjustable, lowest setting.",1250 mm (49.2 inches),10.0:1,5-speed,"Wet, multiple-disc",,,,,180 mm (7.1 inches),125 mm (4.9 inches),84.0 kg (185.2 pounds),0.1149 HP/kg,1055 mm (41.5 inches),1830 mm (72.0 inches),785 mm (30.9 inches),265 mm (10.4 inches),8.00 litres (2.11 US gallons),,Kick,,110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBK Skyliner 125,2006,Scooter," 3.2  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.4 HP (8.3  kW)) @ 9000 RPM,9.4 Nm (1.0 kgf-m or 6.9 ft.lbs) @ 8500 RPM,53.7 x 54.8 mm (2.1 x 2.2 inches),Carburettor.  CVK24,,Electronic (C.D.I.),Wet sump,Liquid,,,,Hydraulic telescopic fork,Hydraulic unit swing,120/70-12 ,130/70-12 ,Single disc,Single disc,"774 mm (30.5 inches) If adjustable, lowest setting.",1480 mm (58.3 inches),11.0:1,,,,,,,,,134.0 kg (295.4 pounds),0.0850 HP/kg,1285 mm (50.6 inches),2030 mm (79.9 inches),745 mm (29.3 inches),102 mm (4.0 inches),6.50 litres (1.72 US gallons),,Electric,,190 mm (7.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ 1000 SF StreetFighter,2006,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,998.0 ccm (60.90 cubic inches),"Twin, four-stroke",111.3 HP (81.2  kW)) @ 9000 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 7000 RPM,,,,,,Liquid,Chain   (final drive),Dual tube bridge frame,,Upside-down fork,Monoshock,120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,"825 mm (32.5 inches) If adjustable, lowest setting.",1445 mm (56.9 inches),,,,,,,,,,210.0 kg (463.0 pounds),0.5300 HP/kg,,,,,20.00 litres (5.28 US gallons),"Orange, black",Electric,,243 mm (9.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGO BuBu 50,2006,Scooter," 2.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",4.7 HP (3.4  kW)) @ 7000 RPM,5.0 Nm (0.5 kgf-m or 3.7 ft.lbs),40.0 x 39.2 mm (1.6 x 1.5 inches),,,CDI,,Air,,,,Telescopic,Uni-Absorber,,,Single disc,Expanding brake (drum brake),,1210 mm (47.6 inches),6.8:1,,Dry style,,,,,,,100.0 kg (220.5 pounds),0.0469 HP/kg,1060 mm (41.7 inches),1710 mm (67.3 inches),645 mm (25.4 inches),,6.70 litres (1.77 US gallons),,,,130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 950 Super Enduro R,2006,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",942.0 ccm (57.48 cubic inches),"Twin, four-stroke",96.6 HP (70.5  kW)) @ 8500 RPM,95.0 Nm (9.7 kgf-m or 70.1 ft.lbs) @ 7000 RPM,100.0 x 60.0 mm (3.9 x 2.4 inches),Carburettor. Mikuni BST 40,Double Overhead Cams/Twin Cam (DOHC),Denso battery ignition,Pressure lubrication,Liquid,Chain   (final drive),"Tubular chromoly space frame, powder-coated",25.4°,WP-USD 48 mm (1.89 inches),WP monoshock,90/90-21 ,140/80-18 ,Single disc,Single disc,"920 mm (36.2 inches) If adjustable, lowest setting.",1570 mm (61.8 inches),11.5:1,6-speed,"Wet multi-disc clutch, operated hydraulically",,,2 x stainless steel with catalytic converter,119 mm (4.7 inches),300 mm (11.8 inches),335 mm (13.2 inches),185.0 kg (407.9 pounds),0.5219 HP/kg,,,950 mm (37.4 inches),296 mm (11.7 inches),13.00 litres (3.43 US gallons),,Electric,Not available in the USA.,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jincheng JC 150 T,2006,Scooter," 2.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",152.0 ccm (9.28 cubic inches),"Single cylinder, four-stroke",15.0 HP (10.9  kW)),,,,,CDI,,Air,,,,,,,,,,,,,,,2.30 litres/100 km (43.5 km/l or 102.27 mpg),53.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,135.0 kg (297.6 pounds),0.1111 HP/kg,1273 mm (50.1 inches),2122 mm (83.5 inches),731 mm (28.8 inches),,,,Electric & kick,,,,,,,100.0 km/h (62.1 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Vespa Granturismo 125L,2006,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)) @ 6600 RPM,9.6 Nm (1.0 kgf-m or 7.1 ft.lbs) @ 6000 RPM,57.0 x 48.6 mm (2.2 x 1.9 inches),,Single Overhead Cams (SOHC),"Electronic CDI, variable spark advance",Wet sump,Liquid,Belt   (final drive),Pressed steel monocoque,,Single-arm with dual-acting hydraulic shock absorber and co-axial spring,Twin dual action shock absorbers with adjustable pre-load,120/70-12 ,130/70-12 ,Single disc,Single disc,"790 mm (31.1 inches) If adjustable, lowest setting.",1395 mm (54.9 inches),,Automatic,Automatic dry centrifugal type,4.00 litres/100 km (25.0 km/l or 58.81 mpg),92.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,138.0 kg (304.2 pounds),0.1069 HP/kg,,1940 mm (76.4 inches),,,10.00 litres (2.64 US gallons),,Electric,,220 mm (8.7 inches),,,,116.0 kg (255.7 pounds),102.0 km/h (63.4 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield 500S Continental,2006,Classic," 3.2  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Single cylinder, four-stroke",22.0 HP (16.1  kW)) @ 5400 RPM,25.8 Nm (2.6 kgf-m or 19.0 ft.lbs) @ 3000 RPM,84.0 x 90.0 mm (3.3 x 3.5 inches),,Overhead Valves (OHV),,Dry sump,,,,,,,,,Expanding brake (drum brake),Expanding brake (drum brake),,,,5-speed,Mulitiplate,,,,,,,,,,,,,14.50 litres (3.83 US gallons),,Electric & kick,,,,,,,125.0 km/h (77.7 mph),,,,,,,,,,,,,,,,,,,,,,,,,,
Bajaj Avenger DTS-i,2006,Custom / cruiser," 3.1  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",180.0 ccm (10.98 cubic inches),"Single cylinder, four-stroke",16.5 HP (12.0  kW)) @ 8000 RPM,15.2 Nm (1.5 kgf-m or 11.2 ft.lbs),,Injection,,,,,Chain   (final drive),,,Telescopic,Triple rate springs,,,Single disc,Expanding brake (drum brake),,1475 mm (58.1 inches),,,,,,,,,,,,,,,,10.00 litres (2.64 US gallons),,Electric & kick,,130 mm (5.1 inches),2.00 litres (0.53 US gallons),,,154.0 kg (339.5 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,
